# IDS
ID	Language	Gloss	GlossID	IDS_ID	Ortho	IPA	CogID
# 
1	German	the world	322	1.1	Welt	vɛlt	666
2	French	the world	322	1.1	monde	mɔ̃d	668
3	Dutch	the world	322	1.1	wereld	weːrəlt	667
4	English	the world	322	1.1	world	wɜːld	667
# 
5	German	the land	558	1.21	Erde	eːrdə	1172
6	German	the land	558	1.21	Land	lant	1173
7	French	the land	558	1.21	terre	tɛʁ	1174
8	Dutch	the land	558	1.21	land	lɑnt	1173
9	English	the land	558	1.21	land	lænd	1173
# 
10	German	the soil	493	1.212	Erde	eːrdə	1025
11	German	the soil	493	1.212	Boden	boːdən	1025
12	French	the soil	493	1.212	terre	tɛʁ	1027
13	French	the soil	493	1.212	sol	sɔl	1026
14	Dutch	the soil	493	1.212	bodem	boːdəm	1025
15	English	the soil	493	1.212	soil	sɔɪl	1026
# 
16	German	the mud	492	1.214	Schlamm	ʃlam	1021
17	German	the mud	492	1.214	Dreck	drɛk	1024
18	French	the mud	492	1.214	boue	bu	1023
19	Dutch	the mud	492	1.214	modder	mɔdər	1022
20	English	the mud	492	1.214	mud	mʌd	1022
# 
21	German	the sand	491	1.215	Sand	zant	1018
22	French	the sand	491	1.215	sable	sɑbl	1020
23	Dutch	the sand	491	1.215	zand	zɑnt	1018
24	English	the sand	491	1.215	sand	sænd	1019
# 
25	German	the mountain or hill	557	1.22	Berg	bɛrk	1167
26	German	the mountain or hill	557	1.22	Hügel	hyːɡəl	1170
27	French	the mountain or hill	557	1.22	montagne	mɔ̃taɲ	1169
28	French	the mountain or hill	557	1.22	colline	kɔlin	1171
29	Dutch	the mountain or hill	557	1.22	berg	bɛrx	1167
30	Dutch	the mountain or hill	557	1.22	heuvel	høːvəl	1170
31	English	the mountain or hill	557	1.22	mountain	maʊntɪn	1168
32	English	the mountain or hill	557	1.22	hill	hɪl	1170
# 
33	German	the cliff or precipice	277	1.222	Klippe	klɪpə	562
34	French	the cliff or precipice	277	1.222	falaise	falɛz	563
35	French	the cliff or precipice	277	1.222	escarpement	ɛskaʀpəmɑ̃	565
36	Dutch	the cliff or precipice	277	1.222	klif	klɪf	562
37	English	the cliff or precipice	277	1.222	cliff	klɪf	562
38	English	the cliff or precipice	277	1.222	precipice	prɛsɪpɪs	564
# 
39	German	the plain	556	1.23	Ebene	eːbənə	1162
40	German	the plain	556	1.23	Fläche	flɛxə	1165
41	German	the plain	556	1.23	Feld	fɛlt	1165
42	French	the plain	556	1.23	plaine	plɛn	1163
43	French	the plain	556	1.23	campagne	kɑ̃paɲ	1166
44	Dutch	the plain	556	1.23	vlakte	vlɑktə	1164
45	English	the plain	556	1.23	plain	pleɪn	1163
# 
46	German	the valley	561	1.24	Tal	taːl	1179
47	French	the valley	561	1.24	vallée	vale	1180
48	Dutch	the valley	561	1.24	vallei	vɑlɛɪ	1180
49	Dutch	the valley	561	1.24	dal	dɑl	1180
50	English	the valley	561	1.24	valley	vælɪ	1180
# 
51	German	the mainland	560	1.26	Festland	fɛst#lant	1177
52	French	the mainland	560	1.26	continent	kɔ̃tinɑ̃	1178
53	Dutch	the mainland	560	1.26	vasteland	vɑstə#lɑnt	1177
54	English	the mainland	560	1.26	mainland	meɪn#lənd	1177
# 
55	German	the shore	359	1.27	Ufer	uːfər	746
56	German	the shore	359	1.27	Strand	ʃtrant	749
57	French	the shore	359	1.27	rivage	ʀivaʒ	748
58	French	the shore	359	1.27	côte	kot	750
59	French	the shore	359	1.27	littoral	litɔʀal	751
