# IEL
ID	Taxa	Gloss	GlossID	OriginalForm	IPA	Tokens	CogID
# 
1	English	all	1	ɔ:l	ɔːl	ɔː l	3
2	German	all	1	'alə	alə	a l ə	6
3	Armenian_Mod	all	1	boˈloɾ	boloɾ	b o l o ɾ	1
4	Greek_Mod	all	1	ˈo̞lo̞s	o̞lo̞s	o̞ l o̞ s	6
5	Italian	all	1	'tutto	tutto	t u tː o	4
6	Marathi	all	1	'səɾwə, 'səgɭə	səɾwə	s ə ɾ w ə	2
7	Danish	all	1	ɛl	ɛl	ɛ l	3
8	Portuguese_ST	all	1	ˈtoðu	toðu	t o ð u	4
9	French	all	1	tu	tu	t u	4
10	Russian	all	1	vsʲo	vsʲo	v sʲ o	5
11	Spanish	all	1	'toðo	toðo	t o ð o	4
12	Swedish	all	1	ˈala	ala	a l a	6
13	Bihari	all	1	səb	səb	s ə b	2
14	Oriya	all	1	sɔbɔ	sɔbɔ	s ɔ b ɔ	2
15	Dutch_List	all	1	'ɑləs	ɑləs	ɑ l ə s	6
16	Czech	all	1	fʃɪxɲɪ	fʃɪxɲɪ	f ʃ ɪ x ɲ ɪ	5
17	Breton_ST	all	1	ɔl	ɔl	ɔ l	3
18	Catalan	all	1	tot	tot	t o t	4
19	Urdu	all	1	səb	səb	s ə b	2
20	Polish	all	1	ˈkaʒdɨ	kaʒdɨ	k a ʒ d ɨ	7
# 
21	Armenian_Mod	and	2	jɛv	jɛv	j ɛ v	8
22	Breton_ST	and	2	a	a	a	10
23	Catalan	and	2	i	i	i	11
24	Czech	and	2	a	a	a	12
25	Danish	and	2	ɒw, ʌ	ɒw	ɒ w	13
26	Dutch_List	and	2	ɛn	ɛn	ɛ n	14
27	English	and	2	ænd	ænd	æ n d	15
28	French	and	2	e	e	e	11
29	German	and	2	ʊnt	ʊnt	ʊ n t	15
30	Greek_Mod	and	2	ce̞, c(i)	ce̞	c e̞	16
31	Italian	and	2	e, ed	e	e	11
32	Marathi	and	2	'ani	ani	a n i	17
33	Polish	and	2	i	i	i	18
34	Portuguese_ST	and	2	i	i	i	11
35	Russian	and	2	i	i	i	18
36	Spanish	and	2	i	i	i	11
37	Swedish	and	2	ɔ(kː)	ɔkː	ɔ kː	13
38	Oriya	and	2	o	o	o	12
39	Bihari	and	2	aur	aur	au r	9
40	Urdu	and	2	ʔɔɾ	ʔɔɾ	ʔ ɔ ɾ	9
# 
41	Armenian_Mod	animal	3	kɛntʰɑˈni	kɛntʰɑni	k ɛ n tʰ ɑ n i	19
42	Breton_ST	animal	3	ɑ̃ˈneval	ɑ̃neval	ɑ̃ n e v a l	21
43	Catalan	animal	3	əni’mal	ənimal	ə n i m a l	21
44	Czech	animal	3	zviːr̝ɛ	zviːr̝ɛ	z v iː r̝ ɛ	22
45	Danish	animal	3	ˈd̥yːʌ, 'd̥yɐ̯	d̥yːʌ	d̥ yːʌ	23
46	Dutch_List	animal	3	dir	dir	d i r	23
47	English	animal	3	'ænɪməl	ænɪməl	æ n ɪ m ə l	24
48	French	animal	3	animal	animal	a n i m a l	21
49	German	animal	3	ti:ɐ̯	tiːɐ̯	t iːɐ̯	23
50	Greek_Mod	animal	3	ˈzo̞ˌo̞	zo̞o̞	z o̞o̞	25
51	Italian	animal	3	ani'male	animale	a n i m a l e	21
52	Polish	animal	3	ˈzvʲɛʒɛ̃	zvʲɛʒɛ̃	z vʲ ɛ ʒ ɛ̃	22
53	Portuguese_ST	animal	3	ɐniˈmaɫ	ɐnimaɫ	ɐ n i m a ɫ	21
54	Russian	animal	3	ʒɨ'votnoe	ʒɨvotnoe	ʒ ɨ v o t n oe	28
55	Spanish	animal	3	ani'mal	animal	a n i m a l	21
56	Swedish	animal	3	jʉːr	jʉːr	j ʉː r	29
57	Oriya	animal	3	praṇi	praɳi	p r a ɳ i	27
58	Oriya	animal	3	pɔsu	pɔsu	p ɔ s u	31
59	Bihari	animal	3	janbər	janbər	j a n b ə r	20
60	Oriya	animal	3	ǰɔntu	ǰɔntu	ǰ ɔ n t u	20
61	Urdu	animal	3	ʤɑnwəɾ	ʤɑnwəɾ	ʤ ɑ n w ə ɾ	26
62	Breton_ST	animal	3	lo.ɛ̃n	lo.ɛ̃n	l o ɛ̃ n	30
63	Marathi	animal	3	dzən'awəɾ	dzənawəɾ	d z ə n a w ə ɾ	26
# 
64	Armenian_Mod	ashes	4	moˈχiɾ	moχiɾ	m o χ i ɾ	32
65	Breton_ST	ashes	4	'ly:dy	lyːdy	l yː d y	34
66	Catalan	ashes	4	'sɛndrə	sɛndrə	s ɛ n d r ə	35
67	Czech	ashes	4	popɛl	popɛl	p o p ɛ l	36
