# JAP
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Miyako	I	1	ban	b a n	1
2	Tōkyō	I	1	watasi	w a t a s i	1
3	Amami	I	1	waɴ	w a ɴ	1
4	Kyōto	I	1	wate	w a t e	1
5	Hachijō	I	1	ware	w a r e	1
6	Shuri	I	1	waɴ	w a ɴ	1
7	Kōchi	I	1	asi	a s i	3
8	Sado	I	1	ore	o r e	4
9	Oki	I	1	ora	o r a	4
10	Kagoshima	I	1	oiː	oiː	2
# 
11	Miyako	thou	2	vːa	vː a	7
12	Tōkyō	thou	2	anata	a n a t a	8
13	Amami	thou	2	ʔʲa	ʔʲ a	5
14	Kyōto	thou	2	aɴta	a ɴ t a	8
15	Hachijō	thou	2	omi	o m i	6
16	Shuri	thou	2	ʔʲaː	ʔʲ aː	5
17	Kōchi	thou	2	oɴsi	o ɴ s i	9
18	Sado	thou	2	ɴna	ɴ n a	10
19	Oki	thou	2	omae	o m ae	6
20	Kagoshima	thou	2	waiː	w aiː	7
# 
21	Miyako	we	3	bantiː	b a n t iː	15
22	Tōkyō	we	3	watasitaʨi	w a t a s i t a ʨ i	11
23	Amami	we	3	waxja	w a x j a	11
24	Kyōto	we	3	watera	w a t e r a	11
25	Hachijō	we	3	wareɴisa	w a r e ɴ i s a	12
26	Shuri	we	3	watːaː	w a tː aː	11
27	Kōchi	we	3	asiraː	a s i r aː	14
28	Sado	we	3	oraʨi	o r a ʨ i	14
29	Oki	we	3	orara	o r a r a	14
30	Kagoshima	we	3	oidoɴ	oi d o ɴ	13
# 
31	Miyako	this	4	kuri	k u r i	16
32	Tōkyō	this	4	kore	k o r e	16
33	Amami	this	4	xurɨ	x u r ɨ	16
34	Kyōto	this	4	kore	k o r e	16
35	Hachijō	this	4	kore	k o r e	16
36	Shuri	this	4	kuri	k u r i	16
37	Kōchi	this	4	kore	k o r e	16
38	Sado	this	4	kore	k o r e	16
39	Oki	this	4	kore	k o r e	16
40	Kagoshima	this	4	koiː	k oiː	16
# 
41	Miyako	that	5	kari	k a r i	17
42	Tōkyō	that	5	are	a r e	17
43	Amami	that	5	ʔarɨ	ʔ a r ɨ	17
44	Kyōto	that	5	are	a r e	17
45	Hachijō	that	5	ore	o r e	17
46	Shuri	that	5	ʔari	ʔ a r i	17
47	Kōchi	that	5	are	a r e	17
48	Sado	that	5	are	a r e	17
49	Oki	that	5	are	a r e	17
50	Kagoshima	that	5	aiː	aiː	18
# 
51	Miyako	who	6	taru	t a r u	19
52	Tōkyō	who	6	dare	d a r e	19
53	Amami	who	6	θaru	θ a r u	19
54	Kyōto	who	6	dare	d a r e	19
55	Hachijō	who	6	dare	d a r e	19
56	Shuri	who	6	taː	t aː	19
57	Kōchi	who	6	dare	d a r e	19
58	Sado	who	6	dare	d a r e	19
59	Oki	who	6	dare	d a r e	19
60	Kagoshima	who	6	daiː	d aiː	19
# 
61	Miyako	what	7	nau	n au	20
62	Tōkyō	what	7	nani	n a n i	20
