# KSL
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Albanian	all	1	ɟiθ	ɟ i θ	4
2	English	all	1	ɔl	ɔ l	3
3	French	all	1	tut	t u t	5
4	German	all	1	al	a l	3
5	Hawaiian	all	1	apau	a p au	1
7	Navajo	all	1	ʔayɬʦo	ʔ ay ɬ ʦ o	6
8	Turkish	all	1	bytyn	b y t y n	2
# 
9	Albanian	and	2	e	e	8
10	English	and	2	and	a n d	7
11	French	and	2	e	e	8
12	German	and	2	unt	u n t	9
13	Hawaiian	and	2	aː	aː	7
15	Navajo	and	2	doː	d oː	10
16	Turkish	and	2	ve	v e	8
# 
17	Albanian	animal	3	kafʃ	k a f ʃ	14
18	English	animal	3	anəməl	a n ə m ə l	15
19	French	animal	3	animal	a n i m a l	15
20	German	animal	3	tiːr	t iː r	13
21	Hawaiian	animal	3	holoholona	h o l o h o l o n a	11
23	Navajo	animal	3	naːldeːhiː	n aː l d eː h iː	16
24	Turkish	animal	3	hajvan	h a j v a n	12
# 
25	Albanian	ashes	4	hir	h i r	20
26	English	ashes	4	aʃ	a ʃ	19
27	French	ashes	4	sɑ̃dr	s ɑ̃ d r	21
28	German	ashes	4	aʃə	a ʃ ə	19
29	Hawaiian	ashes	4	lehu	l e h u	17
31	Navajo	ashes	4	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	22
32	Turkish	ashes	4	kyl	k y l	18
# 
33	Albanian	at	5	nə	n ə	25
34	English	at	5	at	a t	23
35	French	at	5	a	a	23
36	German	at	5	an	a n	23
37	Hawaiian	at	5	ma	m a	23
39	Navajo	at	5	di	d i	24
40	Turkish	at	5	de	d e	24
# 
41	Albanian	back	6	ʃpin	ʃ p i n	29
42	English	back	6	bak	b a k	31
43	French	back	6	do	d o	30
44	German	back	6	rykən	r y k ə n	28
45	Hawaiian	back	6	kua	k ua	26
47	Navajo	back	6	nayɣah	n ay ɣ a h	27
48	Turkish	back	6	arka	a r k a	27
# 
49	Albanian	bad	7	kec	k e c	35
50	English	bad	7	bad	b a d	37
51	French	bad	7	mɔvɛz	m ɔ v ɛ z	36
52	German	bad	7	ʃlext	ʃ l e x t	34
53	Hawaiian	bad	7	ʔino	ʔ i n o	32
55	Navajo	bad	7	jayʔayʃõõ	j ay ʔ ay ʃ õõ	38
56	Turkish	bad	7	køty	k ø t y	33
# 
57	Albanian	bark	8	ʃkəlboz	ʃ k ə l b o z	42
58	English	bark	8	bɑrk	b ɑ r k	44
59	French	bark	8	ekɔrs	e k ɔ r s	43
60	German	bark	8	rində	r i n d ə	41
61	Hawaiian	bark	8	ʔili	ʔ i l i	39
63	Navajo	bark	8	kayʃtˀoːʒ	k ay ʃ tˀ oː ʒ	45
64	Turkish	bark	8	kabuk	k a b u k	40
# 
65	Albanian	because	9	sepse	s e p s e	49
66	English	because	9	bəkɔz	b ə k ɔ z	51
67	French	because	9	pars	p a r s	50
68	German	because	9	vail	v ai l	48
69	Hawaiian	because	9	aːmea	aː m ea	46
71	Navajo	because	9	haːlay	h aː l ay	46
72	Turkish	because	9	ʧynky	ʧ y n k y	47
# 
73	Albanian	belly	10	bark	b a r k	53
74	English	belly	10	bɛli	b ɛ l i	55
75	French	belly	10	vɑ̃tr	v ɑ̃ t r	54
76	German	belly	10	baux	b au x	53
77	Hawaiian	belly	10	ʔoːpuː	ʔ oː p uː	52
79	Navajo	belly	10	bid	b i d	56
80	Turkish	belly	10	karn	k a r n	53
# 
81	Albanian	big	11	mað	m a ð	60
82	English	big	11	bɪg	b ɪ g	61
83	French	big	11	grɑ̃d	g r ɑ̃ d	59
84	German	big	11	groːs	g r oː s	59
85	Hawaiian	big	11	nui	n ui	57
87	Navajo	big	11	ʔayniɬʦo	ʔ ay n i ɬ ʦ o	62
88	Turkish	big	11	byjyk	b y j y k	58
# 
89	Albanian	bird	12	zog	z o g	65
90	English	bird	12	bərd	b ə r d	67
91	French	bird	12	wazo	w a z o	66
92	German	bird	12	foːgəl	f oː g ə l	65
93	Hawaiian	bird	12	manu	m a n u	63
95	Navajo	bird	12	ʦidiː	ʦ i d iː	68
96	Turkish	bird	12	kuʃ	k u ʃ	64
# 
97	Albanian	bite	13	kafʃo	k a f ʃ o	72
98	English	bite	13	bait	b ai t	71
99	French	bite	13	mɔr	m ɔ r	73
100	German	bite	13	bais	b ai s	71
101	Hawaiian	bite	13	nahu	n a h u	69
103	Navajo	bite	13	ʔahayɬhaːʃ	ʔ a h ay ɬ h aː ʃ	74
104	Turkish	bite	13	ɯsɯr	ɯ s ɯ r	70
# 
105	Albanian	black	14	zez	z e z	77
106	English	black	14	blak	b l a k	78
107	French	black	14	nwar	n w a r	76
108	German	black	14	ʃvarʦ	ʃ v a r ʦ	76
109	Hawaiian	black	14	ʔeleʔele	ʔ e l e ʔ e l e	75
111	Navajo	black	14	ɬiʒin	ɬ i ʒ i n	79
112	Turkish	black	14	kara	k a r a	76
# 
113	Albanian	blood	15	ɟakr	ɟ a k r	83
114	English	blood	15	bləd	b l ə d	82
115	French	blood	15	sɑ̃	s ɑ̃	84
116	German	blood	15	bluːt	b l uː t	82
117	Hawaiian	blood	15	koko	k o k o	80
119	Navajo	blood	15	diɬ	d i ɬ	85
120	Turkish	blood	15	kan	k a n	81
# 
121	Albanian	blow	16	fry	f r y	89
122	English	blow	16	blo	b l o	88
123	French	blow	16	vɑ̃te	v ɑ̃ t e	90
124	German	blow	16	blaːz	b l aː z	88
125	Hawaiian	blow	16	puhi	p u h i	86
127	Navajo	blow	16	niʧˀi	n i ʧˀ i	91
128	Turkish	blow	16	es	e s	87
# 
129	Albanian	bone	17	koʦk	k o ʦ k	93
130	English	bone	17	bon	b o n	94
131	French	bone	17	ɔs	ɔ s	95
132	German	bone	17	knoxən	k n o x ə n	94
133	Hawaiian	bone	17	iwi	i w i	92
135	Navajo	bone	17	ʦˀin	ʦˀ i n	96
136	Turkish	bone	17	kemik	k e m i k	93
# 
137	Albanian	breast	18	ɟir	ɟ i r	100
138	English	breast	18	brɛst	b r ɛ s t	99
139	French	breast	18	sɛ̃	s ɛ̃	101
140	German	breast	18	brust	b r u s t	99
141	Hawaiian	breast	18	uː	uː	97
143	Navajo	breast	18	beʔ	b e ʔ	102
144	Turkish	breast	18	meme	m e m e	98
# 
145	Albanian	breathe	19	frym	f r y m	106
146	English	breathe	19	brið	b r i ð	108
147	French	breathe	19	rɛspire	r ɛ s p i r e	107
148	German	breathe	19	aːtm	aː t m	105
149	Hawaiian	breathe	19	hanu	h a n u	103
151	Navajo	breathe	19	ńdiʣih	ń d i ʣ i h	109
152	Turkish	breathe	19	nefes	n e f e s	104
# 
153	Albanian	burn	20	diɟ	d i ɟ	112
154	English	burn	20	bərn	b ə r n	111
155	French	burn	20	bryle	b r y l e	111
156	German	burn	20	bren	b r e n	111
157	Hawaiian	burn	20	ʔaː	ʔ aː	110
159	Navajo	burn	20	diltˡiʔ	d i l tˡ i ʔ	113
160	Turkish	burn	20	jan	j a n	110
# 
161	Albanian	child	21	fəmiʎ	f ə m i ʎ	116
162	English	child	21	ʧaild	ʧ ai l d	114
163	French	child	21	ɑ̃fɑ̃t	ɑ̃ f ɑ̃ t	117
164	German	child	21	kind	k i n d	114
165	Hawaiian	child	21	keiki	k ei k i	114
167	Navajo	child	21	ʔʃkiː	ʔ ʃ k iː	118
168	Turkish	child	21	ʧoʤuk	ʧ o ʤ u k	115
# 
169	Albanian	claw	22	θon	θ o n	122
170	English	claw	22	klɔ	k l ɔ	121
171	French	claw	22	grif	g r i f	123
172	German	claw	22	klauə	k l auə	121
173	Hawaiian	claw	22	mikiʔao	m i k i ʔ ao	119
175	Navajo	claw	22	keʃgaː	k e ʃ g aː	124
176	Turkish	claw	22	tɯrnak	t ɯ r n a k	120
# 
177	Albanian	cloud	23	re	r e	128
178	English	cloud	23	klaud	k l au d	130
179	French	cloud	23	nɥaʒ	n ɥ a ʒ	129
180	German	cloud	23	volkə	v o l k ə	127
181	Hawaiian	cloud	23	ao	ao	125
183	Navajo	cloud	23	kˀos	kˀ o s	131
184	Turkish	cloud	23	bulut	b u l u t	126
# 
185	Albanian	cold	24	ftohət	f t o h ə t	135
186	English	cold	24	kold	k o l d	134
187	French	cold	24	frwad	f r w a d	136
188	German	cold	24	kalt	k a l t	134
189	Hawaiian	cold	24	anu	a n u	132
191	Navajo	cold	24	sikˀaz	s i kˀ a z	137
192	Turkish	cold	24	soɣuk	s o ɣ u k	133
# 
193	Albanian	come	25	vjen	v j e n	140
194	English	come	25	kəm	k ə m	139
195	French	come	25	vjɛ̃	v j ɛ̃	140
196	German	come	25	kom	k o m	139
197	Hawaiian	come	25	hele	h e l e	138
199	Navajo	come	25	jiɣaːh	j i ɣ aː h	141
200	Turkish	come	25	gel	g e l	138
# 
201	Albanian	count	26	numəruar	n u m ə r ua r	145
202	English	count	26	kaunt	k au n t	147
203	French	count	26	kɔ̃te	k ɔ̃ t e	146
204	German	count	26	ʦeːl	ʦ eː l	144
205	Hawaiian	count	26	helu	h e l u	142
207	Navajo	count	26	iːniɬtaʔ	iː n i ɬ t a ʔ	148
208	Turkish	count	26	saj	s a j	143
# 
209	Albanian	cut	27	pres	p r e s	150
210	English	cut	27	kət	k ə t	153
211	French	cut	27	kupe	k u p e	152
212	German	cut	27	ʃnaid	ʃ n ai d	151
213	Hawaiian	cut	27	ʔoki	ʔ o k i	149
215	Navajo	cut	27	ʔahaygeːʃ	ʔ a h ay g eː ʃ	154
216	Turkish	cut	27	kes	k e s	150
# 
217	Albanian	day	28	dit	d i t	157
218	English	day	28	de	d e	157
219	French	day	28	ʒur	ʒ u r	158
220	German	day	28	taːg	t aː g	155
221	Hawaiian	day	28	laː	l aː	155
223	Navajo	day	28	ʤĩ́	ʤ ĩ́	159
224	Turkish	day	28	gyn	g y n	156
# 
225	Albanian	die	29	vdes	v d e s	163
226	English	die	29	dai	d ai	165
227	French	die	29	mœr	m œ r	164
228	German	die	29	ʃterb	ʃ t e r b	162
229	Hawaiian	die	29	make	m a k e	160
231	Navajo	die	29	daːzʦã́	d aː z ʦ ã́	166
232	Turkish	die	29	øl	ø l	161
# 
233	Albanian	dig	30	gərmo	g ə r m o	170
234	English	dig	30	dɪg	d ɪ g	171
235	French	dig	30	krøze	k r ø z e	168
236	German	dig	30	graːb	g r aː b	169
237	Hawaiian	dig	30	ʔeli	ʔ e l i	167
239	Navajo	dig	30	hahageːd	h a h a g eː d	172
240	Turkish	dig	30	kaz	k a z	168
# 
241	Albanian	dirty	31	ndyr	n d y r	176
242	English	dirty	31	dərti	d ə r t i	178
243	French	dirty	31	sal	s a l	177
244	German	dirty	31	ʃmuʦix	ʃ m u ʦ i x	175
245	Hawaiian	dirty	31	lepo	l e p o	173
247	Navajo	dirty	31	baːʔih	b aː ʔ i h	179
248	Turkish	dirty	31	pis	p i s	174
# 
249	Albanian	dog	32	cen	c e n	183
250	English	dog	32	dɑg	d ɑ g	185
251	French	dog	32	ʃjɛn	ʃ j ɛ n	184
252	German	dog	32	hund	h u n d	182
253	Hawaiian	dog	32	ʔiːlio	ʔ iː l io	180
255	Navajo	dog	32	ɬeːʧãːʔi	ɬ eː ʧ ãː ʔ i	186
256	Turkish	dog	32	køpek	k ø p e k	181
# 
257	Albanian	drink	33	pi	p i	189
258	English	drink	33	drɪŋk	d r ɪ ŋ k	188
259	French	drink	33	bwa	b w a	190
