# OUG
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	North Mansi	all	1	pusən	p u s ə n	5
2	Middle Lozva Mansi	all	1	puʃn	p u ʃ n	5
3	Lower Lozva Mansi	all	1	ʃaq	ʃ a q	4
4	Pelymka Mansi	all	1	ʃoq	ʃ o q	4
5	Konda Mansi	all	1	soq	s o q	4
6	Tavda Mansi	all	1	ʃɔχ	ʃ ɔ χ	4
7	Vakh Khanty	all	1	ejnæːm	e j n æː m	1
8	Verkhne-Kalymsk Khanty	all	1	ejnæːm	e j n æː m	1
9	Vartovskoje Khanty	all	1	ejnæːm	e j n æː m	1
10	Likrisovskoje Khanty	all	1	ejnæːm	e j n æː m	1
11	Malyj Jugan Khanty	all	1	ejnæːm	e j n æː m	1
12	Tremjugan Khanty	all	1	ejnæːm	e j n æː m	1
13	Jugan Khanty	all	1	ejnæːm	e j n æː m	1
14	Upper Demjanka Khanty	all	1	χarnaː	χ a r n aː	6
15	Konda Khanty	all	1	pertæː	p e r t æː	3
16	Nizjam Khanty	all	1	isaχaːt	i s a χ aː t	2
17	Sherkaly Khanty	all	1	isaːt	i s aː t	2
18	Kazym Khanty	all	1	isaː	i s aː	2
19	Synja Khanty	all	1	isaː	i s aː	2
# 
20	North Mansi	ashes	2	χuʎəm	χ u ʎ ə m	9
21	Middle Lozva Mansi	ashes	2	quʎəm	q u ʎ ə m	9
22	Lower Lozva Mansi	ashes	2	quʎəm	q u ʎ ə m	9
23	Konda Mansi	ashes	2	quʎəm	q u ʎ ə m	9
24	Tavda Mansi	ashes	2	qoːʎəm	q oː ʎ ə m	9
25	Vakh Khanty	ashes	2	pæːr	p æː r	10
26	Vasjugan Khanty	ashes	2	pæːr	p æː r	10
27	Tremjugan Khanty	ashes	2	næːjpæːr	n æː j p æː r	7
28	Jugan Khanty	ashes	2	næːjpæːr	n æː j p æː r	7
29	Upper Demjanka Khanty	ashes	2	χoːjəm	χ oː j ə m	9
30	Konda Khanty	ashes	2	χoːjəm	χ oː j ə m	9
31	Nizjam Khanty	ashes	2	χɔːjəm	χ ɔː j ə m	9
32	Sherkaly Khanty	ashes	2	χɔːjəm	χ ɔː j ə m	9
33	Kazym Khanty	ashes	2	raːtχiʃ	r aː t χ i ʃ	8
34	Obdorsk Khanty	ashes	2	ræːtχis	r æː t χ i s	8
# 
35	North Mansi	bark	3	sul	s u l	12
36	Middle Lozva Mansi	bark	3	sul	s u l	12
37	Lower Lozva Mansi	bark	3	sul	s u l	12
38	Pelymka Mansi	bark	3	sul	s u l	12
39	Konda Mansi	bark	3	suːl	s uː l	12
40	Tavda Mansi	bark	3	su	s u	12
