# PAN
ID	Language	Gloss	GlossID	CogID	IPA	Tokens
# 
1	Maloh	hand	1	6	taŋan	t a ŋ a n
2	Merina (Malagasy)	hand	1	6	tanana	t a n a n a
3	Thao	hand	1	9	rima	r i m a
4	Palauan	hand	1	8	cʰim	cʰ i m
5	Tunjung	hand	1	5	aŋaʔ	a ŋ a ʔ
6	Bare'e	hand	1	2	pale	p a l e
7	Iban	hand	1	6	taŋan	t a ŋ a n
8	Iban	hand	1	11	jari	j a r i
9	Berawan (Long Terawan)	hand	1	3	tisu	t i s u
10	Berawan (Long Terawan)	hand	1	3	isu	i s u
11	Hanunoo	hand	1	4	kamaŋ	k a m a ŋ
12	Wuna	hand	1	9	lima	l i m a
13	Tetum	hand	1	9	liman	l i m a n
14	Mailu	hand	1	7	ima	i m a
15	Tsou	hand	1	10	mucu	m u c u
16	Nias	hand	1	6	taŋa	t a ŋ a
17	Central Amis	hand	1	4	kamaj	k a m a j
18	Chamorro	hand	1	5	kanːai	k a nː a i
19	Banoni	hand	1	1	numa	n u m a
20	Singhi	hand	1	6	toŋan	t o ŋ a n
# 
21	Maloh	left	2	21	kajoko	k a j o k o
22	Merina (Malagasy)	left	2	22	havia	h a v i a
23	Palauan	left	2	24	katur	k a t u r
24	Tunjung	left	2	23	ulaj	u l a j
25	Bare'e	left	2	14	kaiː	k a iː
26	Iban	left	2	19	kibaʔ	k i b a ʔ
27	Berawan (Long Terawan)	left	2	15	pəmaiŋ	p ə m a i ŋ
28	Moken	left	2	23	ʔeloj	ʔ e l o j
29	Hanunoo	left	2	18	wala	w a l a
30	Wuna	left	2	15	kema	k e m a
31	Tetum	left	2	21	karuk	k a r u k
32	Mailu	left	2	20	ebe	e b e
33	Tsou	left	2	16	vrina	v r i n a
34	Nias	left	2	19	kabera	k a b e r a
35	Central Amis	left	2	16	kawili	k a w i l i
36	Chamorro	left	2	17	akague	a k a g u e
37	Banoni	left	2	13	tororona	t o r o r o n a
38	Singhi	left	2	25	bait	b a i t
39	Banggi	left	2	12	kuikiwaŋ	k u i k i w a ŋ
# 
40	Maloh	right	3	32	kato	k a t o
41	Merina (Malagasy)	right	3	30	havanana	h a v a n a n a
42	Palauan	right	3	32	kadikm	k a d i k m
43	Tunjung	right	3	36	tauʔ	t a u ʔ
44	Bare'e	right	3	28	kana	k a n a
