# ROM
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Spanish	all	1	entero	e n t e r o	2
2	French	all	1	tu	t u	1
3	Portuguese	all	1	todu	t o d u	1
4	Romanian	all	1	tot	t o t	1
5	Italian	all	1	intɛro	i n t ɛ r o	2
6	Spanish	all	1	toðo	t o ð o	1
7	French	all	1	ɑ̃tje	ɑ̃ t j e	4
8	Romanian	all	1	ɨntreg	ɨ n t r e g	3
9	Italian	all	1	tutto	t u tː o	1
# 
10	Spanish	ashes	2	θeniθa	θ e n i θ a	8
11	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	7
12	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	6
13	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	5
14	Italian	ashes	2	ʧenere	ʧ e n e r e	5
# 
15	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	10
16	French	bark	3	ekɔʁs	e k ɔ ʁ s	11
17	Portuguese	bark	3	kaʃkɐ	k a ʃ k ɐ	9
18	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	9
19	Italian	bark	3	korteʧʧa	k o r t e ʧː a	10
# 
20	Spanish	belly	4	bjentre	b j e n t r e	12
21	French	belly	4	vɑ̃tʁ	v ɑ̃ t ʁ	13
22	Portuguese	belly	4	vẽtrə	v ẽ t r ə	13
23	Romanian	belly	4	pənteʦe	p ə n t e ʦ e	12
24	Italian	belly	4	panʧa	p a n ʧ a	14
25	Portuguese	belly	4	bɐʀigɐ	b ɐ ʀ i g ɐ	15
26	Italian	belly	4	vɛntre	v ɛ n t r e	12
# 
27	Spanish	big	5	ɡɾande	ɡ ɾ a n d e	18
28	French	big	5	ɡʁã	ɡ ʁ ã	19
29	Portuguese	big	5	grɐ̃də	g r ɐ̃ d ə	17
30	Romanian	big	5	mare	m a r e	16
31	Italian	big	5	ɡrande	ɡ r a n d e	18
# 
32	Spanish	bird	6	paxaro	p a x a r o	20
33	French	bird	6	wazo	w a z o	23
34	Portuguese	bird	6	avə	a v ə	21
35	Romanian	bird	6	pasəre	p a s ə r e	20
36	Italian	bird	6	uʧːɛllo	u ʧː ɛ lː o	22
37	Spanish	bird	6	ave	a v e	21
38	Portuguese	bird	6	pasɐru	p a s ɐ r u	20
# 
39	Spanish	bite (V)	7	moɾðeɾ	m o ɾ ð e ɾ	26
40	French	bite (V)	7	mɔʁdʁ	m ɔ ʁ d ʁ	25
41	Portuguese	bite (V)	7	murder	m u r d e r	25
42	Romanian	bite (V)	7	muʃka	m u ʃ k a	24
43	Italian	bite (V)	7	mɔrdere	m ɔ r d e r e	25
# 
44	Spanish	black	8	neɣɾo	n e ɣ ɾ o	27
45	French	black	8	nwaʁ	n w a ʁ	29
46	Portuguese	black	8	pretu	p r e t u	28
47	Romanian	black	8	neɡru	n e ɡ r u	27
48	Italian	black	8	nero	n e r o	27
# 
49	Spanish	blood	9	saŋɡɾe	s a ŋ ɡ ɾ e	32
50	French	blood	9	sɑ̃	s ɑ̃	31
51	Portuguese	blood	9	sɐ̃gə	s ɐ̃ g ə	31
52	Romanian	blood	9	sɨnʤe	s ɨ n ʤ e	30
53	Italian	blood	9	saŋɡwe	s a ŋ ɡ w e	32
# 
54	Spanish	bone	10	weso	w e s o	34
55	French	bone	10	ɔs	ɔ s	34
56	Portuguese	bone	10	osu	o s u	33
57	Romanian	bone	10	os	o s	33
58	Italian	bone	10	ɔsso	ɔ sː o	34
# 
59	Spanish	breast	11	seno	s e n o	37
60	French	breast	11	pwatʁin	p w a t ʁ i n	38
61	Portuguese	breast	11	pɐjtu	p ɐ j t u	36
62	Romanian	breast	11	pjept	p j e p t	35
63	Italian	breast	11	seno	s e n o	37
64	Spanish	breast	11	peʧo	p e ʧ o	37
65	French	breast	11	sɛ̃	s ɛ̃	39
66	Portuguese	breast	11	sɐju	s ɐ j u	36
67	Romanian	breast	11	sɨn	s ɨ n	39
68	Italian	breast	11	pɛtto	p ɛ tː o	36
# 
69	Spanish	burn (V)	12	kemaɾ	k e m a ɾ	43
70	French	burn (V)	12	bʁyle	b ʁ y l e	42
71	Portuguese	burn (V)	12	kɐjmar	k ɐ j m a r	41
72	Romanian	burn (V)	12	arde	a r d e	40
73	Italian	burn (V)	12	bruʧːare	b r u ʧː a r e	42
# 
74	Spanish	claw	13	uɲa	u ɲ a	44
75	French	claw	13	ɔ̃ɡl	ɔ̃ ɡ l	45
76	Portuguese	claw	13	uɲɐ	u ɲ ɐ	44
77	Romanian	claw	13	ungje	u n g j e	44
78	Italian	claw	13	unɡja	u n ɡ j a	44
# 
79	Spanish	cloud	14	nuβe	n u β e	47
80	French	cloud	14	nɥaj	n ɥ a j	48
81	Portuguese	cloud	14	nuvɐ̃j	n u v ɐ̃ j	47
82	Romanian	cloud	14	nor	n o r	46
83	Italian	cloud	14	nuvola	n u v o l a	47
# 
84	Spanish	cold	15	fri.o	f r i o	50
85	French	cold	15	fʁwa	f ʁ w a	51
86	Portuguese	cold	15	friw	f r i w	50
87	Romanian	cold	15	reʧe	r e ʧ e	49
88	Italian	cold	15	freddo	f r e dː o	50
89	Romanian	cold	15	frig	f r i g	50
# 
90	Spanish	come (V)	16	beniɾ	b e n i ɾ	52
91	French	come (V)	16	vəniʁ	v ə n i ʁ	52
92	Portuguese	come (V)	16	vir	v i r	52
93	Romanian	come (V)	16	veni	v e n i	52
94	Italian	come (V)	16	venire	v e n i r e	52
# 
95	Spanish	die (V)	17	moɾiɾ	m o ɾ i ɾ	53
96	French	die (V)	17	muʁiʁ	m u ʁ i ʁ	54
97	Portuguese	die (V)	17	muʀer	m u ʀ e r	54
98	Romanian	die (V)	17	muri	m u r i	53
99	Italian	die (V)	17	morire	m o r i r e	53
# 
100	Spanish	dog	18	pero	p e r o	58
101	French	dog	18	ʃjɛ̃	ʃ j ɛ̃	57
102	Portuguese	dog	18	kɐ̃uː	k ɐ̃uː	56
103	Romanian	dog	18	kɨjne	k ɨ j n e	55
104	Italian	dog	18	kane	k a n e	55
# 
105	Spanish	drink (V)	19	beβeɾ	b e β e ɾ	59
106	French	drink (V)	19	bwɑʁ	b w ɑ ʁ	61
107	Portuguese	drink (V)	19	bəber	b ə b e r	60
108	Romanian	drink (V)	19	be.a	b e a	59
109	Italian	drink (V)	19	bere	b e r e	59
# 
110	Spanish	dry	20	seko	s e k o	62
111	French	dry	20	sɛk	s ɛ k	62
112	Portuguese	dry	20	seku	s e k u	62
113	Romanian	dry	20	sek	s e k	62
114	Italian	dry	20	sekko	s e kː o	62
115	Portuguese	dry	20	ẽʃutu	ẽ ʃ u t u	64
116	Romanian	dry	20	uskat	u s k a t	63
117	Italian	dry	20	aʃʃutto	a ʃː u tː o	64
# 
118	Spanish	ear 1	21	oɾexa	o ɾ e x a	68
119	French	ear 1	21	ɔʁɛj	ɔ ʁ ɛ j	67
120	Portuguese	ear 1	21	oreʎɐ	o r e ʎ ɐ	66
121	Romanian	ear 1	21	ureke	u r e k e	65
122	Italian	ear 1	21	ɔrekkjo	ɔ r e kː j o	65
# 
123	Spanish	earth	22	tjera	t j e r a	70
124	French	earth	22	tɛʁ	t ɛ ʁ	70
125	Portuguese	earth	22	tɛʀɐ	t ɛ ʀ ɐ	70
126	Romanian	earth	22	pəmɨnt	p ə m ɨ n t	69
127	Italian	earth	22	tɛrra	t ɛ rː a	70
# 
128	Spanish	eat (V)	23	komeɾ	k o m e ɾ	72
129	French	eat (V)	23	mɑ̃ʒe	m ɑ̃ ʒ e	74
130	Portuguese	eat (V)	23	kumer	k u m e r	72
131	Romanian	eat (V)	23	mɨnka	m ɨ n k a	71
132	Italian	eat (V)	23	manʤare	m a n ʤ a r e	73
# 
133	Spanish	egg	24	weβo	w e β o	76
134	French	egg	24	œf	œ f	77
135	Portuguese	egg	24	ovu	o v u	75
136	Romanian	egg	24	ow	o w	75
137	Italian	egg	24	wɔvo	w ɔ v o	76
# 
138	Spanish	eye	25	oxo	o x o	78
139	French	eye	25	œj	œ j	81
140	Portuguese	eye	25	oʎu	o ʎ u	79
141	Romanian	eye	25	oki	o k i	78
142	Italian	eye	25	ɔkkjo	ɔ kː j o	80
# 
143	Spanish	fat	26	ɡɾasa	ɡ ɾ a s a	84
144	French	fat	26	ɡʁɛs	ɡ ʁ ɛ s	85
145	Portuguese	fat	26	gurdurɐ	g u r d u r ɐ	83
146	Romanian	fat	26	grəsime	g r ə s i m e	82
147	Italian	fat	26	ɡrasso	ɡ r a sː o	84
148	Spanish	fat	26	ɡoɾðo	ɡ o ɾ ð o	84
# 
149	Spanish	feather	27	pluma	p l u m a	87
150	French	feather	27	plym	p l y m	87
151	Portuguese	feather	27	penɐ	p e n ɐ	86
152	Romanian	feather	27	panə	p a n ə	86
153	Italian	feather	27	pjuma	p j u m a	87
154	Italian	feather	27	pɛnna	p ɛ nː a	86
# 
155	Spanish	fire	28	fweɣo	f w e ɣ o	89
156	French	fire	28	fø	f ø	88
157	Portuguese	fire	28	fogu	f o g u	88
158	Romanian	fire	28	fok	f o k	88
159	Italian	fire	28	fwɔko	f w ɔ k o	89
# 
160	Spanish	fish	29	peskaðo	p e s k a ð o	92
161	French	fish	29	pwasõ	p w a s õ	91
162	Portuguese	fish	29	pɐjʃə	p ɐ j ʃ ə	90
163	Romanian	fish	29	peʃte	p e ʃ t e	90
164	Italian	fish	29	peʃʃe	p e ʃː e	90
# 
165	Spanish	fly (V)	30	bolaɾ	b o l a ɾ	94
166	French	fly (V)	30	vɔle	v ɔ l e	95
167	Portuguese	fly (V)	30	vwar	v w a r	94
168	Romanian	fly (V)	30	zbura	z b u r a	93
169	Italian	fly (V)	30	volare	v o l a r e	94
# 
170	Spanish	foot	31	pje	p j e	97
171	French	foot	31	pje	p j e	97
172	Portuguese	foot	31	pɛ	p ɛ	97
173	Romanian	foot	31	piʧjor	p i ʧ j o r	96
174	Italian	foot	31	pjɛde	p j ɛ d e	97
# 
175	Spanish	full	32	ʎeno	ʎ e n o	100
176	French	full	32	plɛ̃	p l ɛ̃	98
177	Portuguese	full	32	ʃɐju	ʃ ɐ j u	99
178	Romanian	full	32	plin	p l i n	98
179	Italian	full	32	pjɛno	p j ɛ n o	98
# 
180	Spanish	give (V)	33	daɾ	d a ɾ	101
181	French	give (V)	33	dɔne	d ɔ n e	102
182	Portuguese	give (V)	33	dar	d a r	101
183	Romanian	give (V)	33	da	d a	101
184	Italian	give (V)	33	dare	d a r e	101
# 
185	Spanish	good	34	bweno	b w e n o	103
186	French	good	34	bɔ̃	b ɔ̃	104
187	Portuguese	good	34	bõ	b õ	104
188	Romanian	good	34	bun	b u n	103
189	Italian	good	34	bwɔno	b w ɔ n o	103
# 
190	Spanish	green	35	beɾðe	b e ɾ ð e	107
191	French	green	35	vɛʁ	v ɛ ʁ	106
192	Portuguese	green	35	verdə	v e r d ə	105
193	Romanian	green	35	verde	v e r d e	105
194	Italian	green	35	verde	v e r d e	105
# 
195	Spanish	hair	36	kaβeʎo	k a β e ʎ o	110
196	French	hair	36	ʃəvø	ʃ ə v ø	111
197	Portuguese	hair	36	kɐbelu	k ɐ b e l u	109
198	Romanian	hair	36	pər	p ə r	108
199	Italian	hair	36	kapello	k a p e lː o	110
# 
200	Spanish	hand	37	mano	m a n o	113
201	French	hand	37	mɛ̃	m ɛ̃	112
202	Portuguese	hand	37	mɐ̃w	m ɐ̃ w	112
203	Romanian	hand	37	mɨnə	m ɨ n ə	112
204	Italian	hand	37	mano	m a n o	113
# 
205	Spanish	head	38	kaβeθa	k a β e θ a	117
206	French	head	38	tɛt	t ɛ t	116
207	Portuguese	head	38	kɐbesɐ	k ɐ b e s ɐ	115
208	Romanian	head	38	kap	k a p	114
209	Italian	head	38	tɛsta	t ɛ s t a	116
# 
210	Spanish	hear (V)	39	o.ir	o i r	119
211	French	hear (V)	39	ɑ̃tɑ̃dʁ	ɑ̃ t ɑ̃ d ʁ	120
212	Portuguese	hear (V)	39	ovir	o v i r	119
213	Romanian	hear (V)	39	awzi	a w z i	118
214	Italian	hear (V)	39	udire	u d i r e	119
# 
215	Spanish	heart	40	koraθon	k o r a θ o n	122
216	French	heart	40	kœʁ	k œ ʁ	124
217	Portuguese	heart	40	kurɐsõ	k u r ɐ s õ	122
218	Romanian	heart	40	inimə	i n i m ə	121
219	Italian	heart	40	kwɔre	k w ɔ r e	123
# 
220	Spanish	horn	41	kweɾno	k w e ɾ n o	125
221	French	horn	41	kɔʁn	k ɔ ʁ n	125
222	Portuguese	horn	41	kornu	k o r n u	125
223	Romanian	horn	41	korn	k o r n	125
224	Italian	horn	41	kɔrno	k ɔ r n o	125
# 
225	Spanish	i	42	ʝo	ʝ o	126
226	French	i	42	ʒə	ʒ ə	128
227	Portuguese	i	42	ew	e w	127
228	Romanian	i	42	jo	j o	126
229	Italian	i	42	io	io	126
# 
230	Spanish	kill (V)	43	mataɾ	m a t a ɾ	130
231	French	kill (V)	43	tɥe	t ɥ e	131
232	Portuguese	kill (V)	43	mɐtar	m ɐ t a r	130
233	Romanian	kill (V)	43	uʧide	u ʧ i d e	129
234	Italian	kill (V)	43	uʧːidere	u ʧː i d e r e	129
# 
235	Spanish	knee	44	roðiʎa	r o ð i ʎ a	134
236	French	knee	44	ʒənu	ʒ ə n u	133
237	Portuguese	knee	44	ʒuɐʎu	ʒ uɐ ʎ u	133
238	Romanian	knee	44	ʤenunkʲ	ʤ e n u n kʲ	132
239	Italian	knee	44	ʤinɔkkjo	ʤ i n ɔ kː j o	132
# 
240	Spanish	know (V)	45	konoθer	k o n o θ e r	137
241	French	know (V)	45	savwaʁ	s a v w a ʁ	138
242	Portuguese	know (V)	45	kuɲəser	k u ɲ ə s e r	136
243	Romanian	know (V)	45	ʃti	ʃ t i	135
244	Italian	know (V)	45	konoʃʃere	k o n o ʃː e r e	137
245	Spanish	know (V)	45	saβeɾ	s a β e ɾ	139
246	French	know (V)	45	kɔnɛtʁ	k ɔ n ɛ t ʁ	140
247	Portuguese	know (V)	45	sɐber	s ɐ b e r	136
248	Romanian	know (V)	45	kunwaʃte	k u n w a ʃ t e	137
249	Italian	know (V)	45	sapere	s a p e r e	139
# 
250	Spanish	leaf	46	oxa	o x a	143
251	French	leaf	46	fœj	f œ j	141
252	Portuguese	leaf	46	foʎɐ	f o ʎ ɐ	142
253	Romanian	leaf	46	fwaje	f w a j e	141
254	Italian	leaf	46	fɔʎʎa	f ɔ ʎː a	142
# 
255	Spanish	lie 1 (V)	47	kostaðo	k o s t a ð o	147
256	French	lie 1 (V)	47	kuʃe	k u ʃ e	144
257	Portuguese	lie 1 (V)	47	dɐjtar	d ɐ j t a r	145
258	Romanian	lie 1 (V)	47	kulka	k u l k a	144
259	Italian	lie 1 (V)	47	ʤaʧere	ʤ a ʧ e r e	146
# 
260	Spanish	liver	48	iɣaðo	i ɣ a ð o	151
261	French	liver	48	fwɑ	f w ɑ	150
262	Portuguese	liver	48	figɐdu	f i g ɐ d u	149
