# SIN
ID	Languages	Gloss	GlossId	Ortho	IPA	CogID
# 
1	Meixian	sun	1	日头	ŋit¹tʰew¹¹	1
2	Changsha	sun	1	太阳	tʰaj⁵⁵jan¹³	2
3	Changsha	sun	1	日头	ʐʅ²⁴təw	5
4	Guixian	sun	1	太阳	tʰaj²¹³jaŋ²¹	2
5	Xiamen	sun	1	日头	lit⁵tʰaw	1
6	Xiamen	sun	1	太阳	tʰaj²¹jɔŋ³⁵	2
7	Hefei	sun	1	太阳	tʰᴇ⁵³jɑ̃	2
8	Hefei	sun	1	日头	ʐəʔ⁵tʰɯ	5
9	Jinan	sun	1	太阳	tʰɛ²¹jaŋ	2
10	Jinan	sun	1	老爷爷儿	lɔ⁵⁵jə⁴²jər⁴²	6
11	Jinan	sun	1	日头	ʐʅ²¹tʰow	5
12	Hangzhou	sun	1	太阳	tʰᴇ⁴⁴⁵ɦjɑŋ²¹³	2
13	Guangzhou	sun	1	热头	jit²tʰɐw²¹	1
14	Guangzhou	sun	1	太阳	tʰaj³³jœŋ²¹	2
15	Nanchang	sun	1	太阳	tʰaj²¹³iŋ⁰⁴	2
16	Nanchang	sun	1	日头	ȵiʔ⁵tʰu⁰²	1
17	Chengdu	sun	1	太阳	tʰaj¹³jaŋ³¹	2
18	Taiyuan	sun	1	阳婆	jɒ̃¹¹pʰɒ̃¹¹	3
19	Taiyuan	sun	1	太阳	taj⁴⁵jɒ̃¹¹	2
20	Shexian	sun	1	日头	ni²²tʰju⁴⁴	1
21	Shexian	sun	1	太阳	tʰa³²⁴ja⁴⁴	2
22	Beijing	sun	1	太阳	tʰaj⁵¹jɑŋ¹	2
23	Beijing	sun	1	老爷儿	lɑw²¹⁴ir³⁵	4
24	Beijing	sun	1	日头	ʐʅ⁵¹tʰow¹	5
25	Kunming	sun	1	太阳	tʰæ²¹²jᴀ̃³¹	2
26	Kunming	sun	1	热头	ʐə³¹tʰəw³¹	5
27	Shanghai	sun	1	太阳	tʰa³⁴ɦjã¹³	2
28	Shanghai	sun	1	日头	ȵjɪʔ¹dɤ¹³	1
# 
29	Meixian	moon	2	月光	ŋjat⁵kwoŋ⁴⁴	8
