# KSL
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Albanian	all	1	ɟiθ	ɟ i θ	4
2	English	all	1	ɔl	ɔ l	3
3	French	all	1	tut	t u t	5
4	German	all	1	al	a l	3
5	Hawaiian	all	1	apau	a p au	1
7	Navajo	all	1	ʔayɬʦo	ʔ ay ɬ ʦ o	6
8	Turkish	all	1	bytyn	b y t y n	2
# 
9	Albanian	and	2	e	e	10
10	English	and	2	and	a n d	9
11	French	and	2	e	e	11
12	German	and	2	unt	u n t	9
13	Hawaiian	and	2	aː	aː	7
15	Navajo	and	2	doː	d oː	12
16	Turkish	and	2	ve	v e	8
# 
17	Albanian	animal	3	kafʃ	k a f ʃ	16
18	English	animal	3	anəməl	a n ə m ə l	18
19	French	animal	3	animal	a n i m a l	17
20	German	animal	3	tiːr	t iː r	15
21	Hawaiian	animal	3	holoholona	h o l o h o l o n a	13
23	Navajo	animal	3	naːldeːhiː	n aː l d eː h iː	19
24	Turkish	animal	3	hajvan	h a j v a n	14
# 
25	Albanian	ashes	4	hir	h i r	23
26	English	ashes	4	aʃ	a ʃ	22
27	French	ashes	4	sɑ̃dr	s ɑ̃ d r	24
28	German	ashes	4	aʃə	a ʃ ə	22
29	Hawaiian	ashes	4	lehu	l e h u	20
31	Navajo	ashes	4	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	25
32	Turkish	ashes	4	kyl	k y l	21
# 
33	Albanian	at	5	nə	n ə	28
34	English	at	5	at	a t	30
35	French	at	5	a	a	29
36	German	at	5	an	a n	28
37	Hawaiian	at	5	ma	m a	26
39	Navajo	at	5	di	d i	31
40	Turkish	at	5	de	d e	27
# 
41	Albanian	back	6	ʃpin	ʃ p i n	34
42	English	back	6	bak	b a k	36
43	French	back	6	do	d o	35
44	German	back	6	rykən	r y k ə n	33
45	Hawaiian	back	6	kua	k ua	32
47	Navajo	back	6	nayɣah	n ay ɣ a h	37
48	Turkish	back	6	arka	a r k a	32
# 
49	Albanian	bad	7	kec	k e c	41
50	English	bad	7	bad	b a d	43
51	French	bad	7	mɔvɛz	m ɔ v ɛ z	42
52	German	bad	7	ʃlext	ʃ l e x t	40
53	Hawaiian	bad	7	ʔino	ʔ i n o	38
55	Navajo	bad	7	jayʔayʃõõ	j ay ʔ ay ʃ õõ	44
56	Turkish	bad	7	køty	k ø t y	39
# 
57	Albanian	bark	8	ʃkəlboz	ʃ k ə l b o z	48
58	English	bark	8	bɑrk	b ɑ r k	50
59	French	bark	8	ekɔrs	e k ɔ r s	49
60	German	bark	8	rində	r i n d ə	47
61	Hawaiian	bark	8	ʔili	ʔ i l i	45
63	Navajo	bark	8	kayʃtˀoːʒ	k ay ʃ tˀ oː ʒ	51
64	Turkish	bark	8	kabuk	k a b u k	46
# 
65	Albanian	because	9	sepse	s e p s e	55
66	English	because	9	bəkɔz	b ə k ɔ z	57
67	French	because	9	pars	p a r s	56
68	German	because	9	vail	v ai l	54
69	Hawaiian	because	9	aːmea	aː m ea	52
71	Navajo	because	9	haːlay	h aː l ay	58
72	Turkish	because	9	ʧynky	ʧ y n k y	53
# 
73	Albanian	belly	10	bark	b a r k	62
74	English	belly	10	bɛli	b ɛ l i	64
75	French	belly	10	vɑ̃tr	v ɑ̃ t r	63
76	German	belly	10	baux	b au x	61
77	Hawaiian	belly	10	ʔoːpuː	ʔ oː p uː	59
79	Navajo	belly	10	bid	b i d	61
80	Turkish	belly	10	karn	k a r n	60
# 
81	Albanian	big	11	mað	m a ð	68
82	English	big	11	bɪg	b ɪ g	69
83	French	big	11	grɑ̃d	g r ɑ̃ d	67
84	German	big	11	groːs	g r oː s	67
85	Hawaiian	big	11	nui	n ui	65
87	Navajo	big	11	ʔayniɬʦo	ʔ ay n i ɬ ʦ o	70
88	Turkish	big	11	byjyk	b y j y k	66
# 
89	Albanian	bird	12	zog	z o g	74
90	English	bird	12	bərd	b ə r d	76
91	French	bird	12	wazo	w a z o	75
92	German	bird	12	foːgəl	f oː g ə l	73
93	Hawaiian	bird	12	manu	m a n u	71
95	Navajo	bird	12	ʦidiː	ʦ i d iː	77
96	Turkish	bird	12	kuʃ	k u ʃ	72
# 
97	Albanian	bite	13	kafʃo	k a f ʃ o	81
98	English	bite	13	bait	b ai t	80
99	French	bite	13	mɔr	m ɔ r	82
100	German	bite	13	bais	b ai s	80
101	Hawaiian	bite	13	nahu	n a h u	78
103	Navajo	bite	13	ʔahayɬhaːʃ	ʔ a h ay ɬ h aː ʃ	83
104	Turkish	bite	13	ɯsɯr	ɯ s ɯ r	79
# 
105	Albanian	black	14	zez	z e z	87
106	English	black	14	blak	b l a k	89
107	French	black	14	nwar	n w a r	88
108	German	black	14	ʃvarʦ	ʃ v a r ʦ	86
109	Hawaiian	black	14	ʔeleʔele	ʔ e l e ʔ e l e	84
111	Navajo	black	14	ɬiʒin	ɬ i ʒ i n	90
112	Turkish	black	14	kara	k a r a	85
# 
113	Albanian	blood	15	ɟakr	ɟ a k r	94
114	English	blood	15	bləd	b l ə d	93
115	French	blood	15	sɑ̃	s ɑ̃	95
116	German	blood	15	bluːt	b l uː t	93
117	Hawaiian	blood	15	koko	k o k o	91
119	Navajo	blood	15	diɬ	d i ɬ	96
120	Turkish	blood	15	kan	k a n	92
# 
121	Albanian	blow	16	fry	f r y	100
122	English	blow	16	blo	b l o	99
123	French	blow	16	vɑ̃te	v ɑ̃ t e	101
124	German	blow	16	blaːz	b l aː z	99
125	Hawaiian	blow	16	puhi	p u h i	97
127	Navajo	blow	16	niʧˀi	n i ʧˀ i	102
128	Turkish	blow	16	es	e s	98
# 
129	Albanian	bone	17	koʦk	k o ʦ k	106
130	English	bone	17	bon	b o n	108
131	French	bone	17	ɔs	ɔ s	107
132	German	bone	17	knoxən	k n o x ə n	105
133	Hawaiian	bone	17	iwi	i w i	103
135	Navajo	bone	17	ʦˀin	ʦˀ i n	109
136	Turkish	bone	17	kemik	k e m i k	104
# 
137	Albanian	breast	18	ɟir	ɟ i r	113
138	English	breast	18	brɛst	b r ɛ s t	112
139	French	breast	18	sɛ̃	s ɛ̃	114
140	German	breast	18	brust	b r u s t	112
141	Hawaiian	breast	18	uː	uː	110
143	Navajo	breast	18	beʔ	b e ʔ	115
144	Turkish	breast	18	meme	m e m e	111
# 
145	Albanian	breathe	19	frym	f r y m	119
146	English	breathe	19	brið	b r i ð	121
147	French	breathe	19	rɛspire	r ɛ s p i r e	120
148	German	breathe	19	aːtm	aː t m	118
149	Hawaiian	breathe	19	hanu	h a n u	116
151	Navajo	breathe	19	ńdiʣih	ń d i ʣ i h	122
152	Turkish	breathe	19	nefes	n e f e s	117
# 
153	Albanian	burn	20	diɟ	d i ɟ	126
154	English	burn	20	bərn	b ə r n	125
155	French	burn	20	bryle	b r y l e	127
156	German	burn	20	bren	b r e n	125
157	Hawaiian	burn	20	ʔaː	ʔ aː	123
159	Navajo	burn	20	diltˡiʔ	d i l tˡ i ʔ	128
160	Turkish	burn	20	jan	j a n	124
# 
161	Albanian	child	21	fəmiʎ	f ə m i ʎ	132
162	English	child	21	ʧaild	ʧ ai l d	134
163	French	child	21	ɑ̃fɑ̃t	ɑ̃ f ɑ̃ t	133
164	German	child	21	kind	k i n d	131
165	Hawaiian	child	21	keiki	k ei k i	129
167	Navajo	child	21	ʔʃkiː	ʔ ʃ k iː	129
168	Turkish	child	21	ʧoʤuk	ʧ o ʤ u k	130
# 
169	Albanian	claw	22	θon	θ o n	138
170	English	claw	22	klɔ	k l ɔ	137
171	French	claw	22	grif	g r i f	139
172	German	claw	22	klauə	k l auə	137
173	Hawaiian	claw	22	mikiʔao	m i k i ʔ ao	135
175	Navajo	claw	22	keʃgaː	k e ʃ g aː	140
176	Turkish	claw	22	tɯrnak	t ɯ r n a k	136
# 
177	Albanian	cloud	23	re	r e	144
178	English	cloud	23	klaud	k l au d	146
179	French	cloud	23	nɥaʒ	n ɥ a ʒ	145
180	German	cloud	23	volkə	v o l k ə	143
181	Hawaiian	cloud	23	ao	ao	141
183	Navajo	cloud	23	kˀos	kˀ o s	147
184	Turkish	cloud	23	bulut	b u l u t	142
# 
185	Albanian	cold	24	ftohət	f t o h ə t	151
186	English	cold	24	kold	k o l d	150
187	French	cold	24	frwad	f r w a d	152
188	German	cold	24	kalt	k a l t	150
189	Hawaiian	cold	24	anu	a n u	148
191	Navajo	cold	24	sikˀaz	s i kˀ a z	153
192	Turkish	cold	24	soɣuk	s o ɣ u k	149
# 
193	Albanian	come	25	vjen	v j e n	157
194	English	come	25	kəm	k ə m	156
195	French	come	25	vjɛ̃	v j ɛ̃	157
196	German	come	25	kom	k o m	156
197	Hawaiian	come	25	hele	h e l e	154
199	Navajo	come	25	jiɣaːh	j i ɣ aː h	158
200	Turkish	come	25	gel	g e l	155
# 
201	Albanian	count	26	numəruar	n u m ə r ua r	162
202	English	count	26	kaunt	k au n t	164
203	French	count	26	kɔ̃te	k ɔ̃ t e	163
204	German	count	26	ʦeːl	ʦ eː l	161
205	Hawaiian	count	26	helu	h e l u	159
207	Navajo	count	26	iːniɬtaʔ	iː n i ɬ t a ʔ	165
208	Turkish	count	26	saj	s a j	160
# 
209	Albanian	cut	27	pres	p r e s	169
210	English	cut	27	kət	k ə t	171
211	French	cut	27	kupe	k u p e	170
212	German	cut	27	ʃnaid	ʃ n ai d	168
213	Hawaiian	cut	27	ʔoki	ʔ o k i	166
215	Navajo	cut	27	ʔahaygeːʃ	ʔ a h ay g eː ʃ	172
216	Turkish	cut	27	kes	k e s	167
# 
217	Albanian	day	28	dit	d i t	176
218	English	day	28	de	d e	178
219	French	day	28	ʒur	ʒ u r	177
220	German	day	28	taːg	t aː g	175
221	Hawaiian	day	28	laː	l aː	173
223	Navajo	day	28	ʤĩ́	ʤ ĩ́	178
224	Turkish	day	28	gyn	g y n	174
# 
225	Albanian	die	29	vdes	v d e s	182
226	English	die	29	dai	d ai	184
227	French	die	29	mœr	m œ r	183
228	German	die	29	ʃterb	ʃ t e r b	181
229	Hawaiian	die	29	make	m a k e	179
231	Navajo	die	29	daːzʦã́	d aː z ʦ ã́	185
232	Turkish	die	29	øl	ø l	180
# 
233	Albanian	dig	30	gərmo	g ə r m o	189
234	English	dig	30	dɪg	d ɪ g	190
235	French	dig	30	krøze	k r ø z e	189
236	German	dig	30	graːb	g r aː b	188
237	Hawaiian	dig	30	ʔeli	ʔ e l i	186
239	Navajo	dig	30	hahageːd	h a h a g eː d	191
240	Turkish	dig	30	kaz	k a z	187
# 
241	Albanian	dirty	31	ndyr	n d y r	195
242	English	dirty	31	dərti	d ə r t i	197
243	French	dirty	31	sal	s a l	196
244	German	dirty	31	ʃmuʦix	ʃ m u ʦ i x	194
245	Hawaiian	dirty	31	lepo	l e p o	192
247	Navajo	dirty	31	baːʔih	b aː ʔ i h	198
248	Turkish	dirty	31	pis	p i s	193
# 
249	Albanian	dog	32	cen	c e n	202
250	English	dog	32	dɑg	d ɑ g	203
251	French	dog	32	ʃjɛn	ʃ j ɛ n	202
252	German	dog	32	hund	h u n d	201
253	Hawaiian	dog	32	ʔiːlio	ʔ iː l io	199
255	Navajo	dog	32	ɬeːʧãːʔi	ɬ eː ʧ ãː ʔ i	204
256	Turkish	dog	32	køpek	k ø p e k	200
# 
257	Albanian	drink	33	pi	p i	208
258	English	drink	33	drɪŋk	d r ɪ ŋ k	207
259	French	drink	33	bwa	b w a	208
