# PIE
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Dutch	all	1	ɑlə	ɑ l ə	4
2	Swedish	all	1	alː	a lː	1
3	English	all	1	ɔːl	ɔː l	1
4	German	all	1	al	a l	1
5	Spanish	all	1	entero	e n t e r o	6
6	Danish	all	1	æˀl	æˀ l	1
7	Bulgarian	all	1	vsiʧki	v s i ʧ k i	2
8	Greek	all	1	kaθe	k a θ e	7
9	Romanian	all	1	tot	t o t	5
10	Russian	all	1	fsʲe	f sʲ e	2
11	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	2
12	Norwegian	all	1	ɑlə	ɑ l ə	4
13	French	all	1	tu	t u	5
14	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	2
15	Icelandic	all	1	at͡lir	a t͡l i r	3
16	Italian	all	1	intɛro	i n t ɛ r o	6
17	Hindi	all	1	səb	s ə b	8
18	Portuguese	all	1	todu	t o d u	5
19	Spanish	all	1	toðo	t o ð o	5
20	Romanian	all	1	ɨntreg	ɨ n t r e g	6
21	French	all	1	ɑ̃tje	ɑ̃ t j e	3
22	Italian	all	1	tutto	t u tː o	5
23	Hindi	all	1	saːraː	s aː r aː	4
# 
24	Dutch	ashes	2	ɑs	ɑ s	9
25	Swedish	ashes	2	asːka	a sː k a	9
26	English	ashes	2	æʃ	æ ʃ	9
27	German	ashes	2	aʃə	a ʃ ə	9
28	Spanish	ashes	2	θeniθa	θ e n i θ a	13
29	Danish	ashes	2	asg	a s g	9
30	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	10
31	Greek	ashes	2	staxti	s t a x t i	16
32	Armenian	ashes	2	moχiɾ	m o χ i ɾ	14
33	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	12
34	Russian	ashes	2	zɐla	z ɐ l a	18
35	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	10
36	Norwegian	ashes	2	ɑsk	ɑ s k	9
37	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	15
38	Czech	ashes	2	popɛl	p o p ɛ l	10
39	Icelandic	ashes	2	aska	a s k a	11
40	Italian	ashes	2	ʧenere	ʧ e n e r e	12
41	Hindi	ashes	2	raːkʰ	r aː kʰ	17
42	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	12
43	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	10
# 
44	Dutch	bark	3	bɑst	b ɑ s t	21
45	Swedish	bark	3	barːk	b a rː k	19
46	English	bark	3	bɑːrk	b ɑː r k	19
47	German	bark	3	rɪndə	r ɪ n d ə	22
48	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	23
49	Danish	bark	3	bɑːg	b ɑː g	19
50	Bulgarian	bark	3	kora	k o r a	20
51	Greek	bark	3	flios	f l io s	24
52	Armenian	bark	3	kɛʁɛv	k ɛ ʁ ɛ v	20
53	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	23
54	Russian	bark	3	kɐra	k ɐ r a	20
55	Polish	bark	3	kɔra	k ɔ r a	20
56	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	19
57	French	bark	3	ekɔʁs	e k ɔ ʁ s	23
58	Czech	bark	3	kuːra	k uː r a	20
59	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	19
60	Italian	bark	3	korteʧʧa	k o r t e ʧː a	23
61	Hindi	bark	3	ʧʰaːl	ʧʰ aː l	26
62	Portuguese	bark	3	kaʃkɐ	k a ʃ k ɐ	25
# 
63	Dutch	belly	4	bœyk	b œy k	31
64	Swedish	belly	4	maːge	m aː g e	27
65	English	belly	4	bɛlɪ	b ɛ l ɪ	36
66	German	belly	4	baux	b au x	31
67	Spanish	belly	4	bjentre	b j e n t r e	33
68	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	28
69	Bulgarian	belly	4	korɛm	k o r ɛ m	29
70	Greek	belly	4	ciʎa	c i ʎ a	34
71	Romanian	belly	4	pənteʦe	p ə n t e ʦ e	32
72	Russian	belly	4	ʒɨvot	ʒ ɨ v o t	37
73	Polish	belly	4	bʒux	b ʒ u x	38
74	Norwegian	belly	4	mɑːgə	m ɑː g ə	27
75	French	belly	4	vɑ̃tʁ	v ɑ̃ t ʁ	33
76	Czech	belly	4	brɪxo	b r ɪ x o	32
77	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	30
78	Italian	belly	4	panʧa	p a n ʧ a	32
79	Hindi	belly	4	peːʈ	p eː ʈ	35
80	Portuguese	belly	4	vẽtrə	v ẽ t r ə	33
81	Swedish	belly	4	buk	b u k	31
82	Danish	belly	4	mæːvə	m æː v ə	27
83	Norwegian	belly	4	bʉːk	b ʉː k	31
84	Italian	belly	4	vɛntre	v ɛ n t r e	33
85	Portuguese	belly	4	bɐʀigɐ	b ɐ ʀ i g ɐ	32
# 
86	Dutch	big	5	xroːt	x r oː t	41
87	Swedish	big	5	stoːr	s t oː r	39
88	English	big	5	bɪɡ	b ɪ ɡ	47
89	German	big	5	ɡroːs	ɡ r oː s	41
90	Spanish	big	5	ɡɾande	ɡ ɾ a n d e	43
91	Danish	big	5	sdoˀʁ	s d oˀ ʁ	39
92	Bulgarian	big	5	golʲam	g o lʲ a m	40
93	Greek	big	5	meɣalos	m e ɣ a l o s	45
94	Armenian	big	5	mɛʦ	m ɛ ʦ	44
95	Romanian	big	5	mare	m a r e	42
96	Russian	big	5	bɐlʲʃoj	b ɐ lʲ ʃ o j	46
97	Polish	big	5	vʲɛlki	vʲ ɛ l k i	48
98	Norwegian	big	5	stuːɾ	s t uː ɾ	39
99	French	big	5	ɡʁã	ɡ ʁ ã	43
100	Czech	big	5	vɛlkiː	v ɛ l k iː	48
101	Icelandic	big	5	stouːr	s t ouː r	39
102	Italian	big	5	ɡrande	ɡ r a n d e	43
103	Hindi	big	5	bəɽaː	b ə ɽ aː	46
104	Portuguese	big	5	grɐ̃də	g r ɐ̃ d ə	43
105	English	big	5	ɡreɪt	ɡ r eɪ t	41
106	Polish	big	5	duʒɨ	d u ʒ ɨ	49
107	Icelandic	big	5	mɪːcɪt͡l	m ɪː c ɪ t͡l	49
# 
108	Dutch	bird	6	voːɣəl	v oː ɣ ə l	50
109	Swedish	bird	6	foːgel	f oː g e l	50
110	English	bird	6	bɜːrd	b ɜː r d	58
111	German	bird	6	foːɡəl	f oː ɡ ə l	50
112	Spanish	bird	6	paxaro	p a x a r o	52
113	Danish	bird	6	fuˀl	f uˀ l	50
114	Bulgarian	bird	6	ptiʦə	p t i ʦ ə	51
115	Greek	bird	6	puli	p u l i	55
116	Armenian	bird	6	tʰərʧʰun	tʰ ə r ʧʰ u n	53
117	Romanian	bird	6	pasəre	p a s ə r e	52
118	Russian	bird	6	ptʲiʦə	p tʲ i ʦ ə	51
119	Polish	bird	6	ptak	p t a k	51
120	Norwegian	bird	6	fʉːl	f ʉː l	50
121	French	bird	6	wazo	w a z o	54
122	Czech	bird	6	ptaːk	p t aː k	51
123	Icelandic	bird	6	fʏkl	f ʏ k l	50
124	Italian	bird	6	uʧːɛllo	u ʧː ɛ lː o	57
125	Hindi	bird	6	ʧɪɽɪyaː	ʧ ɪ ɽ ɪyaː	57
126	Portuguese	bird	6	avə	a v ə	56
127	Spanish	bird	6	ave	a v e	56
128	Portuguese	bird	6	pasɐru	p a s ɐ r u	52
# 
129	Dutch	bite (V)	7	bɛɪtə	b ɛɪ t ə	59
130	Swedish	bite (V)	7	biːta	b iː t a	59
131	English	bite (V)	7	baɪt	b aɪ t	59
132	German	bite (V)	7	baisən	b ai s ə n	59
133	Spanish	bite (V)	7	moɾðeɾ	m o ɾ ð e ɾ	62
134	Danish	bite (V)	7	biːðə	b iː ð ə	59
135	Bulgarian	bite (V)	7	xəpa	x ə p a	60
136	Greek	bite (V)	7	ðaŋɡono	ð a ŋ ɡ o n o	64
137	Armenian	bite (V)	7	kəʦɛl	k ə ʦ ɛ l	63
138	Romanian	bite (V)	7	muʃka	m u ʃ k a	61
139	Russian	bite (V)	7	kusatʲ	k u s a tʲ	66
140	Polish	bite (V)	7	ssaʨ	sː a ʨ	67
141	Norwegian	bite (V)	7	biːtə	b iː t ə	59
142	French	bite (V)	7	mɔʁdʁ	m ɔ ʁ d ʁ	62
143	Czech	bite (V)	7	kowsat	k o w s a t	66
144	Icelandic	bite (V)	7	piːta	p iː t a	59
145	Italian	bite (V)	7	mɔrdere	m ɔ r d e r e	62
146	Hindi	bite (V)	7	kaːʈnaː	k aː ʈ n aː	65
147	Portuguese	bite (V)	7	murder	m u r d e r	62
# 
148	Dutch	black	8	zʋɑrt	z ʋ ɑ r t	68
149	Swedish	black	8	svartː	s v a r tː	68
150	English	black	8	blæk	b l æ k	75
151	German	black	8	ʃvart͡s	ʃ v a r t͡s	68
152	Spanish	black	8	neɣɾo	n e ɣ ɾ o	70
153	Danish	black	8	sɒːd	s ɒː d	68
154	Bulgarian	black	8	ʧɛrɛn	ʧ ɛ r ɛ n	69
155	Greek	black	8	mavros	m a v r o s	72
156	Armenian	black	8	sɛv	s ɛ v	71
157	Romanian	black	8	neɡru	n e ɡ r u	70
158	Russian	black	8	ʧornɨj	ʧ o r n ɨ j	69
159	Polish	black	8	ʧarnɨ	ʧ a r n ɨ	69
160	Norwegian	black	8	sɔʈ	s ɔ ʈ	68
161	French	black	8	nwaʁ	n w a ʁ	70
162	Czech	black	8	ʧɛrniː	ʧ ɛ r n iː	69
163	Icelandic	black	8	svar̥tʏr	s v a r̥ t ʏ r	68
164	Italian	black	8	nero	n e r o	70
165	Hindi	black	8	kaːlaː	k aː l aː	74
166	Portuguese	black	8	pretu	p r e t u	73
# 
167	Dutch	blood	9	bluːt	b l uː t	76
168	Swedish	blood	9	bloːd	b l oː d	76
169	English	blood	9	blʌd	b l ʌ d	76
170	German	blood	9	bluːt	b l uː t	76
171	Spanish	blood	9	saŋɡɾe	s a ŋ ɡ ɾ e	78
172	Danish	blood	9	bloˀð	b l oˀ ð	76
173	Bulgarian	blood	9	krɤf	k r ɤ f	77
174	Greek	blood	9	ema	e m a	80
175	Armenian	blood	9	ɑɾɪun	ɑ ɾ ɪu n	79
176	Romanian	blood	9	sɨnʤe	s ɨ n ʤ e	78
177	Russian	blood	9	krofʲ	k r o fʲ	77
178	Polish	blood	9	krɛf	k r ɛ f	77
