# GER
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	German	all	1	al	a l	1
2	English	all	1	ɔːl	ɔː l	1
3	Danish	all	1	æˀl	æˀ l	1
4	Swedish	all	1	alː	a lː	1
5	Icelandic	all	1	at͡lir	a t͡l i r	2
6	Dutch	all	1	ɑlə	ɑ l ə	1
7	Norwegian	all	1	ɑlə	ɑ l ə	1
# 
8	German	ashes	2	aʃə	a ʃ ə	3
9	English	ashes	2	æʃ	æ ʃ	3
10	Danish	ashes	2	asg	a s g	3
11	Swedish	ashes	2	asːka	a sː k a	3
12	Icelandic	ashes	2	aska	a s k a	4
13	Dutch	ashes	2	ɑs	ɑ s	3
14	Norwegian	ashes	2	ɑsk	ɑ s k	3
# 
15	German	bark	3	rɪndə	r ɪ n d ə	6
16	English	bark	3	bɑːrk	b ɑː r k	5
17	Danish	bark	3	bɑːg	b ɑː g	5
18	Swedish	bark	3	barːk	b a rː k	5
19	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	5
20	Dutch	bark	3	bɑst	b ɑ s t	7
21	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	5
# 
22	German	belly	4	baux	b au x	11
23	English	belly	4	bɛlɪ	b ɛ l ɪ	12
24	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	9
25	Swedish	belly	4	maːge	m aː g e	8
26	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	10
27	Dutch	belly	4	bœyk	b œy k	11
28	Norwegian	belly	4	mɑːgə	m ɑː g ə	8
29	Danish	belly	4	mæːvə	m æː v ə	8
30	Swedish	belly	4	buk	b u k	11
31	Norwegian	belly	4	bʉːk	b ʉː k	11
# 
32	German	big	5	ɡroːs	ɡ r oː s	14
33	English	big	5	bɪɡ	b ɪ ɡ	15
34	Danish	big	5	sdoˀʁ	s d oˀ ʁ	13
35	Swedish	big	5	stoːr	s t oː r	13
36	Icelandic	big	5	stouːr	s t ouː r	13
37	Dutch	big	5	xroːt	x r oː t	14
38	Norwegian	big	5	stuːɾ	s t uː ɾ	13
39	English	big	5	ɡreɪt	ɡ r eɪ t	14
40	Icelandic	big	5	mɪːcɪt͡l	m ɪː c ɪ t͡l	16
# 
41	German	bird	6	foːɡəl	f oː ɡ ə l	17
42	English	bird	6	bɜːrd	b ɜː r d	18
43	Danish	bird	6	fuˀl	f uˀ l	17
44	Swedish	bird	6	foːgel	f oː g e l	17
45	Icelandic	bird	6	fʏkl	f ʏ k l	17
46	Dutch	bird	6	voːɣəl	v oː ɣ ə l	17
47	Norwegian	bird	6	fʉːl	f ʉː l	17
# 
48	German	bite (V)	7	baisən	b ai s ə n	19
49	English	bite (V)	7	baɪt	b aɪ t	19
50	Danish	bite (V)	7	biːðə	b iː ð ə	19
51	Swedish	bite (V)	7	biːta	b iː t a	19
52	Icelandic	bite (V)	7	piːta	p iː t a	19
53	Dutch	bite (V)	7	bɛɪtə	b ɛɪ t ə	19
54	Norwegian	bite (V)	7	biːtə	b iː t ə	19
# 
55	German	black	8	ʃvart͡s	ʃ v a r t͡s	20
56	English	black	8	blæk	b l æ k	21
57	Danish	black	8	sɒːd	s ɒː d	20
58	Swedish	black	8	svartː	s v a r tː	20
59	Icelandic	black	8	svar̥tʏr	s v a r̥ t ʏ r	20
60	Dutch	black	8	zʋɑrt	z ʋ ɑ r t	20
61	Norwegian	black	8	sɔʈ	s ɔ ʈ	20
# 
62	German	blood	9	bluːt	b l uː t	22
63	English	blood	9	blʌd	b l ʌ d	22
64	Danish	blood	9	bloˀð	b l oˀ ð	22
65	Swedish	blood	9	bloːd	b l oː d	22
66	Icelandic	blood	9	plouːθ	p l ouː θ	22
67	Dutch	blood	9	bluːt	b l uː t	22
68	Norwegian	blood	9	bluː	b l uː	22
# 
69	German	bone	10	knɔxən	k n ɔ x ə n	24
70	English	bone	10	bəʊn	b əʊ n	23
71	Danish	bone	10	beˀn	b eˀ n	23
72	Swedish	bone	10	beːn	b eː n	23
73	Icelandic	bone	10	peiːn	p eiː n	23
74	Dutch	bone	10	beːn	b eː n	23
75	Norwegian	bone	10	beːn	b eː n	23
# 
76	German	breast	11	brʊst	b r ʊ s t	25
77	English	breast	11	brɛst	b r ɛ s t	25
78	Danish	breast	11	bʁœsd	b ʁ œ s d	25
79	Swedish	breast	11	brøst	b r ø s t	25
80	Icelandic	breast	11	b̥rjousd̥	b̥ r j ou s d̥	25
81	Dutch	breast	11	bɔrst	b ɔ r s t	25
82	Norwegian	breast	11	bɾyst	b ɾ y s t	25
# 
83	German	burn (V)	12	brɛnən	b r ɛ n ə n	26
84	English	burn (V)	12	bɜːrn	b ɜː r n	26
85	Danish	burn (V)	12	bʁanə	b ʁ a n ə	26
86	Swedish	burn (V)	12	brɛnːa	b r ɛ nː a	26
87	Icelandic	burn (V)	12	b̥rɛtna	b̥ r ɛ t n a	26
88	Dutch	burn (V)	12	brɑndə	b r ɑ n d ə	26
89	Norwegian	burn (V)	12	bɾenə	b ɾ e n ə	26
# 
90	German	claw	13	naːɡəl	n aː ɡ ə l	27
91	English	claw	13	neɪl	n eɪ l	27
92	Danish	claw	13	nɑjˀl	n ɑ jˀ l	27
93	Swedish	claw	13	naːgel	n aː g e l	27
94	Icelandic	claw	13	nakl	n a k l	27
95	Dutch	claw	13	naːɣəl	n aː ɣ ə l	27
96	Norwegian	claw	13	næjl	n æ j l	27
# 
97	German	cloud	14	vɔlkə	v ɔ l k ə	29
98	English	cloud	14	klaʊd	k l aʊ d	30
99	Danish	cloud	14	sgyˀ	s g yˀ	28
100	Swedish	cloud	14	ɧyː	ɧ yː	28
101	Icelandic	cloud	14	sciː	s c iː	28
102	Dutch	cloud	14	ʋɔlk	ʋ ɔ l k	29
103	Norwegian	cloud	14	ʃyː	ʃ yː	28
104	Swedish	cloud	14	moːln	m oː l n	31
# 
105	German	cold	15	kalt	k a l t	32
106	English	cold	15	kəʊld	k əʊ l d	32
107	Danish	cold	15	kʌlˀ	k ʌ lˀ	32
108	Swedish	cold	15	kalː	k a lː	32
109	Icelandic	cold	15	kʰaltʏr	kʰ a l t ʏ r	32
110	Dutch	cold	15	kɑut	k ɑu t	32
111	Norwegian	cold	15	kɑl	k ɑ l	32
# 
112	German	come (V)	16	kɔmən	k ɔ m ə n	33
113	English	come (V)	16	kʌm	k ʌ m	33
114	Danish	come (V)	16	kʌmə	k ʌ m ə	33
115	Swedish	come (V)	16	komːa	k o mː a	33
116	Icelandic	come (V)	16	kʰɔːma	kʰ ɔː m a	33
117	Dutch	come (V)	16	aːŋkoːmə	aː ŋ k oː m ə	34
118	Norwegian	come (V)	16	kɔmə	k ɔ m ə	33
# 
119	German	die (V)	17	ʃtɛrbən	ʃ t ɛ r b ə n	36
120	English	die (V)	17	daɪ	d aɪ	35
121	Danish	die (V)	17	døˀ	d øˀ	35
122	Swedish	die (V)	17	dø	d ø	35
123	Icelandic	die (V)	17	teiːja	t eiː j a	35
124	Dutch	die (V)	17	stɛrvə	s t ɛ r v ə	36
125	Norwegian	die (V)	17	døː	d øː	35
# 
126	German	dog	18	hʊnt	h ʊ n t	37
127	English	dog	18	dɔɡ	d ɔ ɡ	38
128	Danish	dog	18	hunˀ	h u nˀ	37
129	Swedish	dog	18	hunːd	h u nː d	37
130	Icelandic	dog	18	hʏntʏr	h ʏ n t ʏ r	37
131	Dutch	dog	18	hɔnt	h ɔ n t	37
132	Norwegian	dog	18	hʉn	h ʉ n	37
# 
133	German	drink (V)	19	trɪŋkən	t r ɪ ŋ k ə n	39
134	English	drink (V)	19	drɪŋk	d r ɪ ŋ k	39
135	Danish	drink (V)	19	dʁɛgə	d ʁ ɛ g ə	39
136	Swedish	drink (V)	19	drikːa	d r i kː a	39
137	Icelandic	drink (V)	19	trɛʰka	t r ɛʰ k a	39
138	Dutch	drink (V)	19	drɪŋkə	d r ɪ ŋ k ə	39
139	Norwegian	drink (V)	19	dɾikə	d ɾ i k ə	39
# 
140	German	dry	20	trɔkən	t r ɔ k ə n	40
141	English	dry	20	draɪ	d r aɪ	40
142	Danish	dry	20	tɶˀʁ	t ɶˀ ʁ	40
143	Swedish	dry	20	torː	t o rː	40
144	Icelandic	dry	20	θʏrː	θ ʏ rː	40
145	Dutch	dry	20	droːx	d r oː x	40
146	Norwegian	dry	20	tœɾ	t œ ɾ	40
# 
147	German	ear	21	oːr	oː r	43
148	English	ear	21	ɪər	ɪə r	43
149	Danish	ear	21	øːʌ	øːʌ	42
150	Swedish	ear	21	øːra	øː r a	41
151	Icelandic	ear	21	eiːra	eiː r a	41
152	Dutch	ear	21	oːr	oː r	43
153	Norwegian	ear	21	øːɾə	øː ɾ ə	41
# 
154	German	earth	22	eːrdə	eː r d ə	45
155	English	earth	22	ɜːrθ	ɜː r θ	46
156	Danish	earth	22	joˀʁ	j oˀ ʁ	44
157	Swedish	earth	22	joːrd	j oː r d	44
158	Icelandic	earth	22	jœrð	j œ r ð	44
159	Dutch	earth	22	aːrdə	aː r d ə	45
160	Norwegian	earth	22	juːɾ	j uː ɾ	44
# 
161	German	eat (V)	23	ɛsən	ɛ s ə n	50
162	English	eat (V)	23	iːt	iː t	51
163	Danish	eat (V)	23	sbiːsə	s b iː s ə	48
164	Swedish	eat (V)	23	ɛːta	ɛː t a	47
165	Icelandic	eat (V)	23	pɔrða	p ɔ r ð a	49
166	Dutch	eat (V)	23	eːtə	eː t ə	47
167	Norwegian	eat (V)	23	spiːsə	s p iː s ə	48
# 
168	German	egg	24	ai	ai	53
169	English	egg	24	ɛɡ	ɛ ɡ	52
170	Danish	egg	24	ɛˀg	ɛˀ g	52
171	Swedish	egg	24	egː	e gː	52
172	Icelandic	egg	24	ɛkː	ɛ kː	53
173	Dutch	egg	24	ɛɪ	ɛɪ	53
174	Norwegian	egg	24	eg	e g	52
# 
175	German	eye	25	auɡə	au ɡ ə	54
176	English	eye	25	aɪ	aɪ	57
177	Danish	eye	25	ʌjə	ʌ j ə	55
178	Swedish	eye	25	øːga	øː g a	54
179	Icelandic	eye	25	øyːɣa	øyː ɣ a	56
180	Dutch	eye	25	oːx	oː x	58
181	Norwegian	eye	25	œjə	œ j ə	55
# 
182	German	fat	26	fɛt	f ɛ t	59
183	English	fat	26	fæt	f æ t	59
184	Danish	fat	26	fed	f e d	59
185	Swedish	fat	26	fɛt	f ɛ t	59
186	Icelandic	fat	26	fɪːta	f ɪː t a	59
187	Dutch	fat	26	vɛt	v ɛ t	59
188	Norwegian	fat	26	fet	f e t	59
# 
189	German	feather	27	feːdər	f eː d ə r	60
190	English	feather	27	fɛðər	f ɛ ð ə r	60
191	Danish	feather	27	fjeðˀʌ	f j e ðˀ ʌ	60
192	Swedish	feather	27	fjɛːder	f j ɛː d e r	60
193	Icelandic	feather	27	fjœːðʏr	f j œː ð ʏ r	60
194	Dutch	feather	27	veːr	v eː r	60
195	Norwegian	feather	27	fjæːɾ	f j æː ɾ	60
# 
196	German	fire	28	fɔyər	f ɔyə r	63
197	English	fire	28	faɪər	f aɪə r	63
198	Danish	fire	28	ilˀ	i lˀ	62
199	Swedish	fire	28	elːd	e lː d	61
200	Icelandic	fire	28	ɛltʏr	ɛ l t ʏ r	61
201	Dutch	fire	28	vyːr	v yː r	63
202	Norwegian	fire	28	ʋɑɾmə	ʋ ɑ ɾ m ə	64
203	Norwegian	fire	28	il	i l	62
# 
204	German	fish	29	fɪʃ	f ɪ ʃ	65
205	English	fish	29	fɪʃ	f ɪ ʃ	65
206	Danish	fish	29	fesg	f e s g	65
207	Swedish	fish	29	fisːk	f i sː k	65
208	Icelandic	fish	29	fɪskʏr	f ɪ s k ʏ r	65
209	Dutch	fish	29	vɪs	v ɪ s	65
210	Norwegian	fish	29	fisk	f i s k	65
# 
211	German	fly (V)	30	fliːɡən	f l iː ɡ ə n	66
212	English	fly (V)	30	flaɪ	f l aɪ	66
213	Danish	fly (V)	30	flyːvə	f l yː v ə	66
214	Swedish	fly (V)	30	flʉga	f l ʉ g a	66
215	Icelandic	fly (V)	30	fljuːa	f l j uːa	66
216	Dutch	fly (V)	30	vliːɣə	v l iː ɣ ə	66
217	Norwegian	fly (V)	30	flyː	f l yː	66
# 
218	German	foot	31	fuːs	f uː s	67
219	English	foot	31	fʊt	f ʊ t	67
220	Danish	foot	31	foˀð	f oˀ ð	67
221	Swedish	foot	31	foːt	f oː t	67
222	Icelandic	foot	31	fouːtʏr	f ouː t ʏ r	67
223	Dutch	foot	31	vuːt	v uː t	67
224	Norwegian	foot	31	fuːt	f uː t	67
# 
225	German	full	32	fɔl	f ɔ l	68
226	English	full	32	fʊl	f ʊ l	68
227	Danish	full	32	fulˀ	f u lˀ	68
228	Swedish	full	32	fulː	f u lː	68
