# IDS
ID	Language	Gloss	GlossID	IDS_ID	Ortho	IPA	CogID
# 
1	German	the world	322	1.1	Welt	vɛlt	653
2	French	the world	322	1.1	monde	mɔ̃d	654
3	Dutch	the world	322	1.1	wereld	weːrəlt	653
4	English	the world	322	1.1	world	wɜːld	653
# 
5	German	the land	558	1.21	Erde	eːrdə	1123
6	German	the land	558	1.21	Land	lant	1124
7	French	the land	558	1.21	terre	tɛʁ	1125
8	Dutch	the land	558	1.21	land	lɑnt	1124
9	English	the land	558	1.21	land	lænd	1124
# 
10	German	the soil	493	1.212	Erde	eːrdə	988
11	German	the soil	493	1.212	Boden	boːdən	991
12	French	the soil	493	1.212	terre	tɛʁ	990
13	French	the soil	493	1.212	sol	sɔl	989
14	Dutch	the soil	493	1.212	bodem	boːdəm	991
15	English	the soil	493	1.212	soil	sɔɪl	989
# 
16	German	the mud	492	1.214	Schlamm	ʃlam	984
17	German	the mud	492	1.214	Dreck	drɛk	987
18	French	the mud	492	1.214	boue	bu	986
19	Dutch	the mud	492	1.214	modder	mɔdər	985
20	English	the mud	492	1.214	mud	mʌd	985
# 
21	German	the sand	491	1.215	Sand	zant	982
22	French	the sand	491	1.215	sable	sɑbl	983
23	Dutch	the sand	491	1.215	zand	zɑnt	982
24	English	the sand	491	1.215	sand	sænd	982
# 
25	German	the mountain or hill	557	1.22	Berg	bɛrk	1119
26	German	the mountain or hill	557	1.22	Hügel	hyːɡəl	1121
27	French	the mountain or hill	557	1.22	montagne	mɔ̃taɲ	1120
28	French	the mountain or hill	557	1.22	colline	kɔlin	1122
29	Dutch	the mountain or hill	557	1.22	berg	bɛrx	1119
30	Dutch	the mountain or hill	557	1.22	heuvel	høːvəl	1121
31	English	the mountain or hill	557	1.22	mountain	maʊntɪn	1120
32	English	the mountain or hill	557	1.22	hill	hɪl	1121
# 
33	German	the cliff or precipice	277	1.222	Klippe	klɪpə	556
34	French	the cliff or precipice	277	1.222	falaise	falɛz	557
35	French	the cliff or precipice	277	1.222	escarpement	ɛskaʀpəmɑ̃	559
36	Dutch	the cliff or precipice	277	1.222	klif	klɪf	556
37	English	the cliff or precipice	277	1.222	cliff	klɪf	556
38	English	the cliff or precipice	277	1.222	precipice	prɛsɪpɪs	558
# 
39	German	the plain	556	1.23	Ebene	eːbənə	1115
40	German	the plain	556	1.23	Fläche	flɛxə	1116
41	German	the plain	556	1.23	Feld	fɛlt	1118
42	French	the plain	556	1.23	plaine	plɛn	1116
43	French	the plain	556	1.23	campagne	kɑ̃paɲ	1115
44	Dutch	the plain	556	1.23	vlakte	vlɑktə	1117
45	English	the plain	556	1.23	plain	pleɪn	1116
# 
46	German	the valley	561	1.24	Tal	taːl	1131
47	French	the valley	561	1.24	vallée	vale	1132
48	Dutch	the valley	561	1.24	vallei	vɑlɛɪ	1132
49	Dutch	the valley	561	1.24	dal	dɑl	1131
50	English	the valley	561	1.24	valley	vælɪ	1132
# 
51	German	the mainland	560	1.26	Festland	fɛst#lant	1128
52	French	the mainland	560	1.26	continent	kɔ̃tinɑ̃	1130
53	Dutch	the mainland	560	1.26	vasteland	vɑstə#lɑnt	1128
54	English	the mainland	560	1.26	mainland	meɪn#lənd	1129
# 
55	German	the shore	359	1.27	Ufer	uːfər	731
56	German	the shore	359	1.27	Strand	ʃtrant	734
57	French	the shore	359	1.27	rivage	ʀivaʒ	733
58	French	the shore	359	1.27	côte	kot	735
59	French	the shore	359	1.27	littoral	litɔʀal	736
60	Dutch	the shore	359	1.27	oever	uːvər	731
61	English	the shore	359	1.27	shore	ʃɔːr	732
# 
62	German	the water	341	1.31	Wasser	vasər	681
63	French	the water	341	1.31	eau	o	682
64	Dutch	the water	341	1.31	water	waːtər	681
65	English	the water	341	1.31	water	wɔːtər	681
# 
66	German	the sea	342	1.32	See	zeː	683
67	French	the sea	342	1.32	mer	mɛʁ	684
68	Dutch	the sea	342	1.32	zee	zeː	683
69	English	the sea	342	1.32	sea	siː	683
# 
70	German	calm	608	1.322	Meeresstille	meːrəs#ʃtɪlə	1223
71	French	calm	608	1.322	étale	etale	1225
72	Dutch	calm	608	1.322	kalm	kɑlm	1224
73	Dutch	calm	608	1.322	rustig	rʉstəx	1226
74	English	calm	608	1.322	calm	kɑːm	1224
# 
75	German	rough(2)	607	1.323	rauh	rau	1220
76	French	rough(2)	607	1.323	trouble	tʀubl	1221
77	French	rough(2)	607	1.323	agité	aʒite	1222
78	Dutch	rough(2)	607	1.323	ruw	ryːw	1220
79	English	rough(2)	607	1.323	rough	rʌf	1220
# 
80	German	the foam	606	1.324	Schaum	ʃaum	1216
81	French	the foam	606	1.324	écume	ekym	1218
82	French	the foam	606	1.324	mousse	mus	1219
83	Dutch	the foam	606	1.324	schuim	sxœym	1216
84	English	the foam	606	1.324	foam	fəʊm	1217
# 
85	German	the ocean	602	1.329	Weltmeer	vɛlt#meːr	1203
86	German	the ocean	602	1.329	Ozean	oːʦeːaːn	1204
87	French	the ocean	602	1.329	océan	ɔseɑ̃	1205
88	Dutch	the ocean	602	1.329	oceaan	oːseːjaːn	1204
89	English	the ocean	602	1.329	ocean	əʊʃṇ	1204
# 
90	German	the lake	343	1.33	See	zeː	685
91	French	the lake	343	1.33	lac	lak	686
92	Dutch	the lake	343	1.33	meer	meːr	687
93	English	the lake	343	1.33	lake	leɪk	686
# 
94	German	the bay	344	1.34	Meerbusen	meːr#buːzən	688
95	German	the bay	344	1.34	Golf	ɡɔlf	690
96	German	the bay	344	1.34	Bucht	bʊxt	691
97	French	the bay	344	1.34	golfe	ɡɔlf	690
98	French	the bay	344	1.34	baie	bɛ	689
99	Dutch	the bay	344	1.34	baai	baːj	689
100	English	the bay	344	1.34	bay	beɪ	689
# 
101	German	the lagoon	109	1.341	Lagune	laɡuːnə	244
102	French	the lagoon	109	1.341	lagune	laɡyn	244
103	Dutch	the lagoon	109	1.341	lagune	laːɣyːnə	244
104	English	the lagoon	109	1.341	lagoon	ləɡuːn	244
# 
105	German	the reef	113	1.342	Riff	rɪf	253
106	French	the reef	113	1.342	récif	ʀesif	253
107	Dutch	the reef	113	1.342	rif	rɪf	253
108	English	the reef	113	1.342	reef	riːf	253
# 
109	German	the cape	110	1.343	Landzunge	lant#ʦʊŋə	245
110	French	the cape	110	1.343	promontoire	pʀɔmɔ̃twaʀ	247
111	French	the cape	110	1.343	pointe	pwɛ̃t	248
112	Dutch	the cape	110	1.343	kaap	kaːp	246
113	English	the cape	110	1.343	cape	keɪp	246
# 
114	German	the wave	345	1.35	Welle	vɛlə	692
115	German	the wave	345	1.35	Woge	voːɡə	694
116	French	the wave	345	1.35	vague	vaɡ	694
117	Dutch	the wave	345	1.35	golf	xɔlf	695
118	English	the wave	345	1.35	wave	weɪv	693
# 
119	German	the river or stream	346	1.36	Fluss	flʊs	696
120	German	the river or stream	346	1.36	Strom	ʃtroːm	699
121	German	the river or stream	346	1.36	Bach	bax	700
122	French	the river or stream	346	1.36	fleuve	flœv	698
123	French	the river or stream	346	1.36	rivière	ʀivjɛʀ	697
124	French	the river or stream	346	1.36	ruisseau	ʀɥiso	701
125	Dutch	the river or stream	346	1.36	rivier	riːviːr	697
126	Dutch	the river or stream	346	1.36	stroom	stroːm	699
127	English	the river or stream	346	1.36	river	rɪvər	697
128	English	the river or stream	346	1.36	stream	striːm	699
# 
129	German	the whirlpool	512	1.362	Strudel	ʃtruːdəl	1026
130	German	the whirlpool	512	1.362	Wirbel	vɪrbəl	1027
131	French	the whirlpool	512	1.362	tourbillon	tuʀbijɔ̃	1028
132	Dutch	the whirlpool	512	1.362	draaikolk	draːjkɔlk	1029
133	English	the whirlpool	512	1.362	whirlpool	wɜːlpuːl	1027
# 
134	German	the spring or well	347	1.37	Quelle	kvɛlə	702
135	German	the spring or well	347	1.37	Brunnen	brʊnən	703
136	French	the spring or well	347	1.37	source	suʀs	704
137	French	the spring or well	347	1.37	puits	pɥi	706
138	Dutch	the spring or well	347	1.37	bron	brɔn	703
139	English	the spring or well	347	1.37	spring	sprɪŋ	703
140	English	the spring or well	347	1.37	well	wɛl	705
# 
141	German	the swamp	339	1.38	Sumpf	zʊmp͡f	676
142	German	the swamp	339	1.38	Morast	moːrast	677
143	French	the swamp	339	1.38	marais	maʀɛ	677
144	French	the swamp	339	1.38	marécage	maʀekaʒ	677
145	Dutch	the swamp	339	1.38	moeras	muːrɑs	677
146	English	the swamp	339	1.38	swamp	swɔmp	676
# 
147	German	the woods or forest	139	1.41	Wald	valt	300
148	French	the woods or forest	139	1.41	bois	bwa	302
149	French	the woods or forest	139	1.41	forêt	fɔʀɛ	301
150	Dutch	the woods or forest	139	1.41	bos	bɔs	303
151	Dutch	the woods or forest	139	1.41	woud	wɑut	300
152	English	the woods or forest	139	1.41	forest	fɔrɪst	301
# 
153	German	the wood	141	1.43	Holz	hɔlʦ	307
154	French	the wood	141	1.43	bois	bwa	309
155	Dutch	the wood	141	1.43	hout	hɑut	307
156	English	the wood	141	1.43	wood	wʊd	308
# 
157	German	the stone or rock	138	1.44	Stein	ʃtain	295
158	German	the stone or rock	138	1.44	Fels	fɛls	298
159	French	the stone or rock	138	1.44	pierre	pjɛʀ	296
160	French	the stone or rock	138	1.44	roc	ʀɔk	299
161	French	the stone or rock	138	1.44	rocher	ʀɔʃe	299
162	Dutch	the stone or rock	138	1.44	rots	rɔʦ	297
163	Dutch	the stone or rock	138	1.44	steen	steːn	295
164	English	the stone or rock	138	1.44	stone	stəʊn	295
165	English	the stone or rock	138	1.44	rock	rɔk	299
# 
166	German	the earthquake	137	1.45	Erdbeben	eːrt#beːbən	292
167	French	the earthquake	137	1.45	séisme	seism	294
168	Dutch	the earthquake	137	1.45	aardbeving	aːrd#beːvɪŋ	292
169	English	the earthquake	137	1.45	earthquake	ɜːθ#kweɪk	293
# 
170	German	the sky	679	1.51	Himmel	hɪməl	1383
171	French	the sky	679	1.51	ciel	sjɛl	1385
172	Dutch	the sky	679	1.51	hemel	heːməl	1383
173	English	the sky	679	1.51	sky	skaɪ	1384
# 
174	German	the sun	677	1.52	Sonne	zɔnə	1379
175	French	the sun	677	1.52	soleil	sɔlɛj	1380
176	Dutch	the sun	677	1.52	zon	zɔn	1379
177	English	the sun	677	1.52	sun	sʌn	1379
# 
