# ROM
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Spanish	all	1	entero	e n t e r o	2
2	French	all	1	tu	t u	1
3	Portuguese	all	1	todu	t o d u	1
4	Romanian	all	1	tot	t o t	1
5	Italian	all	1	intɛro	i n t ɛ r o	2
6	Spanish	all	1	toðo	t o ð o	1
7	French	all	1	ɑ̃tje	ɑ̃ t j e	3
8	Romanian	all	1	ɨntreg	ɨ n t r e g	2
9	Italian	all	1	tutto	t u tː o	1
# 
10	Spanish	ashes	2	θeniθa	θ e n i θ a	6
11	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	5
12	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	5
13	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	4
14	Italian	ashes	2	ʧenere	ʧ e n e r e	4
# 
15	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	7
16	French	bark	3	ekɔʁs	e k ɔ ʁ s	7
17	Portuguese	bark	3	kaʃkɐ	k a ʃ k ɐ	8
18	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	7
19	Italian	bark	3	korteʧʧa	k o r t e ʧː a	7
# 
20	Spanish	belly	4	bjentre	b j e n t r e	10
21	French	belly	4	vɑ̃tʁ	v ɑ̃ t ʁ	10
22	Portuguese	belly	4	vẽtrə	v ẽ t r ə	10
23	Romanian	belly	4	pənteʦe	p ə n t e ʦ e	9
24	Italian	belly	4	panʧa	p a n ʧ a	9
25	Portuguese	belly	4	bɐʀigɐ	b ɐ ʀ i g ɐ	9
26	Italian	belly	4	vɛntre	v ɛ n t r e	10
# 
27	Spanish	big	5	ɡɾande	ɡ ɾ a n d e	12
28	French	big	5	ɡʁã	ɡ ʁ ã	12
29	Portuguese	big	5	grɐ̃də	g r ɐ̃ d ə	12
30	Romanian	big	5	mare	m a r e	11
31	Italian	big	5	ɡrande	ɡ r a n d e	12
# 
32	Spanish	bird	6	paxaro	p a x a r o	13
33	French	bird	6	wazo	w a z o	16
34	Portuguese	bird	6	avə	a v ə	14
35	Romanian	bird	6	pasəre	p a s ə r e	13
36	Italian	bird	6	uʧːɛllo	u ʧː ɛ lː o	15
37	Spanish	bird	6	ave	a v e	14
38	Portuguese	bird	6	pasɐru	p a s ɐ r u	13
# 
39	Spanish	bite (V)	7	moɾðeɾ	m o ɾ ð e ɾ	18
40	French	bite (V)	7	mɔʁdʁ	m ɔ ʁ d ʁ	18
41	Portuguese	bite (V)	7	murder	m u r d e r	18
42	Romanian	bite (V)	7	muʃka	m u ʃ k a	17
43	Italian	bite (V)	7	mɔrdere	m ɔ r d e r e	18
# 
44	Spanish	black	8	neɣɾo	n e ɣ ɾ o	19
45	French	black	8	nwaʁ	n w a ʁ	19
46	Portuguese	black	8	pretu	p r e t u	20
47	Romanian	black	8	neɡru	n e ɡ r u	19
48	Italian	black	8	nero	n e r o	19
# 
49	Spanish	blood	9	saŋɡɾe	s a ŋ ɡ ɾ e	21
50	French	blood	9	sɑ̃	s ɑ̃	21
51	Portuguese	blood	9	sɐ̃gə	s ɐ̃ g ə	21
52	Romanian	blood	9	sɨnʤe	s ɨ n ʤ e	21
53	Italian	blood	9	saŋɡwe	s a ŋ ɡ w e	21
# 
54	Spanish	bone	10	weso	w e s o	22
55	French	bone	10	ɔs	ɔ s	22
56	Portuguese	bone	10	osu	o s u	22
57	Romanian	bone	10	os	o s	22
58	Italian	bone	10	ɔsso	ɔ sː o	22
# 
59	Spanish	breast	11	seno	s e n o	24
60	French	breast	11	pwatʁin	p w a t ʁ i n	25
61	Portuguese	breast	11	pɐjtu	p ɐ j t u	23
62	Romanian	breast	11	pjept	p j e p t	23
63	Italian	breast	11	seno	s e n o	24
64	Spanish	breast	11	peʧo	p e ʧ o	23
65	French	breast	11	sɛ̃	s ɛ̃	24
66	Portuguese	breast	11	sɐju	s ɐ j u	24
67	Romanian	breast	11	sɨn	s ɨ n	24
68	Italian	breast	11	pɛtto	p ɛ tː o	23
# 
69	Spanish	burn (V)	12	kemaɾ	k e m a ɾ	27
70	French	burn (V)	12	bʁyle	b ʁ y l e	28
71	Portuguese	burn (V)	12	kɐjmar	k ɐ j m a r	27
72	Romanian	burn (V)	12	arde	a r d e	26
73	Italian	burn (V)	12	bruʧːare	b r u ʧː a r e	28
# 
74	Spanish	claw	13	uɲa	u ɲ a	29
75	French	claw	13	ɔ̃ɡl	ɔ̃ ɡ l	30
76	Portuguese	claw	13	uɲɐ	u ɲ ɐ	29
77	Romanian	claw	13	ungje	u n g j e	29
78	Italian	claw	13	unɡja	u n ɡ j a	29
# 
79	Spanish	cloud	14	nuβe	n u β e	32
80	French	cloud	14	nɥaj	n ɥ a j	33
81	Portuguese	cloud	14	nuvɐ̃j	n u v ɐ̃ j	32
82	Romanian	cloud	14	nor	n o r	31
83	Italian	cloud	14	nuvola	n u v o l a	32
# 
84	Spanish	cold	15	fri.o	f r i o	35
85	French	cold	15	fʁwa	f ʁ w a	35
86	Portuguese	cold	15	friw	f r i w	35
87	Romanian	cold	15	reʧe	r e ʧ e	34
88	Italian	cold	15	freddo	f r e dː o	35
89	Romanian	cold	15	frig	f r i g	35
# 
90	Spanish	come (V)	16	beniɾ	b e n i ɾ	36
91	French	come (V)	16	vəniʁ	v ə n i ʁ	36
92	Portuguese	come (V)	16	vir	v i r	36
93	Romanian	come (V)	16	veni	v e n i	36
94	Italian	come (V)	16	venire	v e n i r e	36
# 
95	Spanish	die (V)	17	moɾiɾ	m o ɾ i ɾ	37
96	French	die (V)	17	muʁiʁ	m u ʁ i ʁ	37
97	Portuguese	die (V)	17	muʀer	m u ʀ e r	37
98	Romanian	die (V)	17	muri	m u r i	37
99	Italian	die (V)	17	morire	m o r i r e	37
# 
100	Spanish	dog	18	pero	p e r o	40
101	French	dog	18	ʃjɛ̃	ʃ j ɛ̃	39
102	Portuguese	dog	18	kɐ̃uː	k ɐ̃uː	38
103	Romanian	dog	18	kɨjne	k ɨ j n e	38
104	Italian	dog	18	kane	k a n e	38
# 
105	Spanish	drink (V)	19	beβeɾ	b e β e ɾ	41
106	French	drink (V)	19	bwɑʁ	b w ɑ ʁ	41
107	Portuguese	drink (V)	19	bəber	b ə b e r	41
108	Romanian	drink (V)	19	be.a	b e a	41
109	Italian	drink (V)	19	bere	b e r e	41
# 
110	Spanish	dry	20	seko	s e k o	42
111	French	dry	20	sɛk	s ɛ k	42
112	Portuguese	dry	20	seku	s e k u	42
113	Romanian	dry	20	sek	s e k	42
114	Italian	dry	20	sekko	s e kː o	42
115	Portuguese	dry	20	ẽʃutu	ẽ ʃ u t u	43
116	Romanian	dry	20	uskat	u s k a t	43
117	Italian	dry	20	aʃʃutto	a ʃː u tː o	43
# 
118	Spanish	ear 1	21	oɾexa	o ɾ e x a	44
119	French	ear 1	21	ɔʁɛj	ɔ ʁ ɛ j	44
120	Portuguese	ear 1	21	oreʎɐ	o r e ʎ ɐ	44
121	Romanian	ear 1	21	ureke	u r e k e	44
122	Italian	ear 1	21	ɔrekkjo	ɔ r e kː j o	44
# 
123	Spanish	earth	22	tjera	t j e r a	46
124	French	earth	22	tɛʁ	t ɛ ʁ	46
125	Portuguese	earth	22	tɛʀɐ	t ɛ ʀ ɐ	46
126	Romanian	earth	22	pəmɨnt	p ə m ɨ n t	45
127	Italian	earth	22	tɛrra	t ɛ rː a	46
# 
128	Spanish	eat (V)	23	komeɾ	k o m e ɾ	48
129	French	eat (V)	23	mɑ̃ʒe	m ɑ̃ ʒ e	47
130	Portuguese	eat (V)	23	kumer	k u m e r	48
131	Romanian	eat (V)	23	mɨnka	m ɨ n k a	47
132	Italian	eat (V)	23	manʤare	m a n ʤ a r e	47
# 
133	Spanish	egg	24	weβo	w e β o	49
134	French	egg	24	œf	œ f	49
135	Portuguese	egg	24	ovu	o v u	49
136	Romanian	egg	24	ow	o w	49
137	Italian	egg	24	wɔvo	w ɔ v o	49
# 
138	Spanish	eye	25	oxo	o x o	50
139	French	eye	25	œj	œ j	50
140	Portuguese	eye	25	oʎu	o ʎ u	50
141	Romanian	eye	25	oki	o k i	50
142	Italian	eye	25	ɔkkjo	ɔ kː j o	50
# 
143	Spanish	fat	26	ɡɾasa	ɡ ɾ a s a	51
144	French	fat	26	ɡʁɛs	ɡ ʁ ɛ s	51
145	Portuguese	fat	26	gurdurɐ	g u r d u r ɐ	52
146	Romanian	fat	26	grəsime	g r ə s i m e	51
147	Italian	fat	26	ɡrasso	ɡ r a sː o	51
148	Spanish	fat	26	ɡoɾðo	ɡ o ɾ ð o	52
# 
149	Spanish	feather	27	pluma	p l u m a	54
150	French	feather	27	plym	p l y m	54
151	Portuguese	feather	27	penɐ	p e n ɐ	53
152	Romanian	feather	27	panə	p a n ə	53
153	Italian	feather	27	pjuma	p j u m a	54
154	Italian	feather	27	pɛnna	p ɛ nː a	53
# 
155	Spanish	fire	28	fweɣo	f w e ɣ o	55
156	French	fire	28	fø	f ø	55
157	Portuguese	fire	28	fogu	f o g u	55
158	Romanian	fire	28	fok	f o k	55
159	Italian	fire	28	fwɔko	f w ɔ k o	55
# 
160	Spanish	fish	29	peskaðo	p e s k a ð o	57
161	French	fish	29	pwasõ	p w a s õ	56
162	Portuguese	fish	29	pɐjʃə	p ɐ j ʃ ə	56
163	Romanian	fish	29	peʃte	p e ʃ t e	56
164	Italian	fish	29	peʃʃe	p e ʃː e	56
# 
165	Spanish	fly (V)	30	bolaɾ	b o l a ɾ	60
166	French	fly (V)	30	vɔle	v ɔ l e	60
167	Portuguese	fly (V)	30	vwar	v w a r	59
168	Romanian	fly (V)	30	zbura	z b u r a	58
169	Italian	fly (V)	30	volare	v o l a r e	60
# 
170	Spanish	foot	31	pje	p j e	62
171	French	foot	31	pje	p j e	62
172	Portuguese	foot	31	pɛ	p ɛ	62
173	Romanian	foot	31	piʧjor	p i ʧ j o r	61
174	Italian	foot	31	pjɛde	p j ɛ d e	62
# 
175	Spanish	full	32	ʎeno	ʎ e n o	63
176	French	full	32	plɛ̃	p l ɛ̃	63
177	Portuguese	full	32	ʃɐju	ʃ ɐ j u	64
178	Romanian	full	32	plin	p l i n	63
179	Italian	full	32	pjɛno	p j ɛ n o	63
# 
180	Spanish	give (V)	33	daɾ	d a ɾ	65
181	French	give (V)	33	dɔne	d ɔ n e	66
182	Portuguese	give (V)	33	dar	d a r	65
183	Romanian	give (V)	33	da	d a	65
184	Italian	give (V)	33	dare	d a r e	65
# 
185	Spanish	good	34	bweno	b w e n o	67
186	French	good	34	bɔ̃	b ɔ̃	67
187	Portuguese	good	34	bõ	b õ	67
188	Romanian	good	34	bun	b u n	67
189	Italian	good	34	bwɔno	b w ɔ n o	67
# 
190	Spanish	green	35	beɾðe	b e ɾ ð e	68
191	French	green	35	vɛʁ	v ɛ ʁ	68
192	Portuguese	green	35	verdə	v e r d ə	68
193	Romanian	green	35	verde	v e r d e	68
194	Italian	green	35	verde	v e r d e	68
# 
195	Spanish	hair	36	kaβeʎo	k a β e ʎ o	70
196	French	hair	36	ʃəvø	ʃ ə v ø	70
197	Portuguese	hair	36	kɐbelu	k ɐ b e l u	70
198	Romanian	hair	36	pər	p ə r	69
199	Italian	hair	36	kapello	k a p e lː o	70
# 
200	Spanish	hand	37	mano	m a n o	71
201	French	hand	37	mɛ̃	m ɛ̃	71
202	Portuguese	hand	37	mɐ̃w	m ɐ̃ w	71
203	Romanian	hand	37	mɨnə	m ɨ n ə	71
204	Italian	hand	37	mano	m a n o	71
# 
205	Spanish	head	38	kaβeθa	k a β e θ a	73
206	French	head	38	tɛt	t ɛ t	75
207	Portuguese	head	38	kɐbesɐ	k ɐ b e s ɐ	73
208	Romanian	head	38	kap	k a p	72
209	Italian	head	38	tɛsta	t ɛ s t a	74
# 
210	Spanish	hear (V)	39	o.ir	o i r	78
211	French	hear (V)	39	ɑ̃tɑ̃dʁ	ɑ̃ t ɑ̃ d ʁ	79
212	Portuguese	hear (V)	39	ovir	o v i r	77
213	Romanian	hear (V)	39	awzi	a w z i	76
214	Italian	hear (V)	39	udire	u d i r e	78
# 
215	Spanish	heart	40	koraθon	k o r a θ o n	81
216	French	heart	40	kœʁ	k œ ʁ	81
217	Portuguese	heart	40	kurɐsõ	k u r ɐ s õ	81
218	Romanian	heart	40	inimə	i n i m ə	80
219	Italian	heart	40	kwɔre	k w ɔ r e	81
# 
220	Spanish	horn	41	kweɾno	k w e ɾ n o	82
221	French	horn	41	kɔʁn	k ɔ ʁ n	82
222	Portuguese	horn	41	kornu	k o r n u	82
223	Romanian	horn	41	korn	k o r n	82
224	Italian	horn	41	kɔrno	k ɔ r n o	82
# 
225	Spanish	i	42	ʝo	ʝ o	86
226	French	i	42	ʒə	ʒ ə	86
227	Portuguese	i	42	ew	e w	84
228	Romanian	i	42	jo	j o	83
229	Italian	i	42	io	io	85
# 
230	Spanish	kill (V)	43	mataɾ	m a t a ɾ	88
231	French	kill (V)	43	tɥe	t ɥ e	89
232	Portuguese	kill (V)	43	mɐtar	m ɐ t a r	88
233	Romanian	kill (V)	43	uʧide	u ʧ i d e	87
234	Italian	kill (V)	43	uʧːidere	u ʧː i d e r e	87
# 
235	Spanish	knee	44	roðiʎa	r o ð i ʎ a	93
236	French	knee	44	ʒənu	ʒ ə n u	92
237	Portuguese	knee	44	ʒuɐʎu	ʒ uɐ ʎ u	91
238	Romanian	knee	44	ʤenunkʲ	ʤ e n u n kʲ	90
239	Italian	knee	44	ʤinɔkkjo	ʤ i n ɔ kː j o	90
# 
240	Spanish	know (V)	45	konoθer	k o n o θ e r	95
241	French	know (V)	45	savwaʁ	s a v w a ʁ	96
242	Portuguese	know (V)	45	kuɲəser	k u ɲ ə s e r	95
243	Romanian	know (V)	45	ʃti	ʃ t i	94
244	Italian	know (V)	45	konoʃʃere	k o n o ʃː e r e	95
245	Spanish	know (V)	45	saβeɾ	s a β e ɾ	96
246	French	know (V)	45	kɔnɛtʁ	k ɔ n ɛ t ʁ	95
247	Portuguese	know (V)	45	sɐber	s ɐ b e r	96
248	Romanian	know (V)	45	kunwaʃte	k u n w a ʃ t e	95
249	Italian	know (V)	45	sapere	s a p e r e	96
# 
250	Spanish	leaf	46	oxa	o x a	98
251	French	leaf	46	fœj	f œ j	97
252	Portuguese	leaf	46	foʎɐ	f o ʎ ɐ	97
253	Romanian	leaf	46	fwaje	f w a j e	97
254	Italian	leaf	46	fɔʎʎa	f ɔ ʎː a	97
# 
255	Spanish	lie 1 (V)	47	kostaðo	k o s t a ð o	102
256	French	lie 1 (V)	47	kuʃe	k u ʃ e	99
257	Portuguese	lie 1 (V)	47	dɐjtar	d ɐ j t a r	100
258	Romanian	lie 1 (V)	47	kulka	k u l k a	99
259	Italian	lie 1 (V)	47	ʤaʧere	ʤ a ʧ e r e	101
# 
260	Spanish	liver	48	iɣaðo	i ɣ a ð o	104
261	French	liver	48	fwɑ	f w ɑ	103
262	Portuguese	liver	48	figɐdu	f i g ɐ d u	103
