# SLV
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Russian	all	1	fsʲe	f sʲ e	1
2	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	1
3	Bulgarian	all	1	vsiʧki	v s i ʧ k i	1
4	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	1
# 
5	Russian	ashes	2	zɐla	z ɐ l a	2
6	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	3
7	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	3
8	Czech	ashes	2	popɛl	p o p ɛ l	3
9	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	3
# 
10	Russian	bark	3	kɐra	k ɐ r a	4
11	Polish	bark	3	kɔra	k ɔ r a	4
12	Bulgarian	bark	3	kora	k o r a	4
13	Czech	bark	3	kuːra	k uː r a	4
# 
14	Russian	belly	4	ʒɨvot	ʒ ɨ v o t	5
15	Polish	belly	4	bʒux	b ʒ u x	6
16	Bulgarian	belly	4	korɛm	k o r ɛ m	7
17	Czech	belly	4	brɪxo	b r ɪ x o	6
# 
18	Russian	big	5	bɐlʲʃoj	b ɐ lʲ ʃ o j	8
19	Polish	big	5	vʲɛlki	vʲ ɛ l k i	9
20	Bulgarian	big	5	golʲam	g o lʲ a m	10
21	Czech	big	5	vɛlkiː	v ɛ l k iː	9
22	Polish	big	5	duʒɨ	d u ʒ ɨ	11
# 
23	Russian	bird	6	ptʲiʦə	p tʲ i ʦ ə	12
24	Polish	bird	6	ptak	p t a k	12
25	Bulgarian	bird	6	ptiʦə	p t i ʦ ə	12
26	Czech	bird	6	ptaːk	p t aː k	12
# 
27	Russian	bite (V)	7	kusatʲ	k u s a tʲ	13
28	Polish	bite (V)	7	ssaʨ	sː a ʨ	14
29	Bulgarian	bite (V)	7	xəpa	x ə p a	15
30	Czech	bite (V)	7	kowsat	k o w s a t	13
# 
31	Russian	black	8	ʧornɨj	ʧ o r n ɨ j	16
32	Polish	black	8	ʧarnɨ	ʧ a r n ɨ	16
33	Bulgarian	black	8	ʧɛrɛn	ʧ ɛ r ɛ n	16
34	Czech	black	8	ʧɛrniː	ʧ ɛ r n iː	16
# 
35	Russian	blood	9	krofʲ	k r o fʲ	17
36	Polish	blood	9	krɛf	k r ɛ f	17
37	Bulgarian	blood	9	krɤf	k r ɤ f	17
38	Czech	blood	9	krɛf	k r ɛ f	17
# 
39	Russian	bone	10	kosʲtʲ	k o sʲ tʲ	18
40	Polish	bone	10	kɔɕʨ	k ɔ ɕ ʨ	18
41	Bulgarian	bone	10	kɔst	k ɔ s t	18
42	Czech	bone	10	kost	k o s t	18
# 
43	Russian	breast	11	ɡrutʲ	ɡ r u tʲ	19
44	Polish	breast	11	pʲɛrɕ	pʲ ɛ r ɕ	20
45	Bulgarian	breast	11	ɡrɤt	ɡ r ɤ t	19
46	Czech	breast	11	pr̩sa	p r̩ s a	20
# 
47	Russian	burn (V)	12	ʒetʲ	ʒ e tʲ	21
48	Polish	burn (V)	12	paliʨ	p a l i ʨ	22
49	Bulgarian	burn (V)	12	ɡɔra	ɡ ɔ r a	23
50	Czech	burn (V)	12	paːlit	p aː l i t	22
# 
51	Russian	claw	13	noɡətʲ	n o ɡ ə tʲ	24
52	Polish	claw	13	paznɔkʲɛʨ	p a z n ɔ kʲ ɛ ʨ	25
53	Bulgarian	claw	13	nɔkət	n ɔ k ə t	24
54	Czech	claw	13	nɛɦɛt	n ɛ ɦ ɛ t	24
# 
55	Russian	cloud	14	obləkə	o b l ə k ə	26
56	Polish	cloud	14	ɔbwɔk	ɔ b w ɔ k	26
57	Bulgarian	cloud	14	ɔblək	ɔ b l ə k	26
58	Czech	cloud	14	oblak	o b l a k	26
# 
59	Russian	cold	15	xɐlodnɨj	x ɐ l o d n ɨ j	27
60	Polish	cold	15	xwɔdnɨ	x w ɔ d n ɨ	27
61	Bulgarian	cold	15	studɛn	s t u d ɛ n	28
62	Czech	cold	15	xladniː	x l a d n iː	27
63	Polish	cold	15	ʑimnɨ	ʑ i m n ɨ	28
64	Czech	cold	15	stʊdɛniː	s t ʊ d ɛ n iː	28
# 
65	Russian	come (V)	16	prʲɪjtʲi	p rʲ ɪ j tʲ i	29
66	Polish	come (V)	16	pʃɨjɕʨ	p ʃ ɨ j ɕ ʨ	29
67	Bulgarian	come (V)	16	idvam	i d v a m	30
68	Czech	come (V)	16	prɪjiːt	p r ɪ j iː t	29
69	Russian	come (V)	16	prʲɪxɐdʲitʲ	p rʲ ɪ x ɐ dʲ i tʲ	31
70	Polish	come (V)	16	pʃɨxɔʥiʨ	p ʃ ɨ x ɔ ʥ i ʨ	31
# 
71	Russian	die (V)	17	umʲɪrʲetʲ	u mʲ ɪ rʲ e tʲ	32
72	Polish	die (V)	17	umʲɛraʨ	u mʲ ɛ r a ʨ	32
73	Bulgarian	die (V)	17	umrɤ	u m r ɤ	32
74	Czech	die (V)	17	ʊmiːrat	ʊ m iː r a t	32
# 
75	Russian	dog	18	sɐbakə	s ɐ b a k ə	33
76	Polish	dog	18	pʲɛs	pʲ ɛ s	34
77	Bulgarian	dog	18	kuʧɛ	k u ʧ ɛ	35
78	Czech	dog	18	pɛs	p ɛ s	34
79	Russian	dog	18	pʲos	pʲ o s	34
# 
80	Russian	drink (V)	19	pʲitʲ	pʲ i tʲ	36
81	Polish	drink (V)	19	piʨ	p i ʨ	36
82	Bulgarian	drink (V)	19	pijə	p i j ə	36
83	Czech	drink (V)	19	piːt	p iː t	36
# 
84	Russian	dry	20	suxoj	s u x o j	37
85	Polish	dry	20	suxɨ	s u x ɨ	37
86	Bulgarian	dry	20	sux	s u x	37
87	Czech	dry	20	sʊxiː	s ʊ x iː	37
# 
88	Russian	ear 1	21	uxə	u x ə	38
89	Polish	ear 1	21	uxɔ	u x ɔ	38
90	Bulgarian	ear 1	21	uxɔ	u x ɔ	39
91	Czech	ear 1	21	ʊxo	ʊ x o	38
# 
92	Russian	earth	22	zʲɪmlʲa	zʲ ɪ m lʲ a	40
93	Polish	earth	22	ʑɛmʲa	ʑ ɛ mʲ a	40
94	Bulgarian	earth	22	zɛmʲə	z ɛ mʲ ə	40
95	Czech	earth	22	zɛmʲɛ	z ɛ mʲ ɛ	40
# 
96	Russian	eat (V)	23	jesʲtʲ	j e sʲ tʲ	41
97	Polish	eat (V)	23	jɛɕʨ	j ɛ ɕ ʨ	41
98	Bulgarian	eat (V)	23	jam	j a m	42
99	Czech	eat (V)	23	jiːst	j iː s t	41
# 
100	Russian	egg	24	jɪjʦo	j ɪ j ʦ o	43
101	Polish	egg	24	jajkɔ	j a j k ɔ	43
102	Bulgarian	egg	24	jəiʦɛ	j əi ʦ ɛ	43
103	Czech	egg	24	vɛjʦɛ	v ɛ j ʦ ɛ	44
# 
104	Russian	eye	25	ɡlas	ɡ l a s	45
105	Polish	eye	25	ɔkɔ	ɔ k ɔ	46
106	Bulgarian	eye	25	okɔ	o k ɔ	46
107	Czech	eye	25	oko	o k o	46
# 
108	Russian	fat	26	ʒɨr	ʒ ɨ r	47
109	Polish	fat	26	twuʃʧ	t w u ʃ ʧ	48
110	Bulgarian	fat	26	məznina	m ə z n i n a	49
111	Czech	fat	26	tʊk	t ʊ k	50
112	Czech	fat	26	saːdlo	s aː d l o	51
# 
113	Russian	feather	27	pʲɪro	pʲ ɪ r o	52
114	Polish	feather	27	pʲurɔ	pʲ u r ɔ	52
115	Bulgarian	feather	27	pɛrɔ	p ɛ r ɔ	52
116	Czech	feather	27	pɛːro	p ɛː r o	52
# 
117	Russian	fire	28	ɐɡonʲ	ɐ ɡ o nʲ	53
118	Polish	fire	28	ɔɡʲɛnʲ	ɔ ɡʲ ɛ nʲ	53
119	Bulgarian	fire	28	ɔɡən	ɔ ɡ ə n	53
120	Czech	fire	28	oɦɛnʲ	o ɦ ɛ nʲ	53
# 
121	Russian	fish	29	rɨbə	r ɨ b ə	54
122	Polish	fish	29	rɨba	r ɨ b a	54
123	Bulgarian	fish	29	ribə	r i b ə	54
124	Czech	fish	29	rɪba	r ɪ b a	54
# 
125	Russian	fly (V)	30	lʲɪtʲetʲ	lʲ ɪ tʲ e tʲ	55
126	Polish	fly (V)	30	lataʨ	l a t a ʨ	55
127	Bulgarian	fly (V)	30	lɛtʲə	l ɛ tʲ ə	55
128	Czech	fly (V)	30	lɛːtat	l ɛː t a t	55
# 
129	Russian	foot	31	nɐɡa	n ɐ ɡ a	56
130	Polish	foot	31	nɔɡa	n ɔ ɡ a	56
131	Bulgarian	foot	31	krak	k r a k	57
132	Czech	foot	31	noɦa	n o ɦ a	56
# 
133	Russian	full	32	polnɨj	p o l n ɨ j	58
134	Polish	full	32	pɛwnɨ	p ɛ w n ɨ	58
135	Bulgarian	full	32	pɤlɛn	p ɤ l ɛ n	58
136	Czech	full	32	pl̩niː	p l̩ n iː	58
# 
137	Russian	give (V)	33	datʲ	d a tʲ	59
138	Polish	give (V)	33	davaʨ	d a v a ʨ	59
139	Bulgarian	give (V)	33	davəm	d a v ə m	59
140	Czech	give (V)	33	daːt	d aː t	59
# 
141	Russian	good	34	xɐroʃɨj	x ɐ r o ʃ ɨ j	60
142	Polish	good	34	dɔbrɨ	d ɔ b r ɨ	61
143	Bulgarian	good	34	dobɤr	d o b ɤ r	61
144	Czech	good	34	dobriː	d o b r iː	61
# 
145	Russian	green	35	zʲɪlʲonɨj	zʲ ɪ lʲ o n ɨ j	62
146	Polish	green	35	ʑɛlɔnɨ	ʑ ɛ l ɔ n ɨ	62
147	Bulgarian	green	35	zɛlɛn	z ɛ l ɛ n	62
148	Czech	green	35	zɛlɛniː	z ɛ l ɛ n iː	62
# 
149	Russian	hair	36	voləsɨ	v o l ə s ɨ	63
150	Polish	hair	36	vwɔsɨ	v w ɔ s ɨ	63
151	Bulgarian	hair	36	kɔsəm	k ɔ s ə m	64
152	Czech	hair	36	vlasɪ	v l a s ɪ	63
# 
153	Russian	hand	37	ruka	r u k a	65
154	Polish	hand	37	rɛ̃ka	r ɛ̃ k a	65
155	Bulgarian	hand	37	rəka	r ə k a	65
156	Czech	hand	37	rʊka	r ʊ k a	65
# 
157	Russian	head	38	ɡəlɐva	ɡ ə l ɐ v a	66
158	Polish	head	38	ɡwɔva	ɡ w ɔ v a	66
159	Bulgarian	head	38	ɡləva	ɡ l ə v a	66
160	Czech	head	38	ɦlava	ɦ l a v a	66
# 
161	Russian	hear (V)	39	sluʃatʲ	s l u ʃ a tʲ	67
162	Polish	hear (V)	39	swɨʃɛʨ	s w ɨ ʃ ɛ ʨ	67
163	Bulgarian	hear (V)	39	ʧuvəm	ʧ u v ə m	68
164	Czech	hear (V)	39	slɪʃɛt	s l ɪ ʃ ɛ t	67
# 
165	Russian	heart	40	sʲɛrʦə	sʲ ɛ r ʦ ə	69
166	Polish	heart	40	sɛrʦɛ	s ɛ r ʦ ɛ	69
167	Bulgarian	heart	40	sərʦɛ	s ə r ʦ ɛ	69
168	Czech	heart	40	sr̩ʦɛ	s r̩ ʦ ɛ	69
# 
169	Russian	horn	41	rok	r o k	70
170	Polish	horn	41	ruk	r u k	70
171	Bulgarian	horn	41	rok	r o k	70
172	Czech	horn	41	rox	r o x	70
# 
