# IDS
ID	Language	Gloss	GlossID	IDS_ID	Ortho	IPA	CogID
# 
1	German	the world	322	1.1	Welt	vɛlt	627
2	French	the world	322	1.1	monde	mɔ̃d	628
3	Dutch	the world	322	1.1	wereld	weːrəlt	627
4	English	the world	322	1.1	world	wɜːld	627
# 
5	German	the land	558	1.21	Erde	eːrdə	1090
6	German	the land	558	1.21	Land	lant	1091
7	French	the land	558	1.21	terre	tɛʁ	1092
8	Dutch	the land	558	1.21	land	lɑnt	1091
9	English	the land	558	1.21	land	lænd	1091
# 
10	German	the soil	493	1.212	Erde	eːrdə	955
11	German	the soil	493	1.212	Boden	boːdən	958
12	French	the soil	493	1.212	terre	tɛʁ	957
13	French	the soil	493	1.212	sol	sɔl	956
14	Dutch	the soil	493	1.212	bodem	boːdəm	958
15	English	the soil	493	1.212	soil	sɔɪl	956
# 
16	German	the mud	492	1.214	Schlamm	ʃlam	951
17	German	the mud	492	1.214	Dreck	drɛk	954
18	French	the mud	492	1.214	boue	bu	953
19	Dutch	the mud	492	1.214	modder	mɔdər	952
20	English	the mud	492	1.214	mud	mʌd	952
# 
21	German	the sand	491	1.215	Sand	zant	949
22	French	the sand	491	1.215	sable	sɑbl	950
23	Dutch	the sand	491	1.215	zand	zɑnt	949
24	English	the sand	491	1.215	sand	sænd	949
# 
25	German	the mountain or hill	557	1.22	Berg	bɛrk	1086
26	German	the mountain or hill	557	1.22	Hügel	hyːɡəl	1088
27	French	the mountain or hill	557	1.22	montagne	mɔ̃taɲ	1087
28	French	the mountain or hill	557	1.22	colline	kɔlin	1089
29	Dutch	the mountain or hill	557	1.22	berg	bɛrx	1086
30	Dutch	the mountain or hill	557	1.22	heuvel	høːvəl	1088
31	English	the mountain or hill	557	1.22	mountain	maʊntɪn	1087
32	English	the mountain or hill	557	1.22	hill	hɪl	1088
# 
33	German	the cliff or precipice	277	1.222	Klippe	klɪpə	532
34	French	the cliff or precipice	277	1.222	falaise	falɛz	533
35	French	the cliff or precipice	277	1.222	escarpement	ɛskaʀpəmɑ̃	535
36	Dutch	the cliff or precipice	277	1.222	klif	klɪf	532
37	English	the cliff or precipice	277	1.222	cliff	klɪf	532
38	English	the cliff or precipice	277	1.222	precipice	prɛsɪpɪs	534
# 
39	German	the plain	556	1.23	Ebene	eːbənə	1083
40	German	the plain	556	1.23	Fläche	flɛxə	1084
41	German	the plain	556	1.23	Feld	fɛlt	1085
42	French	the plain	556	1.23	plaine	plɛn	1083
43	French	the plain	556	1.23	campagne	kɑ̃paɲ	1083
44	Dutch	the plain	556	1.23	vlakte	vlɑktə	1084
45	English	the plain	556	1.23	plain	pleɪn	1083
# 
46	German	the valley	561	1.24	Tal	taːl	1096
47	French	the valley	561	1.24	vallée	vale	1097
48	Dutch	the valley	561	1.24	vallei	vɑlɛɪ	1097
49	Dutch	the valley	561	1.24	dal	dɑl	1096
50	English	the valley	561	1.24	valley	vælɪ	1097
# 
51	German	the mainland	560	1.26	Festland	fɛst#lant	1094
52	French	the mainland	560	1.26	continent	kɔ̃tinɑ̃	1095
53	Dutch	the mainland	560	1.26	vasteland	vɑstə#lɑnt	1094
54	English	the mainland	560	1.26	mainland	meɪn#lənd	1094
# 
55	German	the shore	359	1.27	Ufer	uːfər	700
56	German	the shore	359	1.27	Strand	ʃtrant	703
57	French	the shore	359	1.27	rivage	ʀivaʒ	702
58	French	the shore	359	1.27	côte	kot	704
59	French	the shore	359	1.27	littoral	litɔʀal	705
60	Dutch	the shore	359	1.27	oever	uːvər	700
61	English	the shore	359	1.27	shore	ʃɔːr	701
# 
62	German	the water	341	1.31	Wasser	vasər	654
63	French	the water	341	1.31	eau	o	655
64	Dutch	the water	341	1.31	water	waːtər	654
65	English	the water	341	1.31	water	wɔːtər	654
# 
66	German	the sea	342	1.32	See	zeː	656
67	French	the sea	342	1.32	mer	mɛʁ	657
68	Dutch	the sea	342	1.32	zee	zeː	656
69	English	the sea	342	1.32	sea	siː	656
# 
70	German	calm	608	1.322	Meeresstille	meːrəs#ʃtɪlə	1187
71	French	calm	608	1.322	étale	etale	1189
72	Dutch	calm	608	1.322	kalm	kɑlm	1188
73	Dutch	calm	608	1.322	rustig	rʉstəx	1190
74	English	calm	608	1.322	calm	kɑːm	1188
# 
75	German	rough(2)	607	1.323	rauh	rau	1184
76	French	rough(2)	607	1.323	trouble	tʀubl	1185
77	French	rough(2)	607	1.323	agité	aʒite	1186
78	Dutch	rough(2)	607	1.323	ruw	ryːw	1184
79	English	rough(2)	607	1.323	rough	rʌf	1184
# 
80	German	the foam	606	1.324	Schaum	ʃaum	1180
81	French	the foam	606	1.324	écume	ekym	1182
82	French	the foam	606	1.324	mousse	mus	1183
83	Dutch	the foam	606	1.324	schuim	sxœym	1180
84	English	the foam	606	1.324	foam	fəʊm	1181
# 
85	German	the ocean	602	1.329	Weltmeer	vɛlt#meːr	1166
86	German	the ocean	602	1.329	Ozean	oːʦeːaːn	1167
87	French	the ocean	602	1.329	océan	ɔseɑ̃	1168
88	Dutch	the ocean	602	1.329	oceaan	oːseːjaːn	1168
89	English	the ocean	602	1.329	ocean	əʊʃṇ	1167
# 
90	German	the lake	343	1.33	See	zeː	658
91	French	the lake	343	1.33	lac	lak	659
92	Dutch	the lake	343	1.33	meer	meːr	660
93	English	the lake	343	1.33	lake	leɪk	659
# 
94	German	the bay	344	1.34	Meerbusen	meːr#buːzən	661
95	German	the bay	344	1.34	Golf	ɡɔlf	663
96	German	the bay	344	1.34	Bucht	bʊxt	664
97	French	the bay	344	1.34	golfe	ɡɔlf	663
98	French	the bay	344	1.34	baie	bɛ	662
99	Dutch	the bay	344	1.34	baai	baːj	662
100	English	the bay	344	1.34	bay	beɪ	662
# 
101	German	the lagoon	109	1.341	Lagune	laɡuːnə	230
