# KSL
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Albanian	all	1	ɟiθ	ɟ i θ	4
2	English	all	1	ɔl	ɔ l	3
3	French	all	1	tut	t u t	4
4	German	all	1	al	a l	3
5	Hawaiian	all	1	apau	a p au	1
7	Navajo	all	1	ʔayɬʦo	ʔ ay ɬ ʦ o	5
8	Turkish	all	1	bytyn	b y t y n	2
# 
9	Albanian	and	2	e	e	6
10	English	and	2	and	a n d	8
11	French	and	2	e	e	6
12	German	and	2	unt	u n t	8
13	Hawaiian	and	2	aː	aː	6
15	Navajo	and	2	doː	d oː	9
16	Turkish	and	2	ve	v e	7
# 
17	Albanian	animal	3	kafʃ	k a f ʃ	13
18	English	animal	3	anəməl	a n ə m ə l	14
19	French	animal	3	animal	a n i m a l	14
20	German	animal	3	tiːr	t iː r	12
21	Hawaiian	animal	3	holoholona	h o l o h o l o n a	10
23	Navajo	animal	3	naːldeːhiː	n aː l d eː h iː	15
24	Turkish	animal	3	hajvan	h a j v a n	11
# 
25	Albanian	ashes	4	hir	h i r	19
26	English	ashes	4	aʃ	a ʃ	18
27	French	ashes	4	sɑ̃dr	s ɑ̃ d r	19
28	German	ashes	4	aʃə	a ʃ ə	18
29	Hawaiian	ashes	4	lehu	l e h u	16
31	Navajo	ashes	4	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	20
32	Turkish	ashes	4	kyl	k y l	17
# 
33	Albanian	at	5	nə	n ə	23
34	English	at	5	at	a t	22
35	French	at	5	a	a	24
36	German	at	5	an	a n	23
37	Hawaiian	at	5	ma	m a	21
39	Navajo	at	5	di	d i	22
40	Turkish	at	5	de	d e	22
# 
41	Albanian	back	6	ʃpin	ʃ p i n	27
42	English	back	6	bak	b a k	29
43	French	back	6	do	d o	28
44	German	back	6	rykən	r y k ə n	26
45	Hawaiian	back	6	kua	k ua	25
47	Navajo	back	6	nayɣah	n ay ɣ a h	30
48	Turkish	back	6	arka	a r k a	26
# 
49	Albanian	bad	7	kec	k e c	32
50	English	bad	7	bad	b a d	35
51	French	bad	7	mɔvɛz	m ɔ v ɛ z	34
52	German	bad	7	ʃlext	ʃ l e x t	33
53	Hawaiian	bad	7	ʔino	ʔ i n o	31
55	Navajo	bad	7	jayʔayʃõõ	j ay ʔ ay ʃ õõ	36
56	Turkish	bad	7	køty	k ø t y	32
# 
57	Albanian	bark	8	ʃkəlboz	ʃ k ə l b o z	40
58	English	bark	8	bɑrk	b ɑ r k	42
59	French	bark	8	ekɔrs	e k ɔ r s	41
60	German	bark	8	rində	r i n d ə	39
61	Hawaiian	bark	8	ʔili	ʔ i l i	37
63	Navajo	bark	8	kayʃtˀoːʒ	k ay ʃ tˀ oː ʒ	43
64	Turkish	bark	8	kabuk	k a b u k	38
# 
65	Albanian	because	9	sepse	s e p s e	47
66	English	because	9	bəkɔz	b ə k ɔ z	49
67	French	because	9	pars	p a r s	48
68	German	because	9	vail	v ai l	46
69	Hawaiian	because	9	aːmea	aː m ea	44
71	Navajo	because	9	haːlay	h aː l ay	50
72	Turkish	because	9	ʧynky	ʧ y n k y	45
# 
73	Albanian	belly	10	bark	b a r k	53
74	English	belly	10	bɛli	b ɛ l i	55
75	French	belly	10	vɑ̃tr	v ɑ̃ t r	54
76	German	belly	10	baux	b au x	53
77	Hawaiian	belly	10	ʔoːpuː	ʔ oː p uː	51
79	Navajo	belly	10	bid	b i d	54
80	Turkish	belly	10	karn	k a r n	52
# 
81	Albanian	big	11	mað	m a ð	59
82	English	big	11	bɪg	b ɪ g	57
83	French	big	11	grɑ̃d	g r ɑ̃ d	58
84	German	big	11	groːs	g r oː s	58
85	Hawaiian	big	11	nui	n ui	56
87	Navajo	big	11	ʔayniɬʦo	ʔ ay n i ɬ ʦ o	60
88	Turkish	big	11	byjyk	b y j y k	57
# 
89	Albanian	bird	12	zog	z o g	64
90	English	bird	12	bərd	b ə r d	66
91	French	bird	12	wazo	w a z o	65
92	German	bird	12	foːgəl	f oː g ə l	63
93	Hawaiian	bird	12	manu	m a n u	61
95	Navajo	bird	12	ʦidiː	ʦ i d iː	67
96	Turkish	bird	12	kuʃ	k u ʃ	62
# 
97	Albanian	bite	13	kafʃo	k a f ʃ o	71
98	English	bite	13	bait	b ai t	70
99	French	bite	13	mɔr	m ɔ r	72
100	German	bite	13	bais	b ai s	70
101	Hawaiian	bite	13	nahu	n a h u	68
103	Navajo	bite	13	ʔahayɬhaːʃ	ʔ a h ay ɬ h aː ʃ	73
104	Turkish	bite	13	ɯsɯr	ɯ s ɯ r	69
# 
105	Albanian	black	14	zez	z e z	77
106	English	black	14	blak	b l a k	79
107	French	black	14	nwar	n w a r	78
108	German	black	14	ʃvarʦ	ʃ v a r ʦ	76
109	Hawaiian	black	14	ʔeleʔele	ʔ e l e ʔ e l e	74
111	Navajo	black	14	ɬiʒin	ɬ i ʒ i n	80
112	Turkish	black	14	kara	k a r a	75
# 
113	Albanian	blood	15	ɟakr	ɟ a k r	84
114	English	blood	15	bləd	b l ə d	83
115	French	blood	15	sɑ̃	s ɑ̃	85
116	German	blood	15	bluːt	b l uː t	83
117	Hawaiian	blood	15	koko	k o k o	81
119	Navajo	blood	15	diɬ	d i ɬ	86
120	Turkish	blood	15	kan	k a n	82
# 
121	Albanian	blow	16	fry	f r y	90
122	English	blow	16	blo	b l o	89
123	French	blow	16	vɑ̃te	v ɑ̃ t e	91
124	German	blow	16	blaːz	b l aː z	89
125	Hawaiian	blow	16	puhi	p u h i	87
127	Navajo	blow	16	niʧˀi	n i ʧˀ i	92
128	Turkish	blow	16	es	e s	88
# 
129	Albanian	bone	17	koʦk	k o ʦ k	96
130	English	bone	17	bon	b o n	98
131	French	bone	17	ɔs	ɔ s	97
132	German	bone	17	knoxən	k n o x ə n	95
133	Hawaiian	bone	17	iwi	i w i	93
135	Navajo	bone	17	ʦˀin	ʦˀ i n	99
136	Turkish	bone	17	kemik	k e m i k	94
# 
137	Albanian	breast	18	ɟir	ɟ i r	103
138	English	breast	18	brɛst	b r ɛ s t	102
139	French	breast	18	sɛ̃	s ɛ̃	104
140	German	breast	18	brust	b r u s t	102
141	Hawaiian	breast	18	uː	uː	100
143	Navajo	breast	18	beʔ	b e ʔ	105
144	Turkish	breast	18	meme	m e m e	101
# 
145	Albanian	breathe	19	frym	f r y m	109
146	English	breathe	19	brið	b r i ð	111
147	French	breathe	19	rɛspire	r ɛ s p i r e	110
148	German	breathe	19	aːtm	aː t m	108
149	Hawaiian	breathe	19	hanu	h a n u	106
151	Navajo	breathe	19	ńdiʣih	ń d i ʣ i h	112
152	Turkish	breathe	19	nefes	n e f e s	107
# 
153	Albanian	burn	20	diɟ	d i ɟ	116
154	English	burn	20	bərn	b ə r n	115
155	French	burn	20	bryle	b r y l e	117
156	German	burn	20	bren	b r e n	115
157	Hawaiian	burn	20	ʔaː	ʔ aː	113
159	Navajo	burn	20	diltˡiʔ	d i l tˡ i ʔ	118
160	Turkish	burn	20	jan	j a n	114
# 
161	Albanian	child	21	fəmiʎ	f ə m i ʎ	122
162	English	child	21	ʧaild	ʧ ai l d	124
163	French	child	21	ɑ̃fɑ̃t	ɑ̃ f ɑ̃ t	123
164	German	child	21	kind	k i n d	121
165	Hawaiian	child	21	keiki	k ei k i	119
167	Navajo	child	21	ʔʃkiː	ʔ ʃ k iː	125
168	Turkish	child	21	ʧoʤuk	ʧ o ʤ u k	120
# 
169	Albanian	claw	22	θon	θ o n	129
170	English	claw	22	klɔ	k l ɔ	128
171	French	claw	22	grif	g r i f	128
172	German	claw	22	klauə	k l auə	128
173	Hawaiian	claw	22	mikiʔao	m i k i ʔ ao	126
175	Navajo	claw	22	keʃgaː	k e ʃ g aː	130
176	Turkish	claw	22	tɯrnak	t ɯ r n a k	127
# 
177	Albanian	cloud	23	re	r e	134
178	English	cloud	23	klaud	k l au d	136
179	French	cloud	23	nɥaʒ	n ɥ a ʒ	135
180	German	cloud	23	volkə	v o l k ə	133
181	Hawaiian	cloud	23	ao	ao	131
183	Navajo	cloud	23	kˀos	kˀ o s	137
184	Turkish	cloud	23	bulut	b u l u t	132
# 
185	Albanian	cold	24	ftohət	f t o h ə t	141
186	English	cold	24	kold	k o l d	140
187	French	cold	24	frwad	f r w a d	142
188	German	cold	24	kalt	k a l t	140
189	Hawaiian	cold	24	anu	a n u	138
191	Navajo	cold	24	sikˀaz	s i kˀ a z	139
192	Turkish	cold	24	soɣuk	s o ɣ u k	139
# 
193	Albanian	come	25	vjen	v j e n	146
194	English	come	25	kəm	k ə m	145
195	French	come	25	vjɛ̃	v j ɛ̃	146
196	German	come	25	kom	k o m	145
197	Hawaiian	come	25	hele	h e l e	143
199	Navajo	come	25	jiɣaːh	j i ɣ aː h	147
200	Turkish	come	25	gel	g e l	144
# 
201	Albanian	count	26	numəruar	n u m ə r ua r	150
202	English	count	26	kaunt	k au n t	151
203	French	count	26	kɔ̃te	k ɔ̃ t e	151
204	German	count	26	ʦeːl	ʦ eː l	148
205	Hawaiian	count	26	helu	h e l u	148
207	Navajo	count	26	iːniɬtaʔ	iː n i ɬ t a ʔ	152
208	Turkish	count	26	saj	s a j	149
# 
209	Albanian	cut	27	pres	p r e s	156
210	English	cut	27	kət	k ə t	154
211	French	cut	27	kupe	k u p e	157
212	German	cut	27	ʃnaid	ʃ n ai d	155
213	Hawaiian	cut	27	ʔoki	ʔ o k i	153
215	Navajo	cut	27	ʔahaygeːʃ	ʔ a h ay g eː ʃ	153
216	Turkish	cut	27	kes	k e s	154
# 
217	Albanian	day	28	dit	d i t	160
218	English	day	28	de	d e	160
219	French	day	28	ʒur	ʒ u r	161
220	German	day	28	taːg	t aː g	160
221	Hawaiian	day	28	laː	l aː	158
223	Navajo	day	28	ʤĩ́	ʤ ĩ́	162
224	Turkish	day	28	gyn	g y n	159
# 
225	Albanian	die	29	vdes	v d e s	166
226	English	die	29	dai	d ai	168
227	French	die	29	mœr	m œ r	167
228	German	die	29	ʃterb	ʃ t e r b	165
229	Hawaiian	die	29	make	m a k e	163
231	Navajo	die	29	daːzʦã́	d aː z ʦ ã́	166
232	Turkish	die	29	øl	ø l	164
# 
233	Albanian	dig	30	gərmo	g ə r m o	172
234	English	dig	30	dɪg	d ɪ g	173
235	French	dig	30	krøze	k r ø z e	170
236	German	dig	30	graːb	g r aː b	171
237	Hawaiian	dig	30	ʔeli	ʔ e l i	169
239	Navajo	dig	30	hahageːd	h a h a g eː d	174
240	Turkish	dig	30	kaz	k a z	170
# 
241	Albanian	dirty	31	ndyr	n d y r	178
242	English	dirty	31	dərti	d ə r t i	178
243	French	dirty	31	sal	s a l	179
244	German	dirty	31	ʃmuʦix	ʃ m u ʦ i x	177
245	Hawaiian	dirty	31	lepo	l e p o	175
247	Navajo	dirty	31	baːʔih	b aː ʔ i h	176
248	Turkish	dirty	31	pis	p i s	176
# 
249	Albanian	dog	32	cen	c e n	183
250	English	dog	32	dɑg	d ɑ g	184
251	French	dog	32	ʃjɛn	ʃ j ɛ n	183
252	German	dog	32	hund	h u n d	182
253	Hawaiian	dog	32	ʔiːlio	ʔ iː l io	180
255	Navajo	dog	32	ɬeːʧãːʔi	ɬ eː ʧ ãː ʔ i	185
256	Turkish	dog	32	køpek	k ø p e k	181
# 
257	Albanian	drink	33	pi	p i	189
258	English	drink	33	drɪŋk	d r ɪ ŋ k	188
259	French	drink	33	bwa	b w a	189
