# PIE
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Dutch	all	1	ɑlə	ɑ l ə	1
2	Swedish	all	1	alː	a lː	1
3	English	all	1	ɔːl	ɔː l	1
4	German	all	1	al	a l	1
5	Spanish	all	1	entero	e n t e r o	3
6	Danish	all	1	æˀl	æˀ l	1
7	Bulgarian	all	1	vsiʧki	v s i ʧ k i	2
8	Greek	all	1	kaθe	k a θ e	5
9	Romanian	all	1	tot	t o t	4
10	Russian	all	1	fsʲe	f sʲ e	2
11	Polish	all	1	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	2
12	Norwegian	all	1	ɑlə	ɑ l ə	1
13	French	all	1	tu	t u	4
14	Czech	all	1	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	2
15	Icelandic	all	1	at͡lir	a t͡l i r	3
16	Italian	all	1	intɛro	i n t ɛ r o	3
17	Hindi	all	1	səb	s ə b	6
18	Portuguese	all	1	todu	t o d u	4
19	Spanish	all	1	toðo	t o ð o	4
20	Romanian	all	1	ɨntreg	ɨ n t r e g	3
21	French	all	1	ɑ̃tje	ɑ̃ t j e	7
22	Italian	all	1	tutto	t u tː o	4
23	Hindi	all	1	saːraː	s aː r aː	8
# 
24	Dutch	ashes	2	ɑs	ɑ s	9
25	Swedish	ashes	2	asːka	a sː k a	9
26	English	ashes	2	æʃ	æ ʃ	9
27	German	ashes	2	aʃə	a ʃ ə	9
28	Spanish	ashes	2	θeniθa	θ e n i θ a	11
29	Danish	ashes	2	asg	a s g	9
30	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	10
31	Greek	ashes	2	staxti	s t a x t i	14
32	Armenian	ashes	2	moχiɾ	m o χ i ɾ	12
33	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	11
34	Russian	ashes	2	zɐla	z ɐ l a	16
35	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	10
36	Norwegian	ashes	2	ɑsk	ɑ s k	9
37	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	13
38	Czech	ashes	2	popɛl	p o p ɛ l	10
39	Icelandic	ashes	2	aska	a s k a	9
40	Italian	ashes	2	ʧenere	ʧ e n e r e	11
41	Hindi	ashes	2	raːkʰ	r aː kʰ	15
42	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	9
43	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	10
# 
44	Dutch	bark	3	bɑst	b ɑ s t	19
45	Swedish	bark	3	barːk	b a rː k	17
46	English	bark	3	bɑːrk	b ɑː r k	17
47	German	bark	3	rɪndə	r ɪ n d ə	20
48	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	18
49	Danish	bark	3	bɑːg	b ɑː g	17
50	Bulgarian	bark	3	kora	k o r a	18
51	Greek	bark	3	flios	f l io s	22
52	Armenian	bark	3	kɛʁɛv	k ɛ ʁ ɛ v	18
53	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	21
54	Russian	bark	3	kɐra	k ɐ r a	18
55	Polish	bark	3	kɔra	k ɔ r a	18
56	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	17
57	French	bark	3	ekɔʁs	e k ɔ ʁ s	18
58	Czech	bark	3	kuːra	k uː r a	18
59	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	17
60	Italian	bark	3	korteʧʧa	k o r t e ʧː a	18
61	Hindi	bark	3	ʧʰaːl	ʧʰ aː l	24
62	Portuguese	bark	3	kaʃkɐ	k a ʃ k ɐ	23
# 
63	Dutch	belly	4	bœyk	b œy k	29
64	Swedish	belly	4	maːge	m aː g e	25
65	English	belly	4	bɛlɪ	b ɛ l ɪ	32
66	German	belly	4	baux	b au x	29
67	Spanish	belly	4	bjentre	b j e n t r e	31
68	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	26
69	Bulgarian	belly	4	korɛm	k o r ɛ m	27
70	Greek	belly	4	ciʎa	c i ʎ a	32
71	Romanian	belly	4	pənteʦe	p ə n t e ʦ e	30
72	Russian	belly	4	ʒɨvot	ʒ ɨ v o t	33
73	Polish	belly	4	bʒux	b ʒ u x	29
74	Norwegian	belly	4	mɑːgə	m ɑː g ə	25
75	French	belly	4	vɑ̃tʁ	v ɑ̃ t ʁ	31
76	Czech	belly	4	brɪxo	b r ɪ x o	34
77	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	28
78	Italian	belly	4	panʧa	p a n ʧ a	30
79	Hindi	belly	4	peːʈ	p eː ʈ	33
80	Portuguese	belly	4	vẽtrə	v ẽ t r ə	31
81	Swedish	belly	4	buk	b u k	29
82	Danish	belly	4	mæːvə	m æː v ə	25
83	Norwegian	belly	4	bʉːk	b ʉː k	29
84	Italian	belly	4	vɛntre	v ɛ n t r e	31
85	Portuguese	belly	4	bɐʀigɐ	b ɐ ʀ i g ɐ	34
# 
86	Dutch	big	5	xroːt	x r oː t	37
87	Swedish	big	5	stoːr	s t oː r	35
88	English	big	5	bɪɡ	b ɪ ɡ	41
89	German	big	5	ɡroːs	ɡ r oː s	37
90	Spanish	big	5	ɡɾande	ɡ ɾ a n d e	37
91	Danish	big	5	sdoˀʁ	s d oˀ ʁ	35
92	Bulgarian	big	5	golʲam	g o lʲ a m	36
93	Greek	big	5	meɣalos	m e ɣ a l o s	40
94	Armenian	big	5	mɛʦ	m ɛ ʦ	39
95	Romanian	big	5	mare	m a r e	38
96	Russian	big	5	bɐlʲʃoj	b ɐ lʲ ʃ o j	42
97	Polish	big	5	vʲɛlki	vʲ ɛ l k i	42
98	Norwegian	big	5	stuːɾ	s t uː ɾ	35
99	French	big	5	ɡʁã	ɡ ʁ ã	37
100	Czech	big	5	vɛlkiː	v ɛ l k iː	42
101	Icelandic	big	5	stouːr	s t ouː r	35
102	Italian	big	5	ɡrande	ɡ r a n d e	37
103	Hindi	big	5	bəɽaː	b ə ɽ aː	38
104	Portuguese	big	5	grɐ̃də	g r ɐ̃ d ə	37
105	English	big	5	ɡreɪt	ɡ r eɪ t	37
106	Polish	big	5	duʒɨ	d u ʒ ɨ	43
107	Icelandic	big	5	mɪːcɪt͡l	m ɪː c ɪ t͡l	39
# 
108	Dutch	bird	6	voːɣəl	v oː ɣ ə l	44
109	Swedish	bird	6	foːgel	f oː g e l	44
110	English	bird	6	bɜːrd	b ɜː r d	51
111	German	bird	6	foːɡəl	f oː ɡ ə l	44
112	Spanish	bird	6	paxaro	p a x a r o	46
113	Danish	bird	6	fuˀl	f uˀ l	44
114	Bulgarian	bird	6	ptiʦə	p t i ʦ ə	45
115	Greek	bird	6	puli	p u l i	44
116	Armenian	bird	6	tʰərʧʰun	tʰ ə r ʧʰ u n	47
117	Romanian	bird	6	pasəre	p a s ə r e	46
118	Russian	bird	6	ptʲiʦə	p tʲ i ʦ ə	45
119	Polish	bird	6	ptak	p t a k	45
120	Norwegian	bird	6	fʉːl	f ʉː l	44
121	French	bird	6	wazo	w a z o	48
122	Czech	bird	6	ptaːk	p t aː k	45
123	Icelandic	bird	6	fʏkl	f ʏ k l	44
124	Italian	bird	6	uʧːɛllo	u ʧː ɛ lː o	50
