# ROM
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Spanish	all	1	entero	e n t e r o	2
2	French	all	1	tu	t u	1
3	Portuguese	all	1	todu	t o d u	1
4	Romanian	all	1	tot	t o t	1
5	Italian	all	1	intɛro	i n t ɛ r o	2
6	Spanish	all	1	toðo	t o ð o	1
7	French	all	1	ɑ̃tje	ɑ̃ t j e	3
8	Romanian	all	1	ɨntreg	ɨ n t r e g	2
9	Italian	all	1	tutto	t u tː o	1
# 
10	Spanish	ashes	2	θeniθa	θ e n i θ a	4
11	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	6
12	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	5
13	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	4
14	Italian	ashes	2	ʧenere	ʧ e n e r e	4
# 
15	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	9
16	French	bark	3	ekɔʁs	e k ɔ ʁ s	10
17	Portuguese	bark	3	kaʃkɐ	k a ʃ k ɐ	8
18	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	7
19	Italian	bark	3	korteʧʧa	k o r t e ʧː a	9
# 
20	Spanish	belly	4	bjentre	b j e n t r e	12
21	French	belly	4	vɑ̃tʁ	v ɑ̃ t ʁ	12
22	Portuguese	belly	4	vẽtrə	v ẽ t r ə	12
23	Romanian	belly	4	pənteʦe	p ə n t e ʦ e	11
24	Italian	belly	4	panʧa	p a n ʧ a	11
25	Portuguese	belly	4	bɐʀigɐ	b ɐ ʀ i g ɐ	13
26	Italian	belly	4	vɛntre	v ɛ n t r e	12
# 
27	Spanish	big	5	ɡɾande	ɡ ɾ a n d e	15
28	French	big	5	ɡʁã	ɡ ʁ ã	15
29	Portuguese	big	5	grɐ̃də	g r ɐ̃ d ə	15
30	Romanian	big	5	mare	m a r e	14
31	Italian	big	5	ɡrande	ɡ r a n d e	15
# 
32	Spanish	bird	6	paxaro	p a x a r o	16
33	French	bird	6	wazo	w a z o	19
34	Portuguese	bird	6	avə	a v ə	17
35	Romanian	bird	6	pasəre	p a s ə r e	16
36	Italian	bird	6	uʧːɛllo	u ʧː ɛ lː o	18
37	Spanish	bird	6	ave	a v e	17
38	Portuguese	bird	6	pasɐru	p a s ɐ r u	16
# 
39	Spanish	bite (V)	7	moɾðeɾ	m o ɾ ð e ɾ	21
40	French	bite (V)	7	mɔʁdʁ	m ɔ ʁ d ʁ	21
41	Portuguese	bite (V)	7	murder	m u r d e r	21
42	Romanian	bite (V)	7	muʃka	m u ʃ k a	20
43	Italian	bite (V)	7	mɔrdere	m ɔ r d e r e	21
# 
44	Spanish	black	8	neɣɾo	n e ɣ ɾ o	22
45	French	black	8	nwaʁ	n w a ʁ	24
46	Portuguese	black	8	pretu	p r e t u	23
47	Romanian	black	8	neɡru	n e ɡ r u	22
48	Italian	black	8	nero	n e r o	22
# 
49	Spanish	blood	9	saŋɡɾe	s a ŋ ɡ ɾ e	25
50	French	blood	9	sɑ̃	s ɑ̃	26
51	Portuguese	blood	9	sɐ̃gə	s ɐ̃ g ə	25
52	Romanian	blood	9	sɨnʤe	s ɨ n ʤ e	25
53	Italian	blood	9	saŋɡwe	s a ŋ ɡ w e	25
# 
54	Spanish	bone	10	weso	w e s o	27
55	French	bone	10	ɔs	ɔ s	27
56	Portuguese	bone	10	osu	o s u	27
57	Romanian	bone	10	os	o s	27
58	Italian	bone	10	ɔsso	ɔ sː o	27
# 
59	Spanish	breast	11	seno	s e n o	30
60	French	breast	11	pwatʁin	p w a t ʁ i n	31
61	Portuguese	breast	11	pɐjtu	p ɐ j t u	29
62	Romanian	breast	11	pjept	p j e p t	28
63	Italian	breast	11	seno	s e n o	30
64	Spanish	breast	11	peʧo	p e ʧ o	29
65	French	breast	11	sɛ̃	s ɛ̃	30
66	Portuguese	breast	11	sɐju	s ɐ j u	30
67	Romanian	breast	11	sɨn	s ɨ n	30
68	Italian	breast	11	pɛtto	p ɛ tː o	29
# 
69	Spanish	burn (V)	12	kemaɾ	k e m a ɾ	33
70	French	burn (V)	12	bʁyle	b ʁ y l e	34
71	Portuguese	burn (V)	12	kɐjmar	k ɐ j m a r	33
72	Romanian	burn (V)	12	arde	a r d e	32
73	Italian	burn (V)	12	bruʧːare	b r u ʧː a r e	34
# 
74	Spanish	claw	13	uɲa	u ɲ a	36
75	French	claw	13	ɔ̃ɡl	ɔ̃ ɡ l	37
76	Portuguese	claw	13	uɲɐ	u ɲ ɐ	36
77	Romanian	claw	13	ungje	u n g j e	35
78	Italian	claw	13	unɡja	u n ɡ j a	35
# 
79	Spanish	cloud	14	nuβe	n u β e	39
80	French	cloud	14	nɥaj	n ɥ a j	40
81	Portuguese	cloud	14	nuvɐ̃j	n u v ɐ̃ j	39
82	Romanian	cloud	14	nor	n o r	38
83	Italian	cloud	14	nuvola	n u v o l a	39
# 
84	Spanish	cold	15	fri.o	f r i o	42
85	French	cold	15	fʁwa	f ʁ w a	42
86	Portuguese	cold	15	friw	f r i w	42
87	Romanian	cold	15	reʧe	r e ʧ e	41
88	Italian	cold	15	freddo	f r e dː o	42
89	Romanian	cold	15	frig	f r i g	42
# 
90	Spanish	come (V)	16	beniɾ	b e n i ɾ	43
91	French	come (V)	16	vəniʁ	v ə n i ʁ	43
92	Portuguese	come (V)	16	vir	v i r	44
93	Romanian	come (V)	16	veni	v e n i	43
94	Italian	come (V)	16	venire	v e n i r e	43
# 
95	Spanish	die (V)	17	moɾiɾ	m o ɾ i ɾ	45
96	French	die (V)	17	muʁiʁ	m u ʁ i ʁ	45
97	Portuguese	die (V)	17	muʀer	m u ʀ e r	45
98	Romanian	die (V)	17	muri	m u r i	45
99	Italian	die (V)	17	morire	m o r i r e	45
# 
100	Spanish	dog	18	pero	p e r o	49
101	French	dog	18	ʃjɛ̃	ʃ j ɛ̃	48
102	Portuguese	dog	18	kɐ̃uː	k ɐ̃uː	47
103	Romanian	dog	18	kɨjne	k ɨ j n e	46
104	Italian	dog	18	kane	k a n e	46
# 
105	Spanish	drink (V)	19	beβeɾ	b e β e ɾ	50
106	French	drink (V)	19	bwɑʁ	b w ɑ ʁ	50
107	Portuguese	drink (V)	19	bəber	b ə b e r	50
108	Romanian	drink (V)	19	be.a	b e a	50
109	Italian	drink (V)	19	bere	b e r e	50
# 
110	Spanish	dry	20	seko	s e k o	51
111	French	dry	20	sɛk	s ɛ k	51
112	Portuguese	dry	20	seku	s e k u	51
113	Romanian	dry	20	sek	s e k	51
114	Italian	dry	20	sekko	s e kː o	51
115	Portuguese	dry	20	ẽʃutu	ẽ ʃ u t u	52
116	Romanian	dry	20	uskat	u s k a t	52
117	Italian	dry	20	aʃʃutto	a ʃː u tː o	52
# 
118	Spanish	ear 1	21	oɾexa	o ɾ e x a	53
119	French	ear 1	21	ɔʁɛj	ɔ ʁ ɛ j	53
120	Portuguese	ear 1	21	oreʎɐ	o r e ʎ ɐ	53
121	Romanian	ear 1	21	ureke	u r e k e	53
122	Italian	ear 1	21	ɔrekkjo	ɔ r e kː j o	53
# 
123	Spanish	earth	22	tjera	t j e r a	55
124	French	earth	22	tɛʁ	t ɛ ʁ	55
125	Portuguese	earth	22	tɛʀɐ	t ɛ ʀ ɐ	55
126	Romanian	earth	22	pəmɨnt	p ə m ɨ n t	54
127	Italian	earth	22	tɛrra	t ɛ rː a	55
# 
128	Spanish	eat (V)	23	komeɾ	k o m e ɾ	57
129	French	eat (V)	23	mɑ̃ʒe	m ɑ̃ ʒ e	58
130	Portuguese	eat (V)	23	kumer	k u m e r	57
131	Romanian	eat (V)	23	mɨnka	m ɨ n k a	56
132	Italian	eat (V)	23	manʤare	m a n ʤ a r e	56
# 
133	Spanish	egg	24	weβo	w e β o	59
134	French	egg	24	œf	œ f	59
135	Portuguese	egg	24	ovu	o v u	59
136	Romanian	egg	24	ow	o w	59
137	Italian	egg	24	wɔvo	w ɔ v o	59
# 
138	Spanish	eye	25	oxo	o x o	60
139	French	eye	25	œj	œ j	62
140	Portuguese	eye	25	oʎu	o ʎ u	61
141	Romanian	eye	25	oki	o k i	60
142	Italian	eye	25	ɔkkjo	ɔ kː j o	60
# 
143	Spanish	fat	26	ɡɾasa	ɡ ɾ a s a	63
144	French	fat	26	ɡʁɛs	ɡ ʁ ɛ s	63
145	Portuguese	fat	26	gurdurɐ	g u r d u r ɐ	64
146	Romanian	fat	26	grəsime	g r ə s i m e	63
147	Italian	fat	26	ɡrasso	ɡ r a sː o	63
148	Spanish	fat	26	ɡoɾðo	ɡ o ɾ ð o	64
# 
149	Spanish	feather	27	pluma	p l u m a	66
150	French	feather	27	plym	p l y m	66
151	Portuguese	feather	27	penɐ	p e n ɐ	65
152	Romanian	feather	27	panə	p a n ə	65
153	Italian	feather	27	pjuma	p j u m a	66
154	Italian	feather	27	pɛnna	p ɛ nː a	65
# 
155	Spanish	fire	28	fweɣo	f w e ɣ o	67
156	French	fire	28	fø	f ø	67
157	Portuguese	fire	28	fogu	f o g u	67
158	Romanian	fire	28	fok	f o k	67
159	Italian	fire	28	fwɔko	f w ɔ k o	67
# 
160	Spanish	fish	29	peskaðo	p e s k a ð o	69
161	French	fish	29	pwasõ	p w a s õ	68
162	Portuguese	fish	29	pɐjʃə	p ɐ j ʃ ə	68
163	Romanian	fish	29	peʃte	p e ʃ t e	68
164	Italian	fish	29	peʃʃe	p e ʃː e	68
# 
165	Spanish	fly (V)	30	bolaɾ	b o l a ɾ	72
166	French	fly (V)	30	vɔle	v ɔ l e	72
167	Portuguese	fly (V)	30	vwar	v w a r	71
168	Romanian	fly (V)	30	zbura	z b u r a	70
169	Italian	fly (V)	30	volare	v o l a r e	72
# 
170	Spanish	foot	31	pje	p j e	74
171	French	foot	31	pje	p j e	74
172	Portuguese	foot	31	pɛ	p ɛ	74
173	Romanian	foot	31	piʧjor	p i ʧ j o r	73
174	Italian	foot	31	pjɛde	p j ɛ d e	74
# 
175	Spanish	full	32	ʎeno	ʎ e n o	75
176	French	full	32	plɛ̃	p l ɛ̃	75
177	Portuguese	full	32	ʃɐju	ʃ ɐ j u	76
178	Romanian	full	32	plin	p l i n	75
179	Italian	full	32	pjɛno	p j ɛ n o	77
# 
180	Spanish	give (V)	33	daɾ	d a ɾ	78
181	French	give (V)	33	dɔne	d ɔ n e	79
182	Portuguese	give (V)	33	dar	d a r	78
183	Romanian	give (V)	33	da	d a	78
184	Italian	give (V)	33	dare	d a r e	78
# 
185	Spanish	good	34	bweno	b w e n o	81
186	French	good	34	bɔ̃	b ɔ̃	80
187	Portuguese	good	34	bõ	b õ	80
188	Romanian	good	34	bun	b u n	80
189	Italian	good	34	bwɔno	b w ɔ n o	81
# 
190	Spanish	green	35	beɾðe	b e ɾ ð e	82
191	French	green	35	vɛʁ	v ɛ ʁ	82
192	Portuguese	green	35	verdə	v e r d ə	82
193	Romanian	green	35	verde	v e r d e	82
194	Italian	green	35	verde	v e r d e	82
# 
195	Spanish	hair	36	kaβeʎo	k a β e ʎ o	84
196	French	hair	36	ʃəvø	ʃ ə v ø	85
197	Portuguese	hair	36	kɐbelu	k ɐ b e l u	84
198	Romanian	hair	36	pər	p ə r	83
199	Italian	hair	36	kapello	k a p e lː o	84
# 
200	Spanish	hand	37	mano	m a n o	86
201	French	hand	37	mɛ̃	m ɛ̃	87
202	Portuguese	hand	37	mɐ̃w	m ɐ̃ w	87
203	Romanian	hand	37	mɨnə	m ɨ n ə	86
204	Italian	hand	37	mano	m a n o	86
# 
205	Spanish	head	38	kaβeθa	k a β e θ a	88
206	French	head	38	tɛt	t ɛ t	89
207	Portuguese	head	38	kɐbesɐ	k ɐ b e s ɐ	88
208	Romanian	head	38	kap	k a p	88
209	Italian	head	38	tɛsta	t ɛ s t a	89
# 
210	Spanish	hear (V)	39	o.ir	o i r	91
211	French	hear (V)	39	ɑ̃tɑ̃dʁ	ɑ̃ t ɑ̃ d ʁ	92
212	Portuguese	hear (V)	39	ovir	o v i r	91
213	Romanian	hear (V)	39	awzi	a w z i	90
214	Italian	hear (V)	39	udire	u d i r e	92
# 
215	Spanish	heart	40	koraθon	k o r a θ o n	94
216	French	heart	40	kœʁ	k œ ʁ	94
217	Portuguese	heart	40	kurɐsõ	k u r ɐ s õ	94
218	Romanian	heart	40	inimə	i n i m ə	93
219	Italian	heart	40	kwɔre	k w ɔ r e	94
# 
220	Spanish	horn	41	kweɾno	k w e ɾ n o	95
221	French	horn	41	kɔʁn	k ɔ ʁ n	95
222	Portuguese	horn	41	kornu	k o r n u	95
223	Romanian	horn	41	korn	k o r n	95
224	Italian	horn	41	kɔrno	k ɔ r n o	95
# 
225	Spanish	i	42	ʝo	ʝ o	99
226	French	i	42	ʒə	ʒ ə	99
227	Portuguese	i	42	ew	e w	97
228	Romanian	i	42	jo	j o	96
229	Italian	i	42	io	io	98
# 
230	Spanish	kill (V)	43	mataɾ	m a t a ɾ	101
231	French	kill (V)	43	tɥe	t ɥ e	102
232	Portuguese	kill (V)	43	mɐtar	m ɐ t a r	101
233	Romanian	kill (V)	43	uʧide	u ʧ i d e	100
234	Italian	kill (V)	43	uʧːidere	u ʧː i d e r e	100
# 
235	Spanish	knee	44	roðiʎa	r o ð i ʎ a	104
236	French	knee	44	ʒənu	ʒ ə n u	103
237	Portuguese	knee	44	ʒuɐʎu	ʒ uɐ ʎ u	104
238	Romanian	knee	44	ʤenunkʲ	ʤ e n u n kʲ	103
239	Italian	knee	44	ʤinɔkkjo	ʤ i n ɔ kː j o	103
# 
240	Spanish	know (V)	45	konoθer	k o n o θ e r	106
241	French	know (V)	45	savwaʁ	s a v w a ʁ	107
242	Portuguese	know (V)	45	kuɲəser	k u ɲ ə s e r	106
243	Romanian	know (V)	45	ʃti	ʃ t i	105
244	Italian	know (V)	45	konoʃʃere	k o n o ʃː e r e	106
245	Spanish	know (V)	45	saβeɾ	s a β e ɾ	107
246	French	know (V)	45	kɔnɛtʁ	k ɔ n ɛ t ʁ	106
247	Portuguese	know (V)	45	sɐber	s ɐ b e r	107
248	Romanian	know (V)	45	kunwaʃte	k u n w a ʃ t e	106
249	Italian	know (V)	45	sapere	s a p e r e	107
# 
250	Spanish	leaf	46	oxa	o x a	110
251	French	leaf	46	fœj	f œ j	108
252	Portuguese	leaf	46	foʎɐ	f o ʎ ɐ	109
253	Romanian	leaf	46	fwaje	f w a j e	108
254	Italian	leaf	46	fɔʎʎa	f ɔ ʎː a	109
# 
255	Spanish	lie 1 (V)	47	kostaðo	k o s t a ð o	114
256	French	lie 1 (V)	47	kuʃe	k u ʃ e	114
257	Portuguese	lie 1 (V)	47	dɐjtar	d ɐ j t a r	112
258	Romanian	lie 1 (V)	47	kulka	k u l k a	111
259	Italian	lie 1 (V)	47	ʤaʧere	ʤ a ʧ e r e	113
# 
260	Spanish	liver	48	iɣaðo	i ɣ a ð o	115
261	French	liver	48	fwɑ	f w ɑ	116
262	Portuguese	liver	48	figɐdu	f i g ɐ d u	115
