# SIN
ID	Languages	Gloss	GlossId	Ortho	IPA	CogID
# 
1	Meixian	sun	1	日头	ŋit¹tʰew¹¹	2
2	Changsha	sun	1	太阳	tʰaj⁵⁵jan¹³	1
3	Changsha	sun	1	日头	ʐʅ²⁴təw	6
4	Guixian	sun	1	太阳	tʰaj²¹³jaŋ²¹	1
5	Xiamen	sun	1	日头	lit⁵tʰaw	2
6	Xiamen	sun	1	太阳	tʰaj²¹jɔŋ³⁵	1
7	Hefei	sun	1	太阳	tʰᴇ⁵³jɑ̃	1
8	Hefei	sun	1	日头	ʐəʔ⁵tʰɯ	7
9	Jinan	sun	1	太阳	tʰɛ²¹jaŋ	1
10	Jinan	sun	1	老爷爷儿	lɔ⁵⁵jə⁴²jər⁴²	8
11	Jinan	sun	1	日头	ʐʅ²¹tʰow	6
12	Hangzhou	sun	1	太阳	tʰᴇ⁴⁴⁵ɦjɑŋ²¹³	1
13	Guangzhou	sun	1	热头	jit²tʰɐw²¹	2
14	Guangzhou	sun	1	太阳	tʰaj³³jœŋ²¹	1
15	Nanchang	sun	1	太阳	tʰaj²¹³iŋ⁰⁴	1
16	Nanchang	sun	1	日头	ȵiʔ⁵tʰu⁰²	7
17	Chengdu	sun	1	太阳	tʰaj¹³jaŋ³¹	1
18	Taiyuan	sun	1	阳婆	jɒ̃¹¹pʰɒ̃¹¹	4
19	Taiyuan	sun	1	太阳	taj⁴⁵jɒ̃¹¹	1
20	Shexian	sun	1	日头	ni²²tʰju⁴⁴	3
21	Shexian	sun	1	太阳	tʰa³²⁴ja⁴⁴	1
22	Beijing	sun	1	太阳	tʰaj⁵¹jɑŋ¹	1
23	Beijing	sun	1	老爷儿	lɑw²¹⁴ir³⁵	5
24	Beijing	sun	1	日头	ʐʅ⁵¹tʰow¹	6
25	Kunming	sun	1	太阳	tʰæ²¹²jᴀ̃³¹	1
26	Kunming	sun	1	热头	ʐə³¹tʰəw³¹	6
27	Shanghai	sun	1	太阳	tʰa³⁴ɦjã¹³	1
28	Shanghai	sun	1	日头	ȵjɪʔ¹dɤ¹³	7
# 
29	Meixian	moon	2	月光	ŋjat⁵kwoŋ⁴⁴	10
30	Changsha	moon	2	月亮	ɥe²⁴ljan¹¹	9
31	Changsha	moon	2	月亮菩萨	ɥe²⁴ljan⁵⁵pu¹³sa²⁴	9
32	Changsha	moon	2	月亮巴巴	ɥe²⁴ljan⁵⁵pa³³pa	9
33	Guixian	moon	2	月亮	jɛ²¹ljaŋ²¹³	9
34	Xiamen	moon	2	月	geʔ⁵	13
35	Xiamen	moon	2	月娘	geʔ⁵nju³⁵	13
36	Hefei	moon	2	月亮	ɥɐʔ⁵ljɑ̃⁵³	9
