# IDS
ID	Language	Gloss	GlossID	IDS_ID	Ortho	IPA	CogID
# 
1	German	the world	322	1.1	Welt	vɛlt	717
2	French	the world	322	1.1	monde	mɔ̃d	718
3	Dutch	the world	322	1.1	wereld	weːrəlt	717
4	English	the world	322	1.1	world	wɜːld	717
# 
5	German	the land	558	1.21	Erde	eːrdə	1245
6	German	the land	558	1.21	Land	lant	1246
7	French	the land	558	1.21	terre	tɛʁ	1247
8	Dutch	the land	558	1.21	land	lɑnt	1246
9	English	the land	558	1.21	land	lænd	1246
# 
10	German	the soil	493	1.212	Erde	eːrdə	1092
11	German	the soil	493	1.212	Boden	boːdən	1095
12	French	the soil	493	1.212	terre	tɛʁ	1094
13	French	the soil	493	1.212	sol	sɔl	1093
14	Dutch	the soil	493	1.212	bodem	boːdəm	1095
15	English	the soil	493	1.212	soil	sɔɪl	1093
# 
16	German	the mud	492	1.214	Schlamm	ʃlam	1088
17	German	the mud	492	1.214	Dreck	drɛk	1091
18	French	the mud	492	1.214	boue	bu	1090
19	Dutch	the mud	492	1.214	modder	mɔdər	1089
20	English	the mud	492	1.214	mud	mʌd	1089
# 
21	German	the sand	491	1.215	Sand	zant	1086
22	French	the sand	491	1.215	sable	sɑbl	1087
23	Dutch	the sand	491	1.215	zand	zɑnt	1086
24	English	the sand	491	1.215	sand	sænd	1086
# 
25	German	the mountain or hill	557	1.22	Berg	bɛrk	1238
26	German	the mountain or hill	557	1.22	Hügel	hyːɡəl	1241
27	French	the mountain or hill	557	1.22	montagne	mɔ̃taɲ	1240
28	French	the mountain or hill	557	1.22	colline	kɔlin	1243
29	Dutch	the mountain or hill	557	1.22	berg	bɛrx	1238
30	Dutch	the mountain or hill	557	1.22	heuvel	høːvəl	1244
31	English	the mountain or hill	557	1.22	mountain	maʊntɪn	1239
32	English	the mountain or hill	557	1.22	hill	hɪl	1242
# 
33	German	the cliff or precipice	277	1.222	Klippe	klɪpə	611
34	French	the cliff or precipice	277	1.222	falaise	falɛz	612
35	French	the cliff or precipice	277	1.222	escarpement	ɛskaʀpəmɑ̃	613
36	Dutch	the cliff or precipice	277	1.222	klif	klɪf	611
37	English	the cliff or precipice	277	1.222	cliff	klɪf	611
38	English	the cliff or precipice	277	1.222	precipice	prɛsɪpɪs	612
# 
39	German	the plain	556	1.23	Ebene	eːbənə	1234
40	German	the plain	556	1.23	Fläche	flɛxə	1235
41	German	the plain	556	1.23	Feld	fɛlt	1235
42	French	the plain	556	1.23	plaine	plɛn	1235
43	French	the plain	556	1.23	campagne	kɑ̃paɲ	1237
44	Dutch	the plain	556	1.23	vlakte	vlɑktə	1236
45	English	the plain	556	1.23	plain	pleɪn	1235
# 
46	German	the valley	561	1.24	Tal	taːl	1254
47	French	the valley	561	1.24	vallée	vale	1255
48	Dutch	the valley	561	1.24	vallei	vɑlɛɪ	1255
49	Dutch	the valley	561	1.24	dal	dɑl	1254
50	English	the valley	561	1.24	valley	vælɪ	1255
# 
51	German	the mainland	560	1.26	Festland	fɛst#lant	1250
52	French	the mainland	560	1.26	continent	kɔ̃tinɑ̃	1252
53	Dutch	the mainland	560	1.26	vasteland	vɑstə#lɑnt	1253
54	English	the mainland	560	1.26	mainland	meɪn#lənd	1251
# 
55	German	the shore	359	1.27	Ufer	uːfər	800
56	German	the shore	359	1.27	Strand	ʃtrant	804
57	French	the shore	359	1.27	rivage	ʀivaʒ	802
58	French	the shore	359	1.27	côte	kot	805
59	French	the shore	359	1.27	littoral	litɔʀal	806
60	Dutch	the shore	359	1.27	oever	uːvər	803
61	English	the shore	359	1.27	shore	ʃɔːr	801
# 
62	German	the water	341	1.31	Wasser	vasər	747
63	French	the water	341	1.31	eau	o	749
64	Dutch	the water	341	1.31	water	waːtər	748
65	English	the water	341	1.31	water	wɔːtər	748
# 
66	German	the sea	342	1.32	See	zeː	750
67	French	the sea	342	1.32	mer	mɛʁ	751
68	Dutch	the sea	342	1.32	zee	zeː	750
69	English	the sea	342	1.32	sea	siː	750
# 
70	German	calm	608	1.322	Meeresstille	meːrəs#ʃtɪlə	1359
71	French	calm	608	1.322	étale	etale	1361
72	Dutch	calm	608	1.322	kalm	kɑlm	1362
73	Dutch	calm	608	1.322	rustig	rʉstəx	1363
74	English	calm	608	1.322	calm	kɑːm	1360
# 
75	German	rough(2)	607	1.323	rauh	rau	1354
76	French	rough(2)	607	1.323	trouble	tʀubl	1356
77	French	rough(2)	607	1.323	agité	aʒite	1358
78	Dutch	rough(2)	607	1.323	ruw	ryːw	1357
79	English	rough(2)	607	1.323	rough	rʌf	1355
# 
80	German	the foam	606	1.324	Schaum	ʃaum	1349
81	French	the foam	606	1.324	écume	ekym	1351
82	French	the foam	606	1.324	mousse	mus	1353
83	Dutch	the foam	606	1.324	schuim	sxœym	1352
84	English	the foam	606	1.324	foam	fəʊm	1350
# 
