# KSL
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
# 
1	Albanian	all	1	ɟiθ	ɟ i θ	4
2	English	all	1	ɔl	ɔ l	3
3	French	all	1	tut	t u t	5
4	German	all	1	al	a l	3
5	Hawaiian	all	1	apau	a p au	1
7	Navajo	all	1	ʔayɬʦo	ʔ ay ɬ ʦ o	6
8	Turkish	all	1	bytyn	b y t y n	2
# 
9	Albanian	and	2	e	e	7
10	English	and	2	and	a n d	9
11	French	and	2	e	e	7
12	German	and	2	unt	u n t	9
13	Hawaiian	and	2	aː	aː	7
15	Navajo	and	2	doː	d oː	10
16	Turkish	and	2	ve	v e	8
# 
17	Albanian	animal	3	kafʃ	k a f ʃ	14
18	English	animal	3	anəməl	a n ə m ə l	15
19	French	animal	3	animal	a n i m a l	15
20	German	animal	3	tiːr	t iː r	13
21	Hawaiian	animal	3	holoholona	h o l o h o l o n a	11
23	Navajo	animal	3	naːldeːhiː	n aː l d eː h iː	16
24	Turkish	animal	3	hajvan	h a j v a n	12
# 
25	Albanian	ashes	4	hir	h i r	20
26	English	ashes	4	aʃ	a ʃ	19
27	French	ashes	4	sɑ̃dr	s ɑ̃ d r	21
28	German	ashes	4	aʃə	a ʃ ə	19
29	Hawaiian	ashes	4	lehu	l e h u	17
31	Navajo	ashes	4	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	22
32	Turkish	ashes	4	kyl	k y l	18
# 
33	Albanian	at	5	nə	n ə	25
34	English	at	5	at	a t	24
35	French	at	5	a	a	26
36	German	at	5	an	a n	25
37	Hawaiian	at	5	ma	m a	23
39	Navajo	at	5	di	d i	24
40	Turkish	at	5	de	d e	24
# 
41	Albanian	back	6	ʃpin	ʃ p i n	29
42	English	back	6	bak	b a k	31
43	French	back	6	do	d o	30
44	German	back	6	rykən	r y k ə n	28
45	Hawaiian	back	6	kua	k ua	27
47	Navajo	back	6	nayɣah	n ay ɣ a h	32
48	Turkish	back	6	arka	a r k a	28
# 
49	Albanian	bad	7	kec	k e c	36
50	English	bad	7	bad	b a d	38
51	French	bad	7	mɔvɛz	m ɔ v ɛ z	37
52	German	bad	7	ʃlext	ʃ l e x t	35
53	Hawaiian	bad	7	ʔino	ʔ i n o	33
55	Navajo	bad	7	jayʔayʃõõ	j ay ʔ ay ʃ õõ	39
56	Turkish	bad	7	køty	k ø t y	34
# 
57	Albanian	bark	8	ʃkəlboz	ʃ k ə l b o z	43
58	English	bark	8	bɑrk	b ɑ r k	45
59	French	bark	8	ekɔrs	e k ɔ r s	44
60	German	bark	8	rində	r i n d ə	42
61	Hawaiian	bark	8	ʔili	ʔ i l i	40
63	Navajo	bark	8	kayʃtˀoːʒ	k ay ʃ tˀ oː ʒ	46
64	Turkish	bark	8	kabuk	k a b u k	41
# 
65	Albanian	because	9	sepse	s e p s e	50
66	English	because	9	bəkɔz	b ə k ɔ z	52
67	French	because	9	pars	p a r s	51
68	German	because	9	vail	v ai l	49
69	Hawaiian	because	9	aːmea	aː m ea	47
71	Navajo	because	9	haːlay	h aː l ay	53
72	Turkish	because	9	ʧynky	ʧ y n k y	48
# 
73	Albanian	belly	10	bark	b a r k	57
74	English	belly	10	bɛli	b ɛ l i	57
75	French	belly	10	vɑ̃tr	v ɑ̃ t r	58
76	German	belly	10	baux	b au x	56
77	Hawaiian	belly	10	ʔoːpuː	ʔ oː p uː	54
79	Navajo	belly	10	bid	b i d	59
80	Turkish	belly	10	karn	k a r n	55
# 
81	Albanian	big	11	mað	m a ð	63
82	English	big	11	bɪg	b ɪ g	64
83	French	big	11	grɑ̃d	g r ɑ̃ d	62
84	German	big	11	groːs	g r oː s	62
85	Hawaiian	big	11	nui	n ui	60
87	Navajo	big	11	ʔayniɬʦo	ʔ ay n i ɬ ʦ o	65
88	Turkish	big	11	byjyk	b y j y k	61
# 
89	Albanian	bird	12	zog	z o g	69
90	English	bird	12	bərd	b ə r d	71
91	French	bird	12	wazo	w a z o	70
92	German	bird	12	foːgəl	f oː g ə l	68
93	Hawaiian	bird	12	manu	m a n u	66
95	Navajo	bird	12	ʦidiː	ʦ i d iː	72
96	Turkish	bird	12	kuʃ	k u ʃ	67
# 
97	Albanian	bite	13	kafʃo	k a f ʃ o	76
98	English	bite	13	bait	b ai t	78
99	French	bite	13	mɔr	m ɔ r	77
100	German	bite	13	bais	b ai s	75
101	Hawaiian	bite	13	nahu	n a h u	73
103	Navajo	bite	13	ʔahayɬhaːʃ	ʔ a h ay ɬ h aː ʃ	79
104	Turkish	bite	13	ɯsɯr	ɯ s ɯ r	74
# 
105	Albanian	black	14	zez	z e z	83
106	English	black	14	blak	b l a k	85
107	French	black	14	nwar	n w a r	84
108	German	black	14	ʃvarʦ	ʃ v a r ʦ	82
109	Hawaiian	black	14	ʔeleʔele	ʔ e l e ʔ e l e	80
111	Navajo	black	14	ɬiʒin	ɬ i ʒ i n	86
112	Turkish	black	14	kara	k a r a	81
# 
113	Albanian	blood	15	ɟakr	ɟ a k r	87
114	English	blood	15	bləd	b l ə d	89
115	French	blood	15	sɑ̃	s ɑ̃	90
116	German	blood	15	bluːt	b l uː t	89
117	Hawaiian	blood	15	koko	k o k o	87
119	Navajo	blood	15	diɬ	d i ɬ	91
120	Turkish	blood	15	kan	k a n	88
# 
121	Albanian	blow	16	fry	f r y	94
122	English	blow	16	blo	b l o	94
123	French	blow	16	vɑ̃te	v ɑ̃ t e	95
124	German	blow	16	blaːz	b l aː z	94
125	Hawaiian	blow	16	puhi	p u h i	92
127	Navajo	blow	16	niʧˀi	n i ʧˀ i	96
128	Turkish	blow	16	es	e s	93
# 
129	Albanian	bone	17	koʦk	k o ʦ k	100
130	English	bone	17	bon	b o n	102
131	French	bone	17	ɔs	ɔ s	101
132	German	bone	17	knoxən	k n o x ə n	99
133	Hawaiian	bone	17	iwi	i w i	97
135	Navajo	bone	17	ʦˀin	ʦˀ i n	99
136	Turkish	bone	17	kemik	k e m i k	98
# 
137	Albanian	breast	18	ɟir	ɟ i r	106
138	English	breast	18	brɛst	b r ɛ s t	105
139	French	breast	18	sɛ̃	s ɛ̃	107
140	German	breast	18	brust	b r u s t	105
141	Hawaiian	breast	18	uː	uː	103
143	Navajo	breast	18	beʔ	b e ʔ	108
144	Turkish	breast	18	meme	m e m e	104
# 
145	Albanian	breathe	19	frym	f r y m	112
146	English	breathe	19	brið	b r i ð	112
147	French	breathe	19	rɛspire	r ɛ s p i r e	113
148	German	breathe	19	aːtm	aː t m	111
149	Hawaiian	breathe	19	hanu	h a n u	109
151	Navajo	breathe	19	ńdiʣih	ń d i ʣ i h	114
152	Turkish	breathe	19	nefes	n e f e s	110
# 
153	Albanian	burn	20	diɟ	d i ɟ	118
154	English	burn	20	bərn	b ə r n	117
155	French	burn	20	bryle	b r y l e	117
156	German	burn	20	bren	b r e n	117
157	Hawaiian	burn	20	ʔaː	ʔ aː	115
159	Navajo	burn	20	diltˡiʔ	d i l tˡ i ʔ	119
160	Turkish	burn	20	jan	j a n	116
# 
161	Albanian	child	21	fəmiʎ	f ə m i ʎ	122
162	English	child	21	ʧaild	ʧ ai l d	124
163	French	child	21	ɑ̃fɑ̃t	ɑ̃ f ɑ̃ t	123
164	German	child	21	kind	k i n d	121
165	Hawaiian	child	21	keiki	k ei k i	120
167	Navajo	child	21	ʔʃkiː	ʔ ʃ k iː	125
168	Turkish	child	21	ʧoʤuk	ʧ o ʤ u k	120
# 
169	Albanian	claw	22	θon	θ o n	129
170	English	claw	22	klɔ	k l ɔ	128
171	French	claw	22	grif	g r i f	128
172	German	claw	22	klauə	k l auə	128
173	Hawaiian	claw	22	mikiʔao	m i k i ʔ ao	126
175	Navajo	claw	22	keʃgaː	k e ʃ g aː	130
176	Turkish	claw	22	tɯrnak	t ɯ r n a k	127
# 
177	Albanian	cloud	23	re	r e	134
178	English	cloud	23	klaud	k l au d	136
179	French	cloud	23	nɥaʒ	n ɥ a ʒ	135
180	German	cloud	23	volkə	v o l k ə	133
181	Hawaiian	cloud	23	ao	ao	131
183	Navajo	cloud	23	kˀos	kˀ o s	137
184	Turkish	cloud	23	bulut	b u l u t	132
# 
185	Albanian	cold	24	ftohət	f t o h ə t	141
186	English	cold	24	kold	k o l d	140
187	French	cold	24	frwad	f r w a d	142
188	German	cold	24	kalt	k a l t	140
189	Hawaiian	cold	24	anu	a n u	138
191	Navajo	cold	24	sikˀaz	s i kˀ a z	139
192	Turkish	cold	24	soɣuk	s o ɣ u k	139
# 
193	Albanian	come	25	vjen	v j e n	146
194	English	come	25	kəm	k ə m	145
195	French	come	25	vjɛ̃	v j ɛ̃	146
196	German	come	25	kom	k o m	145
197	Hawaiian	come	25	hele	h e l e	143
199	Navajo	come	25	jiɣaːh	j i ɣ aː h	147
200	Turkish	come	25	gel	g e l	144
# 
201	Albanian	count	26	numəruar	n u m ə r ua r	151
202	English	count	26	kaunt	k au n t	153
203	French	count	26	kɔ̃te	k ɔ̃ t e	152
204	German	count	26	ʦeːl	ʦ eː l	150
205	Hawaiian	count	26	helu	h e l u	148
207	Navajo	count	26	iːniɬtaʔ	iː n i ɬ t a ʔ	154
208	Turkish	count	26	saj	s a j	149
# 
209	Albanian	cut	27	pres	p r e s	158
210	English	cut	27	kət	k ə t	160
211	French	cut	27	kupe	k u p e	159
212	German	cut	27	ʃnaid	ʃ n ai d	157
213	Hawaiian	cut	27	ʔoki	ʔ o k i	155
215	Navajo	cut	27	ʔahaygeːʃ	ʔ a h ay g eː ʃ	161
216	Turkish	cut	27	kes	k e s	156
# 
217	Albanian	day	28	dit	d i t	165
218	English	day	28	de	d e	167
219	French	day	28	ʒur	ʒ u r	166
220	German	day	28	taːg	t aː g	164
221	Hawaiian	day	28	laː	l aː	162
223	Navajo	day	28	ʤĩ́	ʤ ĩ́	168
224	Turkish	day	28	gyn	g y n	163
# 
225	Albanian	die	29	vdes	v d e s	172
226	English	die	29	dai	d ai	174
227	French	die	29	mœr	m œ r	173
228	German	die	29	ʃterb	ʃ t e r b	171
229	Hawaiian	die	29	make	m a k e	169
231	Navajo	die	29	daːzʦã́	d aː z ʦ ã́	175
232	Turkish	die	29	øl	ø l	170
# 
233	Albanian	dig	30	gərmo	g ə r m o	178
234	English	dig	30	dɪg	d ɪ g	179
235	French	dig	30	krøze	k r ø z e	178
236	German	dig	30	graːb	g r aː b	178
237	Hawaiian	dig	30	ʔeli	ʔ e l i	176
239	Navajo	dig	30	hahageːd	h a h a g eː d	180
240	Turkish	dig	30	kaz	k a z	177
# 
241	Albanian	dirty	31	ndyr	n d y r	184
242	English	dirty	31	dərti	d ə r t i	186
243	French	dirty	31	sal	s a l	185
244	German	dirty	31	ʃmuʦix	ʃ m u ʦ i x	183
245	Hawaiian	dirty	31	lepo	l e p o	181
247	Navajo	dirty	31	baːʔih	b aː ʔ i h	187
248	Turkish	dirty	31	pis	p i s	182
# 
249	Albanian	dog	32	cen	c e n	191
250	English	dog	32	dɑg	d ɑ g	193
251	French	dog	32	ʃjɛn	ʃ j ɛ n	192
252	German	dog	32	hund	h u n d	190
253	Hawaiian	dog	32	ʔiːlio	ʔ iː l io	188
255	Navajo	dog	32	ɬeːʧãːʔi	ɬ eː ʧ ãː ʔ i	194
256	Turkish	dog	32	køpek	k ø p e k	189
# 
257	Albanian	drink	33	pi	p i	198
258	English	drink	33	drɪŋk	d r ɪ ŋ k	197
259	French	drink	33	bwa	b w a	199
