# SIN
ID	Languages	Gloss	GlossId	Ortho	IPA	CogID
# 
1	Meixian	sun	1	日头	ŋit¹tʰew¹¹	1
2	Changsha	sun	1	太阳	tʰaj⁵⁵jan¹³	2
3	Changsha	sun	1	日头	ʐʅ²⁴təw	10
4	Guixian	sun	1	太阳	tʰaj²¹³jaŋ²¹	2
5	Xiamen	sun	1	日头	lit⁵tʰaw	4
6	Xiamen	sun	1	太阳	tʰaj²¹jɔŋ³⁵	2
7	Hefei	sun	1	太阳	tʰᴇ⁵³jɑ̃	5
8	Hefei	sun	1	日头	ʐəʔ⁵tʰɯ	11
9	Jinan	sun	1	太阳	tʰɛ²¹jaŋ	5
10	Jinan	sun	1	老爷爷儿	lɔ⁵⁵jə⁴²jər⁴²	9
11	Jinan	sun	1	日头	ʐʅ²¹tʰow	10
12	Hangzhou	sun	1	太阳	tʰᴇ⁴⁴⁵ɦjɑŋ²¹³	5
13	Guangzhou	sun	1	热头	jit²tʰɐw²¹	3
14	Guangzhou	sun	1	太阳	tʰaj³³jœŋ²¹	2
15	Nanchang	sun	1	太阳	tʰaj²¹³iŋ⁰⁴	2
16	Nanchang	sun	1	日头	ȵiʔ⁵tʰu⁰²	13
17	Chengdu	sun	1	太阳	tʰaj¹³jaŋ³¹	2
18	Taiyuan	sun	1	阳婆	jɒ̃¹¹pʰɒ̃¹¹	7
19	Taiyuan	sun	1	太阳	taj⁴⁵jɒ̃¹¹	2
20	Shexian	sun	1	日头	ni²²tʰju⁴⁴	6
21	Shexian	sun	1	太阳	tʰa³²⁴ja⁴⁴	5
22	Beijing	sun	1	太阳	tʰaj⁵¹jɑŋ¹	2
23	Beijing	sun	1	老爷儿	lɑw²¹⁴ir³⁵	8
24	Beijing	sun	1	日头	ʐʅ⁵¹tʰow¹	10
25	Kunming	sun	1	太阳	tʰæ²¹²jᴀ̃³¹	5
26	Kunming	sun	1	热头	ʐə³¹tʰəw³¹	10
27	Shanghai	sun	1	太阳	tʰa³⁴ɦjã¹³	5
28	Shanghai	sun	1	日头	ȵjɪʔ¹dɤ¹³	12
# 
29	Meixian	moon	2	月光	ŋjat⁵kwoŋ⁴⁴	14
